Problem,alpha,c_cac,coupling_coeff,p,rho_cac
pm1s_100.9,1.5675583738382795 ± 0.42941053924146316,0.6595141278804187 ± 0.40558279564161376,-0.5912914517855955 ± 0.4526844047524196,1.1314892140654769 ± 0.2507121453493002,0.44526792514883995 ± 0.4488860083613483
G27,1.5838195444830363 ± 0.6135026710982434,0.818609683122168 ± 0.30069345463534275,-0.7257387930356817 ± 0.3406758429931826,1.0314162903399682 ± 0.059432932173011946,0.7197254995974579 ± 0.3769581560355584
w09_100.3,1.2126622784634882 ± 0.630930816651872,0.5172121726684887 ± 0.3374137023353859,-0.559288617979045 ± 0.3503018205580505,1.4812684776635043 ± 0.5852565287592714,0.6286984089935287 ± 0.3393798468880355
w01_100.8,1.511439773171105 ± 0.41268494162099856,0.8387109513658069 ± 0.3519344883999328,-0.9008111767442657 ± 0.31366259991999845,1.3942030859118617 ± 0.698227166689244,0.553652043322476 ± 0.49646261591946206
w05_100.2,1.365406083937412 ± 0.6733899621460214,0.7152213458028958 ± 0.33228225595489425,-0.5890194831792535 ± 0.4094210130877642,1.5320610466961444 ± 0.493972407083088,0.6312184796475014 ± 0.38281967006480583
pm1s_100.5,1.2634409587362132 ± 0.5181711040061735,0.7577925221028815 ± 0.3220857959418724,-0.7314784487233215 ± 0.3372531255045877,1.2529174375238161 ± 0.19263946915904687,0.47455326723933006 ± 0.4132108058547672
w09_100.0,1.288151500781326 ± 0.5445198508998252,0.726732630287003 ± 0.33310811530891704,-0.6434896990103652 ± 0.3582741487717143,1.4041687945356573 ± 0.5444710824546019,0.7796346961649067 ± 0.2778690246383866
G59,1.7904276006136546 ± 0.348225368759356,0.9567227158001265 ± 0.125452178996198,-0.32724089406940093 ± 0.47141791982253983,1.091366181668203 ± 0.24951007783938406,0.9070756526858013 ± 0.1598934676406746
pm1s_80.7,1.565316576066706 ± 0.4528202819791941,0.4532810580715253 ± 0.4198198114876718,-0.7402425003036088 ± 0.37468715113238615,1.358118869685271 ± 0.41359639344564875,0.5925809084395729 ± 0.4512969911340243
w01_100.5,1.6305647631640263 ± 0.5863052590257057,0.8105271832931688 ± 0.3428540053485759,-0.6810625569237944 ± 0.38570873319412635,1.2257470802274395 ± 0.3176825794535784,0.7098170446630426 ± 0.3866305698802907
pm1s_80.4,1.6416147483209838 ± 0.49300037155807575,0.6690966693081726 ± 0.4194478493676039,-0.6958311581189375 ± 0.432964373457017,1.416910892680044 ± 0.7357996591472655,0.5394076061991117 ± 0.4310632084345059
G9,1.559802433135427 ± 0.534640982264261,0.8505317753014177 ± 0.3366987423715838,-0.6901996367266245 ± 0.4766132933967258,1.2150906843191296 ± 0.4514020304072774,0.6302244413175189 ± 0.48507980494356406
G57,1.665895820239979 ± 0.6389668626282949,1.0 ± 0.0,-0.8002 ± 0.4212153843344281,1.1111154521231998 ± 0.3111355622906013,0.9435141678020688 ± 0.17862388527553785
G30,1.7169992002183772 ± 0.5511502054100833,0.8301589183162548 ± 0.336240864403963,-0.8750553189716689 ± 0.3121852499446309,1.0896640713800383 ± 0.23634403083318917,0.6284951789149349 ± 0.44958300336367435
w05_100.9,1.4901324626903225 ± 0.3887172424984433,0.5885457312174861 ± 0.3323265388957564,-0.7675381768535555 ± 0.29809527910338757,1.6920770234984261 ± 0.6299345507234321,0.4808942814781269 ± 0.3255537032341522
G6,1.7858838211953736 ± 0.4044392085794455,0.9775418827684579 ± 0.06082310075360876,-0.9528400676515489 ± 0.14326331949718102,1.2065928462501025 ± 0.388810105921935,0.641400508130846 ± 0.475320672792377
