Problem,alpha,c_cfc,coupling_coeff,p,rho_cfc
G9,1.2739137227484334 ± 0.6143980538529994,0.6240999469153299 ± 0.29782051172951857,-0.7003256206256139 ± 0.39991678127987335,1.3359183053582924 ± 0.3988024881790406,0.6719991278210107 ± 0.3837964391503139
w01_100.5,1.3572082701209942 ± 0.5548767665609716,0.6854312565089797 ± 0.4155932497685318,-0.7206867051695669 ± 0.39872601862252904,1.3466968250052465 ± 0.467332596563204,0.6228628461640021 ± 0.44496423651725103
pm1s_80.4,1.2028090884648808 ± 0.6019929411282392,0.6206315833736237 ± 0.3848699249976542,-0.6151284894811953 ± 0.377375223888354,1.6730412022094252 ± 0.6472773764063008,0.4131821033419241 ± 0.36889369045382986
pm1s_80.7,1.4861616897302339 ± 0.382865644764212,0.473384701814519 ± 0.4109987426219262,-0.6978385529748785 ± 0.3783897242377479,1.729357749944858 ± 0.5520329862739984,0.4631674954251136 ± 0.4519472999484762
w05_100.9,1.2895266378502925 ± 0.43126467560325327,0.6593423122076221 ± 0.4606830598153975,-0.6810418694666514 ± 0.419104485162935,2.300430756373432 ± 0.7185072725064972,0.4349300252413945 ± 0.4746563714280467
G57,1.5704219303649656 ± 0.4141754650686298,0.8356489806797118 ± 0.283656176894116,-0.8010489151957387 ± 0.33380585104348875,1.3336565335831065 ± 0.4690540751523594,0.9220137076875933 ± 0.16682111539768396
G30,1.3573565949441901 ± 0.5224887667855835,0.41034691844294524 ± 0.4719757209743138,-0.9001 ± 0.3159115382508211,1.001 ± 0.0,0.1009 ± 0.3159115382508211
G6,1.581611551389202 ± 0.5633929579987147,0.7346230693507072 ± 0.3662274666650324,-0.8304804905115887 ± 0.2673433909881357,1.5798121107809946 ± 0.674736273729587,0.42012568877928724 ± 0.45052954819600394
w09_100.0,1.1449389638129515 ± 0.5432751133406084,0.6256892590897059 ± 0.47157025643605277,-0.6419796217514654 ± 0.4178082649452637,1.5799111762598865 ± 0.533396684114618,0.5368488797892672 ± 0.43163738980266914
w05_100.2,1.6353711294139264 ± 0.6227789336687436,0.8558744254681607 ± 0.33096984285678416,-0.9747904391233984 ± 0.07971963118273209,1.9945218381998624 ± 0.9238897663799811,0.366518964914306 ± 0.48202990653171995
w09_100.3,1.7099279549990438 ± 0.340247255194727,0.693797396806109 ± 0.46969773786778235,-0.8528719855187065 ± 0.2657581753900546,1.7330219753736096 ± 0.7743371304856518,0.24146546845726996 ± 0.36273087852619584
w01_100.8,1.4705641458105385 ± 0.5762231994328566,0.8736988258806576 ± 0.2153248528460509,-0.7036484441279657 ± 0.3741815055468553,1.8170037892251636 ± 0.5821701389424386,0.46591487233516515 ± 0.4171564227801355
G59,1.2060393340818478 ± 0.5332259071860453,0.5427801440046461 ± 0.45553335517623506,-0.8483533255023386 ± 0.33112898172319744,1.0494528916397683 ± 0.14721554918646587,0.08692666635873901 ± 0.1980576907181457
pm1s_100.5,1.323073444796786 ± 0.6699887140427153,0.45532052758054553 ± 0.39758434531752745,-0.5449792506343092 ± 0.33942228550424786,1.1846328091874745 ± 0.16217732423152054,0.5770578294094756 ± 0.41113293422088226
G27,1.3806496523287217 ± 0.3896734374634982,0.5202893199919917 ± 0.4848195919738303,-0.9481488112106475 ± 0.14632081071244152,1.2918497625972136 ± 0.39951053607164194,0.15385355707717374 ± 0.20844071474857015
pm1s_100.9,1.1538955043765777 ± 0.4351110090598322,0.47037109825144685 ± 0.41983787496973535,-0.8542923822340655 ± 0.2369362315415183,1.4190225574500896 ± 0.408436135953244,0.42738578268065774 ± 0.44378074414503965
