Problem,alpha,beta,coupling_coeff,p
G57,1.2687778051495031 ± 0.8178273463391611,-0.7770587227597103 ± 0.761622310297753,-0.9233782592385222 ± 0.16398242570306434,1.0880430442905267 ± 0.1490708852344507
pm1s_80.4,0.6486260412372886 ± 0.9001243196229656,-1.4777984791964698 ± 0.5299938261196627,-0.7800703941314292 ± 0.1813130386650176,1.4454043788460118 ± 0.4195190635062235
w01_100.5,0.5716463430218853 ± 1.2984118338102681,-0.8707851088851383 ± 0.6639137657759355,-0.7304404312622396 ± 0.24171977439341477,1.367905593898654 ± 0.5325953709832645
G30,1.4339888921555746 ± 0.7934954442758319,-1.0792806647647741 ± 0.70592875846326,-0.8463324321020192 ± 0.24859816746612162,1.1223924041062 ± 0.17406680859161686
pm1s_80.7,0.5418695168428574 ± 0.9901137231668022,-1.270638672758603 ± 0.661116371740379,-0.6498606001154281 ± 0.16875575052999592,1.372483341554388 ± 0.39678003302595505
G9,1.1144370961219001 ± 0.7717860820952498,-1.0043456859119875 ± 0.7987393390168598,-0.876148801135387 ± 0.18152587404406872,1.3931227193932205 ± 0.6230204932726685
w05_100.9,0.23282822063681888 ± 0.998489351850426,-0.6835804955634017 ± 0.5481599219186751,-0.3400621169721597 ± 0.1878001229392823,2.2798438424673737 ± 0.5524003104135197
pm1s_100.9,0.31608680256621435 ± 0.9340472089588092,-1.0686403989514297 ± 0.5902569803570313,-0.5669994602903654 ± 0.2532600444811097,1.4776897373572873 ± 0.442054755285972
G6,1.1187698011354148 ± 0.5997386222006745,-0.9744058379595057 ± 0.6833875564939289,-0.6567760793453324 ± 0.2381703918691271,1.641112261939393 ± 0.6018021270599838
pm1s_100.5,0.8000096453596423 ± 1.0338048969578346,-0.8876279050580813 ± 0.40325060243944366,-0.5821314855608754 ± 0.28506429103242803,1.7693408764821834 ± 0.5584643965403807
G27,0.8847982905355861 ± 0.9548026238445265,-0.8095782306442965 ± 0.6001089737641768,-0.8109517258414534 ± 0.259189020587696,1.222477869361836 ± 0.4014555378325165
G59,0.6762458393474529 ± 0.9179409423285358,-1.1023352488489122 ± 0.5083812917551666,-0.3572812419670154 ± 0.10182226500947959,1.4215841371608893 ± 0.4280241918822477
w09_100.0,-0.2569653740642663 ± 1.0909156480986393,-1.321300763396937 ± 0.6041193612867853,-0.18231374877944856 ± 0.1023474985542802,1.8313037257385525 ± 0.5739966160519059
w09_100.3,0.5003177904453322 ± 1.2457543446067383,-1.0177609056145434 ± 0.6210533569057274,-0.1825463767276534 ± 0.10274557524030926,1.8004032490799202 ± 0.6216194233083456
w01_100.8,-0.08588428806796282 ± 1.0859201029350494,-0.7774758721022527 ± 0.5021395418966358,-0.5712201680896639 ± 0.25414550508567657,1.8797499228959627 ± 0.5718103443872646
w05_100.2,0.4980955516283267 ± 1.1023992175064081,-0.9641211271265306 ± 0.5434209388691367,-0.21415713437304434 ± 0.14611635404630746,1.8776224664770722 ± 0.7070148973517126
