Problem,alpha,coupling_coeff,lambda_snn,p
w09_100.0,0.8752569153201406 ± 0.5236999039606919,-0.21930757003333542 ± 0.12991048053663737,0.4730564391846407 ± 0.28253764536378456,1.9020472690767853 ± 0.47093825668073513
w05_100.2,1.073717911993371 ± 0.588668256959361,-0.2505904498879842 ± 0.15989056147613492,0.7293686929529155 ± 0.24059554354101373,1.8398929894971952 ± 0.7076773249821838
w01_100.8,1.5702515082152897 ± 0.5345405935692262,-0.7682773656210425 ± 0.3646824705081782,0.6097192138473017 ± 0.408535399954853,1.9322578126023515 ± 0.8159467688444855
w09_100.3,1.0384802823008008 ± 0.6986545316333466,-0.4498403084322448 ± 0.1444194991444736,0.5335514766675353 ± 0.33511891244837616,1.717935214891915 ± 0.5100241413640746
G59,1.1628757584366063 ± 0.6349024937413715,-0.5085868398757781 ± 0.25175197778209846,0.3427170860286615 ± 0.2851837132097167,1.9549177223283851 ± 0.5402345218203255
pm1s_100.9,1.1024498258764812 ± 0.66302746830497,-0.6149512185612489 ± 0.2419114158514795,0.414535063475083 ± 0.2089081344066721,1.8643408083700723 ± 0.5755787224858125
pm1s_100.5,1.1370719325886849 ± 0.49825117918453793,-0.7330271867300121 ± 0.2725677088509497,0.7144987177036931 ± 0.3535479281961421,1.830567536591294 ± 0.6713352831782092
G27,1.2966630402454304 ± 0.599881200747642,-0.6400279823207444 ± 0.2770890085940259,0.5325445075673196 ± 0.40023618936215277,1.567923595128087 ± 0.48273326968420627
G9,1.3138921622827269 ± 0.5681361342536768,-0.7642187830066897 ± 0.30661535596031336,0.6762055944039188 ± 0.26095210757483567,1.800762513738846 ± 0.6329934696256977
w01_100.5,1.1541018462519084 ± 0.6226679531942962,-0.8533628582759658 ± 0.1715047269936163,0.6502838593462787 ± 0.35632840196368515,1.6358237641704694 ± 0.4720064965658684
G6,0.9510646679429489 ± 0.5873002682935003,-0.6390459716742918 ± 0.3249495744659625,0.5063695803577623 ± 0.3812272949162172,1.3884739649459699 ± 0.3668280666959454
pm1s_80.4,1.0999184974429874 ± 0.4518899480619424,-0.7434247276610102 ± 0.2668502481980923,0.5839025593895555 ± 0.3814544771720953,1.6547443766631695 ± 0.5917634696966076
pm1s_80.7,1.286298531000669 ± 0.630068523473387,-0.6533551322511235 ± 0.22856503379404322,0.5120282402862889 ± 0.3334559622219908,1.6539333967461698 ± 0.5970962081227668
G30,0.9206914469284379 ± 0.5342608385474119,-0.8260207079853411 ± 0.16685245870313423,0.2907636411792685 ± 0.3013139679698451,1.3467969745034254 ± 0.39963787905258386
w05_100.9,0.8583338743404234 ± 0.5630461102125371,-0.30298031243856743 ± 0.32861665653782446,0.4657536433686099 ± 0.2874474433208626,1.9782578026416027 ± 0.5452640398184064
G57,0.7538742295094839 ± 0.5146212163587187,-0.6449218501177125 ± 0.2927368006629276,0.4802023025478511 ± 0.27644057938489885,1.4444953299786265 ± 0.34629686082857375
