Trial,Cut at T=100,Simulation Time (s),T to 0.87 GS Energy,T to 0.9 GS Energy,T to 0.92 GS Energy,T to 0.96 GS Energy,Success for 0.87 GS Energy,Success for 0.9 GS Energy,Success for 0.92 GS Energy,Success for 0.96 GS Energy
1,3160.0,1.0370302200317383,3.03,4.04,6.06,100,1,1,1,0
2,3221.0,1.0378024578094482,2.02,3.03,4.04,61.61,1,1,1,1
3,3218.0,1.0382497310638428,2.02,3.03,6.06,43.43,1,1,1,1
4,3255.0,1.038740873336792,2.02,3.03,4.04,50.5,1,1,1,1
5,3275.0,1.03904128074646,2.02,3.03,4.04,17.17,1,1,1,1
6,3218.0,1.0377461910247803,3.03,4.04,7.07,53.53,1,1,1,1
7,3171.0,1.0373926162719727,3.03,3.03,6.06,100,1,1,1,0
8,3167.0,1.0384206771850586,3.03,4.04,11.11,100,1,1,1,0
9,3208.0,1.036820888519287,2.02,3.03,5.050000000000001,100,1,1,1,0
10,3249.0,1.038050651550293,2.02,3.03,6.06,33.33,1,1,1,1
11,3234.0,1.0368356704711914,2.02,3.03,6.06,40.400000000000006,1,1,1,1
12,3258.0,1.0384414196014404,3.03,4.04,5.050000000000001,35.35,1,1,1,1
13,3165.0,1.0370688438415527,3.03,5.050000000000001,12.12,100,1,1,1,0
14,3200.0,1.0386180877685547,3.03,4.04,9.09,100,1,1,1,0
15,3150.0,1.0358221530914307,3.03,5.050000000000001,12.12,100,1,1,1,0
16,3195.0,1.0398950576782227,3.03,3.03,4.04,100,1,1,1,0
17,3276.0,1.0382566452026367,2.02,3.03,4.04,21.21,1,1,1,1
18,3226.0,1.039525032043457,2.02,3.03,5.050000000000001,33.33,1,1,1,1
19,3211.0,1.038454532623291,3.03,4.04,7.07,100,1,1,1,0
20,3198.0,1.037402629852295,3.03,3.03,6.06,100,1,1,1,0
21,3208.0,1.0382802486419678,2.02,3.03,4.04,62.62,1,1,1,1
22,3233.0,1.0399038791656494,3.03,4.04,6.06,39.39,1,1,1,1
23,3208.0,1.0395925045013428,3.03,4.04,5.050000000000001,100,1,1,1,0
24,3243.0,1.0396690368652344,3.03,4.04,6.06,61.61,1,1,1,1
25,3182.0,1.0390431880950928,3.03,5.050000000000001,9.09,100,1,1,1,0
26,3205.0,1.0395097732543945,2.02,3.03,4.04,100,1,1,1,0
27,3203.0,1.0378634929656982,3.03,5.050000000000001,13.13,100,1,1,1,0
28,3210.0,1.0394110679626465,3.03,3.03,5.050000000000001,85.85,1,1,1,1
29,3193.0,1.0388383865356445,3.03,4.04,6.06,100,1,1,1,0
30,3198.0,1.0393381118774414,3.03,3.03,6.06,100,1,1,1,0
31,3185.0,1.0389056205749512,3.03,4.04,9.09,100,1,1,1,0
32,3191.0,1.04150390625,3.03,4.04,6.06,100,1,1,1,0
33,3175.0,1.0396475791931152,3.03,5.050000000000001,15.149999999999999,100,1,1,1,0
34,3254.0,1.0392405986785889,2.02,3.03,4.04,17.17,1,1,1,1
35,3230.0,1.0380690097808838,3.03,3.03,5.050000000000001,61.61,1,1,1,1
36,3197.0,1.039137363433838,3.03,3.03,5.050000000000001,100,1,1,1,0
37,3262.0,1.0393164157867432,3.03,4.04,7.07,52.52,1,1,1,1
38,3224.0,1.0388150215148926,3.03,4.04,6.06,76.76,1,1,1,1
39,3218.0,1.0389175415039062,2.02,3.03,3.03,22.22,1,1,1,1
40,3212.0,1.0386478900909424,3.03,3.03,7.07,82.82000000000001,1,1,1,1
41,3242.0,1.0398619174957275,3.03,4.04,6.06,23.23,1,1,1,1
42,3233.0,1.0382063388824463,3.03,4.04,9.09,51.51,1,1,1,1
43,3264.0,1.0368883609771729,2.02,3.03,4.04,14.14,1,1,1,1
44,3245.0,1.0388686656951904,2.02,3.03,4.04,51.51,1,1,1,1
45,3228.0,1.0357990264892578,3.03,4.04,5.050000000000001,35.35,1,1,1,1
46,3238.0,1.038557529449463,3.03,3.03,6.06,40.400000000000006,1,1,1,1
47,3193.0,1.0385093688964844,3.03,4.04,11.11,100,1,1,1,0
