Trial,Cut at T=100,Simulation Time (s),T to 0.87 GS Energy,T to 0.9 GS Energy,T to 0.92 GS Energy,T to 0.96 GS Energy,Success for 0.87 GS Energy,Success for 0.9 GS Energy,Success for 0.92 GS Energy,Success for 0.96 GS Energy
1,110.0,0.27947521209716797,100,100,100,100,0,0,0,0
2,127.0,0.2818148136138916,2.02,2.02,2.02,2.02,1,1,1,1
3,127.0,0.28409528732299805,2.02,2.02,2.02,3.03,1,1,1,1
4,127.0,0.28661179542541504,2.02,4.04,4.04,9.09,1,1,1,1
5,127.0,0.2815225124359131,2.02,2.02,3.03,3.03,1,1,1,1
6,122.0,0.2782409191131592,5.050000000000001,12.12,12.12,18.18,1,1,1,1
7,123.0,0.3204481601715088,5.050000000000001,9.09,23.23,70.7,1,1,1,1
8,115.0,0.2830204963684082,5.050000000000001,68.68,100,100,1,1,0,0
9,125.0,0.27332186698913574,2.02,2.02,2.02,3.03,1,1,1,1
10,123.0,0.286754846572876,2.02,2.02,3.03,6.06,1,1,1,1
11,121.0,0.28253650665283203,2.02,3.03,3.03,100,1,1,1,0
12,127.0,0.27370309829711914,2.02,2.02,2.02,3.03,1,1,1,1
13,127.0,0.2824728488922119,2.02,2.02,2.02,3.03,1,1,1,1
14,127.0,0.27501893043518066,2.02,2.02,2.02,3.03,1,1,1,1
15,123.0,0.28736376762390137,2.02,3.03,3.03,10.100000000000001,1,1,1,1
16,126.0,0.28340673446655273,2.02,3.03,3.03,4.04,1,1,1,1
17,127.0,0.27803707122802734,2.02,2.02,2.02,4.04,1,1,1,1
18,126.0,0.27968907356262207,1.01,2.02,2.02,2.02,1,1,1,1
19,121.0,0.2763824462890625,2.02,2.02,2.02,100,1,1,1,0
20,118.0,0.27552270889282227,2.02,3.03,4.04,100,1,1,1,0
21,114.0,0.2980196475982666,3.03,100,100,100,1,0,0,0
22,127.0,0.2767057418823242,2.02,2.02,2.02,3.03,1,1,1,1
23,119.0,0.28363680839538574,17.17,25.25,35.35,100,1,1,1,0
24,121.0,0.28310370445251465,2.02,3.03,3.03,100,1,1,1,0
25,121.0,0.2869558334350586,4.04,6.06,6.06,100,1,1,1,0
26,125.0,0.2827441692352295,2.02,2.02,2.02,2.02,1,1,1,1
27,124.0,0.27240586280822754,2.02,3.03,3.03,4.04,1,1,1,1
28,117.0,0.2789120674133301,4.04,4.04,4.04,100,1,1,1,0
29,121.0,0.2852206230163574,3.03,3.03,3.03,100,1,1,1,0
30,116.0,0.2864651679992676,3.03,3.03,100,100,1,1,0,0
31,125.0,0.2844884395599365,2.02,3.03,3.03,3.03,1,1,1,1
32,118.0,0.2800142765045166,2.02,4.04,11.11,100,1,1,1,0
33,127.0,0.29117918014526367,2.02,2.02,2.02,3.03,1,1,1,1
34,127.0,0.27330446243286133,2.02,2.02,2.02,3.03,1,1,1,1
35,116.0,0.30455493927001953,3.03,11.11,100,100,1,1,0,0
36,125.0,0.27553868293762207,3.03,3.03,3.03,3.03,1,1,1,1
37,127.0,0.2745494842529297,2.02,2.02,2.02,2.02,1,1,1,1
38,127.0,0.27678537368774414,2.02,2.02,2.02,3.03,1,1,1,1
39,119.0,0.28561949729919434,2.02,4.04,5.050000000000001,100,1,1,1,0
40,125.0,0.2887866497039795,2.02,2.02,2.02,3.03,1,1,1,1
41,111.0,0.29581761360168457,57.57000000000001,100,100,100,1,0,0,0
42,121.0,0.2770650386810303,2.02,3.03,3.03,100,1,1,1,0
43,121.0,0.28574705123901367,3.03,4.04,5.050000000000001,100,1,1,1,0
44,121.0,0.2748408317565918,3.03,4.04,4.04,100,1,1,1,0
45,126.0,0.28411173820495605,2.02,2.02,2.02,4.04,1,1,1,1
46,127.0,0.2952613830566406,2.02,2.02,2.02,2.02,1,1,1,1
47,127.0,0.2731778621673584,2.02,2.02,2.02,3.03,1,1,1,1
48,110.0,0.2747485637664795,100,100,100,100,0,0,0,0
49,119.0,0.28513526916503906,3.03,7.07,9.09,100,1,1,1,0
50,126.0,0.28307271003723145,3.03,6.06,7.07,9.09,1,1,1,1
51,120.0,0.282764196395874,5.050000000000001,34.34,43.43,100,1,1,1,0
52,117.0,0.29153943061828613,4.04,6.06,11.11,100,1,1,1,0
53,121.0,0.3076968193054199,2.02,2.02,3.03,100,1,1,1,0
54,127.0,0.27710986137390137,6.06,20.200000000000003,21.21,28.28,1,1,1,1
55,124.0,0.27387237548828125,2.02,2.02,4.04,5.050000000000001,1,1,1,1
56,126.0,0.27806878089904785,2.02,2.02,2.02,3.03,1,1,1,1
57,114.0,0.2921581268310547,3.03,100,100,100,1,0,0,0
58,127.0,0.290543794631958,2.02,2.02,2.02,3.03,1,1,1,1
59,126.0,0.28757286071777344,1.01,2.02,2.02,2.02,1,1,1,1
60,121.0,0.2833256721496582,2.02,3.03,3.03,100,1,1,1,0
61,121.0,0.2776210308074951,2.02,3.03,4.04,100,1,1,1,0
62,126.0,0.2738049030303955,2.02,2.02,2.02,2.02,1,1,1,1
