Trial,Cut at T=100,Simulation Time (s),T to 0.87 GS Energy,T to 0.9 GS Energy,T to 0.92 GS Energy,T to 0.96 GS Energy,Success for 0.87 GS Energy,Success for 0.9 GS Energy,Success for 0.92 GS Energy,Success for 0.96 GS Energy
1,1957.0,0.2834787368774414,1.01,1.01,1.01,1.01,1,1,1,1
2,1832.0,0.26598668098449707,1.01,1.01,37.37,100,1,1,1,0
3,1947.0,0.27085185050964355,1.01,1.01,2.02,32.32,1,1,1,1
4,1875.0,0.277878999710083,5.050000000000001,7.07,13.13,100,1,1,1,0
5,1951.0,0.29019975662231445,1.01,1.01,1.01,2.02,1,1,1,1
6,1871.0,0.2762105464935303,1.01,1.01,1.01,100,1,1,1,0
7,1873.0,0.2680504322052002,1.01,1.01,1.01,100,1,1,1,0
8,1970.0,0.275118350982666,1.01,1.01,1.01,1.01,1,1,1,1
9,1851.0,0.2889394760131836,1.01,1.01,5.050000000000001,100,1,1,1,0
10,1934.0,0.2806224822998047,1.01,1.01,1.01,1.01,1,1,1,1
11,1799.0,0.2834029197692871,1.01,12.12,100,100,1,1,0,0
12,1879.0,0.2807931900024414,1.01,1.01,1.01,100,1,1,1,0
13,1956.0,0.2668311595916748,1.01,1.01,1.01,5.050000000000001,1,1,1,1
14,1850.0,0.27928805351257324,1.01,1.01,12.12,100,1,1,1,0
15,1838.0,0.2771017551422119,1.01,1.01,2.02,100,1,1,1,0
16,1990.0,0.30444955825805664,1.01,1.01,1.01,7.07,1,1,1,1
17,1946.0,0.30560874938964844,1.01,1.01,1.01,1.01,1,1,1,1
18,1990.0,0.29082775115966797,1.01,1.01,3.03,8.08,1,1,1,1
19,1990.0,0.26550984382629395,1.01,2.02,2.02,7.07,1,1,1,1
20,1939.0,0.27190542221069336,1.01,1.01,1.01,2.02,1,1,1,1
21,1819.0,0.27874231338500977,1.01,9.09,100,100,1,1,0,0
22,1946.0,0.27229881286621094,1.01,1.01,1.01,2.02,1,1,1,1
23,1983.0,0.27334046363830566,1.01,1.01,1.01,1.01,1,1,1,1
24,1975.0,0.2837660312652588,1.01,1.01,2.02,2.02,1,1,1,1
25,1885.0,0.2979707717895508,1.01,1.01,12.12,100,1,1,1,0
26,1849.0,0.28369927406311035,1.01,1.01,8.08,100,1,1,1,0
27,1990.0,0.2927389144897461,1.01,1.01,1.01,1.01,1,1,1,1
28,1892.0,0.3027462959289551,1.01,6.06,8.08,100,1,1,1,0
29,1865.0,0.2873656749725342,1.01,1.01,3.03,100,1,1,1,0
30,1983.0,0.2844541072845459,1.01,1.01,1.01,1.01,1,1,1,1
31,1902.0,0.27065014839172363,1.01,1.01,1.01,100,1,1,1,0
32,1854.0,0.26616597175598145,1.01,1.01,8.08,100,1,1,1,0
33,1983.0,0.28745079040527344,1.01,5.050000000000001,12.12,13.13,1,1,1,1
34,1873.0,0.2850961685180664,2.02,2.02,8.08,100,1,1,1,0
35,1881.0,0.2932004928588867,1.01,2.02,8.08,100,1,1,1,0
36,1975.0,0.28299927711486816,1.01,1.01,1.01,5.050000000000001,1,1,1,1
37,1990.0,0.2669212818145752,1.01,1.01,1.01,1.01,1,1,1,1
38,1875.0,0.2806243896484375,1.01,1.01,3.03,100,1,1,1,0
39,1943.0,0.29030704498291016,1.01,1.01,1.01,1.01,1,1,1,1
40,1990.0,0.2909724712371826,1.01,1.01,1.01,1.01,1,1,1,1
41,1834.0,0.27463412284851074,1.01,1.01,2.02,100,1,1,1,0
42,1948.0,0.2833366394042969,1.01,1.01,2.02,7.07,1,1,1,1
43,1914.0,0.28025293350219727,1.01,1.01,1.01,24.24,1,1,1,1
44,1990.0,0.2933821678161621,1.01,1.01,2.02,3.03,1,1,1,1
45,1951.0,0.29759979248046875,1.01,1.01,1.01,3.03,1,1,1,1
46,1934.0,0.2832002639770508,1.01,1.01,1.01,1.01,1,1,1,1
47,1990.0,0.29923439025878906,1.01,1.01,1.01,1.01,1,1,1,1
48,1930.0,0.280393123626709,1.01,1.01,1.01,3.03,1,1,1,1
49,1983.0,0.28504085540771484,1.01,1.01,1.01,1.01,1,1,1,1
50,1919.0,0.2785649299621582,1.01,1.01,1.01,3.03,1,1,1,1
51,1946.0,0.2722041606903076,1.01,2.02,28.28,30.299999999999997,1,1,1,1
52,1903.0,0.2802729606628418,1.01,1.01,1.01,100,1,1,1,0
53,1904.0,0.2935938835144043,1.01,1.01,1.01,58.58,1,1,1,1
54,1876.0,0.2761259078979492,1.01,2.02,4.04,100,1,1,1,0
55,1990.0,0.2655613422393799,1.01,2.02,4.04,5.050000000000001,1,1,1,1
56,1889.0,0.28032541275024414,1.01,1.01,1.01,100,1,1,1,0
57,1827.0,0.268298864364624,1.01,11.11,17.17,100,1,1,1,0
58,1912.0,0.2778904438018799,1.01,1.01,1.01,10.100000000000001,1,1,1,1
59,1763.0,0.29393696784973145,1.01,100,100,100,1,0,0,0
60,1951.0,0.28676319122314453,1.01,1.01,1.01,1.01,1,1,1,1
61,1958.0,0.2883138656616211,3.03,4.04,4.04,6.06,1,1,1,1
62,1958.0,0.2731201648712158,1.01,2.02,3.03,15.149999999999999,1,1,1,1
63,1871.0,0.2862992286682129,1.01,1.01,1.01,100,1,1,1,0
64,1881.0,0.28714871406555176,1.01,1.01,1.01,100,1,1,1,0
65,1957.0,0.2740354537963867,1.01,1.01,1.01,1.01,1,1,1,1
66,1983.0,0.2769315242767334,1.01,1.01,1.01,3.03,1,1,1,1
67,1990.0,0.2657160758972168,1.01,1.01,4.04,5.050000000000001,1,1,1,1
68,1983.0,0.273881196975708,1.01,1.01,1.01,6.06,1,1,1,1
69,1871.0,0.2844095230102539,1.01,1.01,1.01,100,1,1,1,0
70,1898.0,0.29070615768432617,1.01,1.01,1.01,100,1,1,1,0
71,1948.0,0.279571533203125,2.02,2.02,2.02,9.09,1,1,1,1
72,1990.0,0.29331040382385254,1.01,1.01,1.01,1.01,1,1,1,1
73,1975.0,0.28392958641052246,1.01,1.01,1.01,3.03,1,1,1,1
74,1979.0,0.27648067474365234,1.01,1.01,2.02,9.09,1,1,1,1
75,1898.0,0.27632737159729004,1.01,1.01,7.07,100,1,1,1,0
76,1930.0,0.28272581100463867,1.01,1.01,1.01,5.050000000000001,1,1,1,1
77,1946.0,0.3042919635772705,1.01,1.01,2.02,7.07,1,1,1,1
78,1885.0,0.27616047859191895,1.01,1.01,1.01,100,1,1,1,0
79,1957.0,0.28197693824768066,1.01,1.01,1.01,2.02,1,1,1,1
80,1808.0,0.3084731101989746,1.01,2.02,100,100,1,1,0,0
81,1946.0,0.28476786613464355,1.01,1.01,1.01,2.02,1,1,1,1
82,1947.0,0.31387877464294434,1.01,1.01,1.01,2.02,1,1,1,1
83,1838.0,0.2928476333618164,1.01,1.01,6.06,100,1,1,1,0
84,1956.0,0.33746886253356934,1.01,1.01,1.01,13.13,1,1,1,1
85,1854.0,0.2793691158294678,1.01,1.01,2.02,100,1,1,1,0
86,1930.0,0.27514195442199707,1.01,1.01,1.01,13.13,1,1,1,1
87,1883.0,0.26807594299316406,1.01,1.01,2.02,100,1,1,1,0
88,1929.0,0.3061227798461914,1.01,1.01,1.01,1.01,1,1,1,1
89,1990.0,0.2641170024871826,1.01,1.01,1.01,3.03,1,1,1,1
90,1946.0,0.28340625762939453,1.01,1.01,1.01,2.02,1,1,1,1
91,1971.0,0.2815730571746826,1.01,1.01,1.01,1.01,1,1,1,1
92,1917.0,0.276123046875,1.01,1.01,1.01,22.22,1,1,1,1
93,1912.0,0.27967095375061035,1.01,2.02,9.09,50.5,1,1,1,1
94,1816.0,0.2869882583618164,1.01,1.01,100,100,1,1,0,0
95,1941.0,0.2838156223297119,1.01,1.01,1.01,1.01,1,1,1,1
96,1851.0,0.26657938957214355,1.01,1.01,1.01,100,1,1,1,0
97,1919.0,0.27683115005493164,1.01,1.01,1.01,4.04,1,1,1,1
98,1941.0,0.27926135063171387,1.01,1.01,1.01,1.01,1,1,1,1
99,1975.0,0.28464722633361816,1.01,2.02,4.04,4.04,1,1,1,1
100,1897.0,0.28298163414001465,1.01,1.01,1.01,100,1,1,1,0
