Trial,Cut at T=100,Simulation Time (s),T to 0.87 GS Energy,T to 0.9 GS Energy,T to 0.92 GS Energy,T to 0.96 GS Energy,Success for 0.87 GS Energy,Success for 0.9 GS Energy,Success for 0.92 GS Energy,Success for 0.96 GS Energy
1,5852.0,2.6965208053588867,2.02,3.03,4.04,87.87,1,1,1,1
2,5774.0,2.6757397651672363,2.02,3.03,5.050000000000001,100,1,1,1,0
3,5783.0,2.6759209632873535,2.02,3.03,5.050000000000001,100,1,1,1,0
4,5814.0,2.6759238243103027,2.02,3.03,4.04,100,1,1,1,0
5,5756.0,2.6762049198150635,2.02,3.03,5.050000000000001,100,1,1,1,0
6,5712.0,2.6758017539978027,2.02,3.03,5.050000000000001,100,1,1,1,0
7,5761.0,2.676093578338623,2.02,3.03,5.050000000000001,100,1,1,1,0
8,5787.0,2.676018476486206,2.02,3.03,5.050000000000001,100,1,1,1,0
9,5792.0,2.6762094497680664,2.02,3.03,5.050000000000001,100,1,1,1,0
10,5764.0,2.675938844680786,2.02,3.03,5.050000000000001,100,1,1,1,0
11,5761.0,2.6760776042938232,2.02,3.03,5.050000000000001,100,1,1,1,0
12,5816.0,2.6761598587036133,2.02,3.03,4.04,100,1,1,1,0
13,5755.0,2.6760854721069336,2.02,3.03,6.06,100,1,1,1,0
14,5716.0,2.675844192504883,2.02,3.03,7.07,100,1,1,1,0
15,5779.0,2.6760261058807373,3.03,4.04,6.06,100,1,1,1,0
16,5733.0,2.6761913299560547,2.02,3.03,5.050000000000001,100,1,1,1,0
17,5779.0,2.6761012077331543,2.02,3.03,5.050000000000001,100,1,1,1,0
18,5846.0,2.676037073135376,2.02,3.03,4.04,38.38,1,1,1,1
19,5782.0,2.6760189533233643,2.02,3.03,4.04,100,1,1,1,0
20,5786.0,2.6758759021759033,2.02,3.03,5.050000000000001,100,1,1,1,0
21,5741.0,2.6761832237243652,2.02,3.03,6.06,100,1,1,1,0
22,5796.0,2.6758344173431396,2.02,3.03,6.06,100,1,1,1,0
23,5798.0,2.675792694091797,2.02,3.03,5.050000000000001,100,1,1,1,0
24,5801.0,2.6760642528533936,2.02,3.03,5.050000000000001,100,1,1,1,0
25,5805.0,2.6759092807769775,2.02,3.03,5.050000000000001,100,1,1,1,0
26,5811.0,2.67594051361084,2.02,3.03,3.03,100,1,1,1,0
27,5789.0,2.675920009613037,2.02,3.03,4.04,100,1,1,1,0
28,5775.0,2.676025152206421,2.02,3.03,5.050000000000001,100,1,1,1,0
29,5776.0,2.676008462905884,2.02,4.04,5.050000000000001,100,1,1,1,0
30,5725.0,2.6760106086730957,2.02,4.04,6.06,100,1,1,1,0
31,5845.0,2.6760008335113525,2.02,3.03,5.050000000000001,100,1,1,1,0
32,5740.0,2.676933765411377,2.02,3.03,6.06,100,1,1,1,0
33,5830.0,2.676058053970337,2.02,3.03,4.04,100,1,1,1,0
34,5750.0,2.6760196685791016,2.02,3.03,6.06,100,1,1,1,0
35,5753.0,2.6760056018829346,2.02,3.03,5.050000000000001,100,1,1,1,0
36,5796.0,2.6759567260742188,2.02,3.03,5.050000000000001,100,1,1,1,0
37,5824.0,2.676098108291626,2.02,3.03,5.050000000000001,100,1,1,1,0
38,5791.0,2.6759581565856934,2.02,3.03,4.04,100,1,1,1,0
39,5825.0,2.6760971546173096,2.02,3.03,4.04,100,1,1,1,0
40,5791.0,2.675901174545288,2.02,3.03,4.04,100,1,1,1,0
41,5795.0,2.6761882305145264,2.02,3.03,5.050000000000001,100,1,1,1,0
42,5815.0,2.676018476486206,2.02,3.03,4.04,100,1,1,1,0
43,5737.0,2.6769816875457764,2.02,4.04,6.06,100,1,1,1,0
44,5766.0,2.675930976867676,2.02,3.03,5.050000000000001,100,1,1,1,0
45,5867.0,2.675922393798828,2.02,3.03,4.04,68.68,1,1,1,1
46,5703.0,2.6758522987365723,3.03,4.04,8.08,100,1,1,1,0
47,5791.0,2.6759910583496094,2.02,3.03,5.050000000000001,100,1,1,1,0
48,5766.0,2.676023006439209,2.02,3.03,6.06,100,1,1,1,0
49,5857.0,2.6761724948883057,2.02,3.03,4.04,68.68,1,1,1,1
50,5840.0,2.6760687828063965,2.02,3.03,4.04,100,1,1,1,0
51,5761.0,2.675964593887329,2.02,3.03,5.050000000000001,100,1,1,1,0
52,5782.0,2.6760036945343018,2.02,3.03,6.06,100,1,1,1,0
53,5781.0,2.676090717315674,2.02,3.03,5.050000000000001,100,1,1,1,0
54,5837.0,2.675914764404297,2.02,3.03,4.04,100,1,1,1,0
55,5828.0,2.675902843475342,2.02,3.03,4.04,100,1,1,1,0
56,5804.0,2.6759493350982666,2.02,3.03,4.04,100,1,1,1,0
57,5759.0,2.6761369705200195,2.02,3.03,5.050000000000001,100,1,1,1,0
58,5779.0,2.675997734069824,2.02,3.03,4.04,100,1,1,1,0
59,5850.0,2.6758904457092285,2.02,3.03,4.04,42.42,1,1,1,1
60,5799.0,2.676056146621704,2.02,3.03,4.04,100,1,1,1,0
61,5790.0,2.676002264022827,2.02,3.03,5.050000000000001,100,1,1,1,0
62,5804.0,2.675929307937622,2.02,3.03,4.04,100,1,1,1,0
63,5776.0,2.676009178161621,2.02,3.03,4.04,100,1,1,1,0
64,5773.0,2.6760056018829346,2.02,3.03,4.04,100,1,1,1,0
65,5770.0,2.676020383834839,2.02,3.03,4.04,100,1,1,1,0
66,5787.0,2.675926685333252,2.02,3.03,4.04,100,1,1,1,0
67,5753.0,2.675917387008667,2.02,3.03,6.06,100,1,1,1,0
68,5740.0,2.6759352684020996,2.02,3.03,5.050000000000001,100,1,1,1,0
69,5794.0,2.6760032176971436,2.02,4.04,6.06,100,1,1,1,0
70,5771.0,2.6760776042938232,2.02,3.03,5.050000000000001,100,1,1,1,0
71,5784.0,2.6759755611419678,2.02,3.03,5.050000000000001,100,1,1,1,0
72,5833.0,2.676072359085083,2.02,3.03,4.04,100,1,1,1,0
73,5797.0,2.676170587539673,2.02,3.03,4.04,100,1,1,1,0
74,5813.0,2.6760504245758057,2.02,3.03,4.04,100,1,1,1,0
75,5731.0,2.6760947704315186,2.02,3.03,5.050000000000001,100,1,1,1,0
76,5764.0,2.6759583950042725,2.02,3.03,4.04,100,1,1,1,0
77,5759.0,2.6762454509735107,2.02,3.03,5.050000000000001,100,1,1,1,0
78,5738.0,2.6759815216064453,2.02,3.03,5.050000000000001,100,1,1,1,0
79,5779.0,2.6759896278381348,2.02,3.03,4.04,100,1,1,1,0
80,5826.0,2.675896167755127,2.02,3.03,4.04,100,1,1,1,0
81,5740.0,2.6762328147888184,2.02,4.04,5.050000000000001,100,1,1,1,0
82,5792.0,2.6758956909179688,2.02,3.03,4.04,100,1,1,1,0
83,5760.0,2.6759636402130127,2.02,3.03,7.07,100,1,1,1,0
84,5818.0,2.6760926246643066,2.02,3.03,4.04,100,1,1,1,0
85,5791.0,2.6760919094085693,2.02,3.03,5.050000000000001,100,1,1,1,0
86,5731.0,2.676970958709717,2.02,3.03,6.06,100,1,1,1,0
87,5824.0,2.675940752029419,2.02,3.03,4.04,100,1,1,1,0
88,5797.0,2.6759872436523438,2.02,3.03,4.04,100,1,1,1,0
89,5787.0,2.6759796142578125,2.02,3.03,4.04,100,1,1,1,0
