Trial,Cut at T=100,Simulation Time (s),T to 0.87 GS Energy,T to 0.9 GS Energy,T to 0.92 GS Energy,T to 0.96 GS Energy,Success for 0.87 GS Energy,Success for 0.9 GS Energy,Success for 0.92 GS Energy,Success for 0.96 GS Energy
1,122.0,0.2881746292114258,9.09,11.11,12.12,100,1,1,1,0
2,122.0,0.2866058349609375,8.08,8.08,8.08,100,1,1,1,0
3,121.0,0.2903025150299072,9.09,9.09,9.09,100,1,1,1,0
4,115.0,0.2803051471710205,9.09,100,100,100,1,0,0,0
5,119.0,0.2859656810760498,8.08,11.11,11.11,100,1,1,1,0
6,123.0,0.2880833148956299,8.08,8.08,8.08,8.08,1,1,1,1
7,122.0,0.280975341796875,8.08,9.09,9.09,100,1,1,1,0
8,123.0,0.30002665519714355,8.08,8.08,11.11,14.14,1,1,1,1
9,121.0,0.28263378143310547,9.09,9.09,11.11,100,1,1,1,0
10,124.0,0.28028154373168945,8.08,8.08,8.08,10.100000000000001,1,1,1,1
11,121.0,0.2839841842651367,9.09,10.100000000000001,10.100000000000001,100,1,1,1,0
12,125.0,0.2881755828857422,7.07,8.08,8.08,8.08,1,1,1,1
13,122.0,0.292604923248291,7.07,7.07,8.08,100,1,1,1,0
14,123.0,0.2902796268463135,8.08,9.09,9.09,11.11,1,1,1,1
15,118.0,0.29009151458740234,8.08,9.09,10.100000000000001,100,1,1,1,0
16,121.0,0.290053129196167,8.08,8.08,8.08,100,1,1,1,0
17,116.0,0.27892327308654785,8.08,10.100000000000001,100,100,1,1,0,0
18,120.0,0.3007991313934326,8.08,8.08,8.08,100,1,1,1,0
19,114.0,0.28302979469299316,9.09,100,100,100,1,0,0,0
20,119.0,0.29473114013671875,8.08,11.11,13.13,100,1,1,1,0
21,125.0,0.2786216735839844,7.07,8.08,8.08,10.100000000000001,1,1,1,1
22,123.0,0.2912132740020752,8.08,9.09,9.09,14.14,1,1,1,1
23,123.0,0.2876548767089844,8.08,8.08,9.09,13.13,1,1,1,1
24,123.0,0.311600923538208,8.08,8.08,8.08,11.11,1,1,1,1
25,120.0,0.30324316024780273,8.08,8.08,8.08,100,1,1,1,0
26,121.0,0.27989935874938965,9.09,10.100000000000001,10.100000000000001,100,1,1,1,0
27,120.0,0.288501501083374,8.08,9.09,10.100000000000001,100,1,1,1,0
28,123.0,0.2921173572540283,7.07,8.08,8.08,16.16,1,1,1,1
29,116.0,0.2839324474334717,11.11,14.14,100,100,1,1,0,0
30,123.0,0.2968909740447998,8.08,8.08,8.08,22.22,1,1,1,1
31,123.0,0.28694963455200195,9.09,12.12,13.13,20.200000000000003,1,1,1,1
32,125.0,0.2791924476623535,8.08,8.08,8.08,9.09,1,1,1,1
33,121.0,0.29724645614624023,8.08,9.09,13.13,100,1,1,1,0
34,120.0,0.2906813621520996,8.08,8.08,9.09,100,1,1,1,0
35,118.0,0.28685474395751953,8.08,9.09,12.12,100,1,1,1,0
36,123.0,0.27931857109069824,8.08,8.08,8.08,8.08,1,1,1,1
37,121.0,0.28092527389526367,8.08,10.100000000000001,10.100000000000001,100,1,1,1,0
38,124.0,0.3048734664916992,8.08,8.08,8.08,10.100000000000001,1,1,1,1
39,117.0,0.27867841720581055,9.09,14.14,100,100,1,1,0,0
40,120.0,0.2837674617767334,8.08,8.08,10.100000000000001,100,1,1,1,0
41,128.0,0.2794075012207031,8.08,8.08,9.09,12.12,1,1,1,1
