Trial,Cut at T=100,Simulation Time (s),T to 0.87 GS Energy,T to 0.9 GS Energy,T to 0.92 GS Energy,T to 0.96 GS Energy,Success for 0.87 GS Energy,Success for 0.9 GS Energy,Success for 0.92 GS Energy,Success for 0.96 GS Energy
1,1516.0,0.27336788177490234,100,100,100,100,0,0,0,0
2,1663.0,0.2944152355194092,1.01,1.01,2.02,100,1,1,1,0
3,1721.0,0.2790646553039551,1.01,1.01,1.01,1.01,1,1,1,1
4,1630.0,0.28162574768066406,2.02,3.03,4.04,100,1,1,1,0
5,1699.0,0.2776646614074707,1.01,1.01,1.01,1.01,1,1,1,1
6,1631.0,0.28186964988708496,1.01,1.01,1.01,100,1,1,1,0
7,1656.0,0.2832310199737549,1.01,1.01,3.03,100,1,1,1,0
8,1698.0,0.3033785820007324,1.01,1.01,2.02,3.03,1,1,1,1
9,1607.0,0.28519177436828613,1.01,1.01,100,100,1,1,0,0
10,1579.0,0.2939596176147461,1.01,7.07,100,100,1,1,0,0
11,1666.0,0.28272080421447754,1.01,1.01,2.02,100,1,1,1,0
12,1677.0,0.29251813888549805,1.01,1.01,1.01,100,1,1,1,0
13,1568.0,0.2928199768066406,2.02,100,100,100,1,0,0,0
14,1601.0,0.2796659469604492,1.01,2.02,100,100,1,1,0,0
15,1681.0,0.28462648391723633,1.01,2.02,4.04,100,1,1,1,0
16,1670.0,0.2775130271911621,1.01,1.01,1.01,100,1,1,1,0
17,1650.0,0.3026695251464844,1.01,1.01,1.01,100,1,1,1,0
18,1752.0,0.3106722831726074,1.01,1.01,1.01,3.03,1,1,1,1
19,1679.0,0.2813141345977783,1.01,1.01,1.01,100,1,1,1,0
20,1679.0,0.28602027893066406,1.01,1.01,1.01,100,1,1,1,0
21,1612.0,0.27904677391052246,2.02,3.03,9.09,100,1,1,1,0
22,1752.0,0.29021453857421875,1.01,2.02,2.02,3.03,1,1,1,1
23,1484.0,0.28978395462036133,100,100,100,100,0,0,0,0
24,1560.0,0.28536272048950195,1.01,100,100,100,1,0,0,0
25,1668.0,0.28102779388427734,1.01,1.01,1.01,100,1,1,1,0
26,1649.0,0.2952120304107666,1.01,1.01,4.04,100,1,1,1,0
27,1626.0,0.27983522415161133,10.100000000000001,12.12,14.14,100,1,1,1,0
28,1717.0,0.28701114654541016,1.01,1.01,1.01,1.01,1,1,1,1
29,1721.0,0.2869453430175781,1.01,1.01,1.01,2.02,1,1,1,1
30,1569.0,0.3057436943054199,1.01,100,100,100,1,0,0,0
31,1733.0,0.28556036949157715,1.01,2.02,3.03,4.04,1,1,1,1
32,1557.0,0.27948641777038574,1.01,100,100,100,1,0,0,0
33,1629.0,0.2884695529937744,1.01,9.09,10.100000000000001,100,1,1,1,0
34,1534.0,0.2770533561706543,6.06,100,100,100,1,0,0,0
35,1673.0,0.28045058250427246,2.02,3.03,5.050000000000001,100,1,1,1,0
36,1703.0,0.28844332695007324,1.01,1.01,1.01,3.03,1,1,1,1
37,1624.0,0.2793576717376709,1.01,1.01,3.03,100,1,1,1,0
38,1553.0,0.28084635734558105,1.01,100,100,100,1,0,0,0
39,1723.0,0.27704453468322754,1.01,1.01,1.01,3.03,1,1,1,1
40,1535.0,0.2925417423248291,4.04,100,100,100,1,0,0,0
41,1607.0,0.2903430461883545,7.07,10.100000000000001,100,100,1,1,0,0
42,1605.0,0.2913544178009033,1.01,1.01,100,100,1,1,0,0
43,1752.0,0.29413270950317383,1.01,1.01,1.01,3.03,1,1,1,1
44,1698.0,0.27517056465148926,1.01,1.01,1.01,2.02,1,1,1,1
45,1662.0,0.27826547622680664,1.01,1.01,2.02,100,1,1,1,0
46,1680.0,0.27843499183654785,1.01,1.01,1.01,100,1,1,1,0
47,1600.0,0.2892172336578369,2.02,4.04,100,100,1,1,0,0
48,1635.0,0.282285213470459,6.06,8.08,19.19,100,1,1,1,0
49,1740.0,0.2967228889465332,1.01,62.62,62.62,64.64,1,1,1,1
50,1629.0,0.3068554401397705,1.01,1.01,2.02,100,1,1,1,0
51,1699.0,0.28973913192749023,1.01,1.01,3.03,30.299999999999997,1,1,1,1
52,1622.0,0.2774536609649658,1.01,1.01,1.01,100,1,1,1,0
53,1626.0,0.27906250953674316,1.01,2.02,4.04,100,1,1,1,0
54,1656.0,0.280484676361084,1.01,1.01,2.02,100,1,1,1,0
55,1694.0,0.294872522354126,1.01,1.01,1.01,2.02,1,1,1,1
56,1358.0,0.27984118461608887,100,100,100,100,0,0,0,0
57,1752.0,0.292726993560791,1.01,1.01,2.02,5.050000000000001,1,1,1,1
58,1630.0,0.2987630367279053,1.01,1.01,4.04,100,1,1,1,0
59,1692.0,0.27709102630615234,1.01,1.01,1.01,7.07,1,1,1,1
60,1691.0,0.2839334011077881,1.01,1.01,2.02,7.07,1,1,1,1
61,1734.0,0.2935631275177002,1.01,1.01,1.01,2.02,1,1,1,1
62,1576.0,0.2837717533111572,1.01,100,100,100,1,0,0,0
63,1696.0,0.29631662368774414,1.01,1.01,1.01,2.02,1,1,1,1
64,1645.0,0.28701019287109375,1.01,1.01,1.01,100,1,1,1,0
65,1677.0,0.29218101501464844,1.01,2.02,5.050000000000001,100,1,1,1,0
66,1513.0,0.2884078025817871,100,100,100,100,0,0,0,0
67,1606.0,0.2876455783843994,3.03,21.21,100,100,1,1,0,0
68,1718.0,0.2923867702484131,1.01,1.01,1.01,4.04,1,1,1,1
69,1671.0,0.28889918327331543,1.01,2.02,2.02,100,1,1,1,0
70,1548.0,0.29358458518981934,7.07,100,100,100,1,0,0,0
71,1740.0,0.29164576530456543,1.01,1.01,1.01,1.01,1,1,1,1
72,1576.0,0.28499436378479004,1.01,100,100,100,1,0,0,0
73,1711.0,0.28656888008117676,1.01,1.01,1.01,1.01,1,1,1,1
74,1695.0,0.2900216579437256,1.01,1.01,2.02,4.04,1,1,1,1
75,1611.0,0.2862813472747803,4.04,5.050000000000001,100,100,1,1,0,0
76,1729.0,0.2764759063720703,1.01,1.01,1.01,2.02,1,1,1,1
77,1590.0,0.2835721969604492,1.01,2.02,100,100,1,1,0,0
78,1626.0,0.2764453887939453,1.01,1.01,4.04,100,1,1,1,0
79,1580.0,0.275831937789917,1.01,4.04,100,100,1,1,0,0
80,1663.0,0.3095052242279053,1.01,1.01,1.01,100,1,1,1,0
81,1698.0,0.28962063789367676,3.03,4.04,5.050000000000001,8.08,1,1,1,1
82,1454.0,0.2967972755432129,100,100,100,100,0,0,0,0
83,1541.0,0.29213643074035645,2.02,100,100,100,1,0,0,0
84,1677.0,0.28799962997436523,1.01,1.01,1.01,100,1,1,1,0
85,1448.0,0.29960012435913086,100,100,100,100,0,0,0,0
86,1611.0,0.2781646251678467,1.01,2.02,100,100,1,1,0,0
87,1542.0,0.2905902862548828,3.03,100,100,100,1,0,0,0
88,1752.0,0.2851278781890869,1.01,3.03,4.04,5.050000000000001,1,1,1,1
89,1688.0,0.35193657875061035,2.02,2.02,2.02,4.04,1,1,1,1
90,1522.0,0.27767443656921387,100,100,100,100,0,0,0,0
91,1677.0,0.27699828147888184,1.01,1.01,1.01,100,1,1,1,0
92,1507.0,0.2782766819000244,100,100,100,100,0,0,0,0
93,1604.0,0.3305935859680176,4.04,6.06,100,100,1,1,0,0
94,1723.0,0.2922708988189697,1.01,1.01,1.01,1.01,1,1,1,1
95,1723.0,0.29455995559692383,1.01,1.01,2.02,2.02,1,1,1,1
96,1699.0,0.28064727783203125,1.01,1.01,1.01,4.04,1,1,1,1
97,1655.0,0.2831249237060547,1.01,1.01,1.01,100,1,1,1,0
98,1660.0,0.28323960304260254,1.01,2.02,2.02,100,1,1,1,0
99,1539.0,0.28745198249816895,1.01,100,100,100,1,0,0,0
100,1605.0,0.286013126373291,1.01,1.01,100,100,1,1,0,0
