Trial,Cut at T=100,Simulation Time (s),T to 0.87 GS Energy,T to 0.9 GS Energy,T to 0.92 GS Energy,T to 0.96 GS Energy,Success for 0.87 GS Energy,Success for 0.9 GS Energy,Success for 0.92 GS Energy,Success for 0.96 GS Energy
1,2021.0,0.6760263442993164,2.0,3.0,9.0,100,1,1,1,0
2,2025.0,0.7593729496002197,2.0,3.0,7.000000000000001,100,1,1,1,0
3,2031.0,0.7588272094726562,2.0,2.0,4.0,100,1,1,1,0
4,2014.0,0.7605535984039307,2.0,3.0,6.0,100,1,1,1,0
5,2043.0,0.7591261863708496,1.0,2.0,3.0,100,1,1,1,0
6,1956.0,0.7577164173126221,2.0,100,100,100,1,0,0,0
7,2001.0,0.7580816745758057,1.0,2.0,100,100,1,1,0,0
8,1997.0,0.7574572563171387,2.0,4.0,100,100,1,1,0,0
9,2070.0,0.7578175067901611,1.0,2.0,3.0,100,1,1,1,0
10,2127.0,0.7561254501342773,2.0,2.0,4.0,8.0,1,1,1,1
11,2008.0,0.7593438625335693,2.0,2.0,9.0,100,1,1,1,0
12,2022.0,0.7559537887573242,2.0,4.0,15.0,100,1,1,1,0
13,2033.0,0.756009578704834,2.0,3.0,5.0,100,1,1,1,0
14,2061.0,0.7570433616638184,2.0,3.0,4.0,100,1,1,1,0
15,1991.0,0.7568483352661133,2.0,4.0,100,100,1,1,0,0
16,2075.0,0.7572026252746582,1.0,2.0,2.0,100,1,1,1,0
17,2057.0,0.758033037185669,2.0,2.0,4.0,100,1,1,1,0
18,2031.0,0.7584555149078369,2.0,2.0,4.0,100,1,1,1,0
19,2044.0,0.7596800327301025,1.0,4.0,15.0,100,1,1,1,0
20,2008.0,0.7587990760803223,2.0,4.0,12.0,100,1,1,1,0
21,2033.0,0.7596752643585205,1.0,2.0,11.0,100,1,1,1,0
22,2019.0,0.7580208778381348,2.0,3.0,5.0,100,1,1,1,0
23,1987.0,0.7588205337524414,2.0,4.0,100,100,1,1,0,0
24,2017.0,0.7568285465240479,2.0,3.0,6.0,100,1,1,1,0
25,2026.0,0.7572612762451172,2.0,3.0,4.0,100,1,1,1,0
26,1992.0,0.7577543258666992,2.0,3.0,100,100,1,1,0,0
27,2019.0,0.7594618797302246,2.0,3.0,5.0,100,1,1,1,0
28,2024.0,0.7553153038024902,2.0,3.0,5.0,100,1,1,1,0
29,2053.0,0.757939338684082,2.0,3.0,7.000000000000001,100,1,1,1,0
30,2029.0,0.7597455978393555,2.0,3.0,5.0,100,1,1,1,0
31,1992.0,0.7562234401702881,2.0,3.0,100,100,1,1,0,0
32,2029.0,0.7585005760192871,1.0,2.0,3.0,100,1,1,1,0
33,2004.0,0.7583174705505371,2.0,2.0,7.000000000000001,100,1,1,1,0
34,2011.0,0.754596471786499,3.0,7.000000000000001,16.0,100,1,1,1,0
35,2008.0,0.7575323581695557,2.0,3.0,16.0,100,1,1,1,0
36,2026.0,0.7585270404815674,2.0,3.0,13.0,100,1,1,1,0
37,2029.0,0.7574453353881836,2.0,4.0,17.0,100,1,1,1,0
38,1997.0,0.7572975158691406,2.0,4.0,100,100,1,1,0,0
39,2069.0,0.7591025829315186,1.0,2.0,3.0,100,1,1,1,0
40,1989.0,0.7551159858703613,3.0,15.0,100,100,1,1,0,0
41,2002.0,0.7588133811950684,2.0,4.0,100,100,1,1,0,0
42,2040.0,0.7590432167053223,3.0,6.0,12.0,100,1,1,1,0
43,2025.0,0.7573418617248535,2.0,4.0,15.0,100,1,1,1,0
44,2084.0,0.757988452911377,2.0,2.0,3.0,100,1,1,1,0
45,2097.0,0.7590670585632324,1.0,2.0,3.0,11.0,1,1,1,1
46,2088.0,0.7566683292388916,1.0,2.0,3.0,100,1,1,1,0
47,1973.0,0.7595968246459961,2.0,12.0,100,100,1,1,0,0
48,2034.0,0.759014368057251,1.0,1.0,2.0,100,1,1,1,0
49,2028.0,0.757230281829834,1.0,2.0,9.0,100,1,1,1,0
50,2006.0,0.7597000598907471,2.0,3.0,14.000000000000002,100,1,1,1,0
51,2001.0,0.7598915100097656,2.0,4.0,100,100,1,1,0,0
52,2013.0,0.758493185043335,2.0,4.0,21.0,100,1,1,1,0
53,1939.0,0.7590963840484619,3.0,100,100,100,1,0,0,0
54,2048.0,0.7596418857574463,1.0,2.0,4.0,100,1,1,1,0
55,2017.0,0.7534372806549072,2.0,8.0,12.0,100,1,1,1,0
56,1966.0,0.7558448314666748,2.0,8.0,100,100,1,1,0,0
57,2016.0,0.7567028999328613,2.0,4.0,11.0,100,1,1,1,0
58,2006.0,0.7545948028564453,2.0,3.0,47.0,100,1,1,1,0
59,2042.0,0.7560012340545654,2.0,3.0,6.0,100,1,1,1,0
60,2058.0,0.7560155391693115,1.0,2.0,3.0,100,1,1,1,0
61,2033.0,0.7549784183502197,2.0,3.0,5.0,100,1,1,1,0
62,1990.0,0.7559144496917725,2.0,6.0,100,100,1,1,0,0
63,2070.0,0.7551662921905518,1.0,2.0,3.0,100,1,1,1,0
64,1994.0,0.7551531791687012,2.0,3.0,100,100,1,1,0,0
65,2034.0,0.7544527053833008,2.0,2.0,3.0,100,1,1,1,0
66,1988.0,0.7556240558624268,2.0,6.0,100,100,1,1,0,0
67,1993.0,0.7544956207275391,2.0,3.0,100,100,1,1,0,0
68,2070.0,0.753598690032959,2.0,3.0,7.000000000000001,100,1,1,1,0
69,2022.0,0.7522542476654053,2.0,8.0,16.0,100,1,1,1,0
70,2019.0,0.7546467781066895,1.0,2.0,4.0,100,1,1,1,0
71,2022.0,0.7546005249023438,2.0,4.0,22.0,100,1,1,1,0
72,2043.0,0.7546956539154053,2.0,2.0,3.0,100,1,1,1,0
73,2040.0,0.7557790279388428,2.0,3.0,5.0,100,1,1,1,0
74,2011.0,0.7504000663757324,2.0,3.0,7.000000000000001,100,1,1,1,0
75,2032.0,0.7524678707122803,2.0,3.0,5.0,100,1,1,1,0
76,2008.0,0.7513856887817383,2.0,2.0,6.0,100,1,1,1,0
77,2025.0,0.7537364959716797,2.0,3.0,6.0,100,1,1,1,0
78,2005.0,0.754492998123169,2.0,4.0,14.000000000000002,100,1,1,1,0
79,2031.0,0.754122257232666,2.0,3.0,7.000000000000001,100,1,1,1,0
