Trial,Cut at T=100,Simulation Time (s),T to 0.87 GS Energy,T to 0.9 GS Energy,T to 0.92 GS Energy,T to 0.96 GS Energy,Success for 0.87 GS Energy,Success for 0.9 GS Energy,Success for 0.92 GS Energy,Success for 0.96 GS Energy
1,82.0,0.2868919372558594,5.050000000000001,6.06,7.07,11.11,1,1,1,1
2,76.0,0.2873983383178711,2.02,3.03,100,100,1,1,0,0
3,75.0,0.2858877182006836,5.050000000000001,5.050000000000001,100,100,1,1,0,0
4,82.0,0.2878885269165039,6.06,6.06,6.06,8.08,1,1,1,1
5,82.0,0.26714324951171875,2.02,2.02,3.03,3.03,1,1,1,1
6,80.0,0.27012038230895996,2.02,2.02,2.02,5.050000000000001,1,1,1,1
7,69.0,0.25895166397094727,100,100,100,100,0,0,0,0
8,82.0,0.26360559463500977,1.01,2.02,3.03,4.04,1,1,1,1
9,76.0,0.28781580924987793,3.03,3.03,100,100,1,1,0,0
10,78.0,0.2660243511199951,2.02,2.02,2.02,100,1,1,1,0
11,80.0,0.2743058204650879,2.02,3.03,6.06,8.08,1,1,1,1
12,81.0,0.2952606678009033,2.02,2.02,3.03,7.07,1,1,1,1
13,80.0,0.2816963195800781,2.02,2.02,4.04,6.06,1,1,1,1
14,79.0,0.28267979621887207,2.02,2.02,3.03,100,1,1,1,0
15,80.0,0.28232622146606445,2.02,2.02,3.03,5.050000000000001,1,1,1,1
16,79.0,0.27203369140625,3.03,4.04,4.04,100,1,1,1,0
17,82.0,0.2610759735107422,2.02,3.03,3.03,10.100000000000001,1,1,1,1
18,78.0,0.2966954708099365,2.02,2.02,2.02,100,1,1,1,0
19,79.0,0.2645680904388428,2.02,2.02,3.03,100,1,1,1,0
20,80.0,0.27976465225219727,1.01,3.03,3.03,4.04,1,1,1,1
21,79.0,0.29020118713378906,2.02,3.03,3.03,100,1,1,1,0
22,82.0,0.29340457916259766,2.02,2.02,2.02,3.03,1,1,1,1
23,78.0,0.2805020809173584,2.02,2.02,3.03,100,1,1,1,0
