Trial,Cut at T=100,Simulation Time (s),T to 0.87 GS Energy,T to 0.9 GS Energy,T to 0.92 GS Energy,T to 0.96 GS Energy,Success for 0.87 GS Energy,Success for 0.9 GS Energy,Success for 0.92 GS Energy,Success for 0.96 GS Energy
1,1709.0,0.3290088176727295,1.01,1.01,1.01,1.01,1,1,1,1
2,1721.0,0.3158235549926758,1.01,1.01,1.01,2.02,1,1,1,1
3,1698.0,0.3359715938568115,1.01,1.01,1.01,3.03,1,1,1,1
4,1682.0,0.31406617164611816,1.01,1.01,1.01,3.03,1,1,1,1
5,1642.0,0.30198192596435547,1.01,1.01,1.01,100,1,1,1,0
6,1687.0,0.3047139644622803,1.01,1.01,1.01,2.02,1,1,1,1
7,1721.0,0.3372981548309326,1.01,1.01,1.01,1.01,1,1,1,1
8,1734.0,0.3276960849761963,1.01,1.01,1.01,1.01,1,1,1,1
9,1616.0,0.31401991844177246,1.01,1.01,1.01,100,1,1,1,0
10,1666.0,0.31398534774780273,1.01,1.01,2.02,100,1,1,1,0
11,1709.0,0.31160831451416016,1.01,1.01,1.01,2.02,1,1,1,1
12,1726.0,0.41173577308654785,1.01,1.01,1.01,1.01,1,1,1,1
13,1608.0,0.3072831630706787,1.01,1.01,100,100,1,1,0,0
14,1691.0,0.32239317893981934,1.01,1.01,1.01,3.03,1,1,1,1
15,1484.0,0.3226950168609619,100,100,100,100,0,0,0,0
16,1740.0,0.3406975269317627,1.01,1.01,1.01,1.01,1,1,1,1
17,1749.0,0.3120105266571045,1.01,1.01,1.01,7.07,1,1,1,1
18,1680.0,0.3304569721221924,1.01,1.01,1.01,100,1,1,1,0
19,1624.0,0.33266568183898926,1.01,1.01,3.03,100,1,1,1,0
20,1745.0,0.30759310722351074,1.01,1.01,1.01,1.01,1,1,1,1
21,1657.0,0.3335456848144531,1.01,1.01,1.01,100,1,1,1,0
22,1646.0,0.30692267417907715,1.01,1.01,1.01,100,1,1,1,0
23,1627.0,0.3132808208465576,1.01,1.01,1.01,100,1,1,1,0
24,1653.0,0.32434535026550293,1.01,1.01,1.01,100,1,1,1,0
25,1637.0,0.29863405227661133,1.01,1.01,1.01,100,1,1,1,0
26,1700.0,0.3198423385620117,1.01,1.01,1.01,1.01,1,1,1,1
27,1677.0,0.3095510005950928,1.01,1.01,1.01,100,1,1,1,0
28,1677.0,0.33434295654296875,1.01,1.01,1.01,100,1,1,1,0
29,1730.0,0.3214714527130127,1.01,1.01,1.01,1.01,1,1,1,1
30,1603.0,0.32697033882141113,1.01,1.01,100,100,1,1,0,0
31,1657.0,0.30725526809692383,1.01,1.01,1.01,100,1,1,1,0
32,1627.0,0.31145691871643066,1.01,1.01,1.01,100,1,1,1,0
33,1564.0,0.31966137886047363,1.01,100,100,100,1,0,0,0
34,1734.0,0.30980587005615234,1.01,1.01,1.01,1.01,1,1,1,1
35,1620.0,0.322568416595459,1.01,1.01,2.02,100,1,1,1,0
36,1716.0,0.3241872787475586,1.01,1.01,1.01,1.01,1,1,1,1
37,1688.0,0.31865811347961426,1.01,1.01,1.01,1.01,1,1,1,1
38,1619.0,0.3187270164489746,1.01,1.01,1.01,100,1,1,1,0
39,1698.0,0.30406951904296875,1.01,1.01,1.01,1.01,1,1,1,1
40,1679.0,0.31757330894470215,3.03,4.04,4.04,100,1,1,1,0
41,1669.0,0.32178330421447754,1.01,1.01,1.01,100,1,1,1,0
42,1745.0,0.33182454109191895,1.01,1.01,1.01,1.01,1,1,1,1
43,1662.0,0.3119070529937744,1.01,1.01,1.01,100,1,1,1,0
44,1659.0,0.31691408157348633,1.01,1.01,1.01,100,1,1,1,0
45,1677.0,0.3345909118652344,1.01,1.01,1.01,100,1,1,1,0
46,1688.0,0.3154640197753906,1.01,1.01,1.01,1.01,1,1,1,1
47,1646.0,0.3129138946533203,1.01,1.01,1.01,100,1,1,1,0
48,1604.0,0.33780908584594727,1.01,1.01,100,100,1,1,0,0
49,1676.0,0.325758695602417,1.01,1.01,1.01,100,1,1,1,0
50,1513.0,0.32318758964538574,100,100,100,100,0,0,0,0
51,1666.0,0.3253622055053711,1.01,1.01,1.01,100,1,1,1,0
52,1726.0,0.3105461597442627,1.01,1.01,1.01,1.01,1,1,1,1
53,1694.0,0.322662353515625,1.01,1.01,1.01,1.01,1,1,1,1
54,1740.0,0.34133243560791016,1.01,1.01,1.01,1.01,1,1,1,1
55,1745.0,0.30796337127685547,1.01,1.01,2.02,2.02,1,1,1,1
56,1734.0,0.32892417907714844,1.01,2.02,2.02,2.02,1,1,1,1
57,1687.0,0.3363823890686035,1.01,1.01,1.01,2.02,1,1,1,1
58,1650.0,0.3114001750946045,1.01,1.01,1.01,100,1,1,1,0
59,1709.0,0.31099581718444824,1.01,1.01,1.01,1.01,1,1,1,1
60,1667.0,0.3095071315765381,1.01,1.01,1.01,100,1,1,1,0
61,1603.0,0.3125576972961426,1.01,1.01,100,100,1,1,0,0
62,1721.0,0.3239443302154541,1.01,1.01,1.01,1.01,1,1,1,1
63,1694.0,0.3184804916381836,1.01,1.01,1.01,1.01,1,1,1,1
64,1749.0,0.3298366069793701,1.01,1.01,1.01,1.01,1,1,1,1
65,1699.0,0.32750630378723145,1.01,1.01,1.01,1.01,1,1,1,1
66,1715.0,0.31278061866760254,1.01,1.01,1.01,3.03,1,1,1,1
67,1721.0,0.31460070610046387,1.01,1.01,2.02,3.03,1,1,1,1
68,1584.0,0.3278675079345703,1.01,3.03,100,100,1,1,0,0
69,1671.0,0.3326606750488281,1.01,1.01,1.01,100,1,1,1,0
70,1694.0,0.32338881492614746,1.01,1.01,1.01,1.01,1,1,1,1
71,1544.0,0.3080568313598633,1.01,100,100,100,1,0,0,0
72,1663.0,0.31323719024658203,1.01,1.01,1.01,100,1,1,1,0
73,1600.0,0.328873872756958,1.01,1.01,100,100,1,1,0,0
74,1723.0,0.30467891693115234,1.01,1.01,1.01,1.01,1,1,1,1
75,1676.0,0.3234140872955322,1.01,1.01,1.01,100,1,1,1,0
76,1698.0,0.33429408073425293,1.01,1.01,2.02,7.07,1,1,1,1
77,1643.0,0.30861568450927734,1.01,1.01,1.01,100,1,1,1,0
78,1699.0,0.3088681697845459,1.01,1.01,1.01,2.02,1,1,1,1
79,1679.0,0.31916141510009766,1.01,1.01,1.01,100,1,1,1,0
80,1744.0,0.30493903160095215,1.01,1.01,1.01,1.01,1,1,1,1
81,1666.0,0.3249166011810303,1.01,1.01,1.01,100,1,1,1,0
82,1749.0,0.3316311836242676,1.01,1.01,1.01,1.01,1,1,1,1
83,1692.0,0.31549787521362305,1.01,1.01,1.01,1.01,1,1,1,1
84,1567.0,0.32588720321655273,1.01,100,100,100,1,0,0,0
85,1645.0,0.30766773223876953,1.01,1.01,1.01,100,1,1,1,0
86,1690.0,0.3295631408691406,1.01,1.01,1.01,3.03,1,1,1,1
87,1688.0,0.32605934143066406,1.01,1.01,1.01,1.01,1,1,1,1
88,1682.0,0.3278493881225586,1.01,1.01,1.01,2.02,1,1,1,1
89,1642.0,0.33791232109069824,1.01,1.01,1.01,100,1,1,1,0
90,1698.0,0.3176076412200928,1.01,2.02,2.02,2.02,1,1,1,1
91,1680.0,0.32401204109191895,1.01,1.01,1.01,100,1,1,1,0
92,1709.0,0.31166577339172363,1.01,1.01,1.01,1.01,1,1,1,1
93,1607.0,0.3165855407714844,1.01,1.01,100,100,1,1,0,0
94,1663.0,0.3264024257659912,1.01,1.01,1.01,100,1,1,1,0
95,1632.0,0.29880499839782715,1.01,1.01,1.01,100,1,1,1,0
96,1743.0,0.2993192672729492,1.01,1.01,1.01,2.02,1,1,1,1
97,1749.0,0.30870842933654785,1.01,1.01,1.01,1.01,1,1,1,1
98,1703.0,0.3182079792022705,1.01,1.01,1.01,1.01,1,1,1,1
99,1549.0,0.3114767074584961,1.01,100,100,100,1,0,0,0
100,1645.0,0.3162219524383545,1.01,1.01,2.02,100,1,1,1,0
