Trial,Cut at T=100,Simulation Time (s),T to 0.87 GS Energy,T to 0.9 GS Energy,T to 0.92 GS Energy,T to 0.96 GS Energy,Success for 0.87 GS Energy,Success for 0.9 GS Energy,Success for 0.92 GS Energy,Success for 0.96 GS Energy
1,2926.0,0.6613099575042725,100,100,100,100,0,0,0,0
2,2848.0,0.6569650173187256,100,100,100,100,0,0,0,0
3,2913.0,0.6574611663818359,100,100,100,100,0,0,0,0
4,2957.0,0.6570861339569092,100,100,100,100,0,0,0,0
5,2967.0,0.656745195388794,100,100,100,100,0,0,0,0
6,2887.0,0.6554334163665771,100,100,100,100,0,0,0,0
7,2943.0,0.6587862968444824,100,100,100,100,0,0,0,0
8,2896.0,0.6590137481689453,100,100,100,100,0,0,0,0
9,2913.0,0.6572015285491943,100,100,100,100,0,0,0,0
10,2945.0,0.6592366695404053,100,100,100,100,0,0,0,0
11,2885.0,0.659454345703125,100,100,100,100,0,0,0,0
12,3006.0,0.6586289405822754,100,100,100,100,0,0,0,0
13,2920.0,0.659125804901123,100,100,100,100,0,0,0,0
14,2976.0,0.6591088771820068,100,100,100,100,0,0,0,0
15,3014.0,0.6578471660614014,100,100,100,100,0,0,0,0
16,2971.0,0.6582307815551758,100,100,100,100,0,0,0,0
17,2899.0,0.6580197811126709,100,100,100,100,0,0,0,0
18,2985.0,0.657696008682251,100,100,100,100,0,0,0,0
19,2959.0,0.6580300331115723,100,100,100,100,0,0,0,0
20,2946.0,0.658790111541748,100,100,100,100,0,0,0,0
21,2888.0,0.6582682132720947,100,100,100,100,0,0,0,0
22,2948.0,0.6592648029327393,100,100,100,100,0,0,0,0
23,2902.0,0.6599807739257812,100,100,100,100,0,0,0,0
24,2919.0,0.6575417518615723,100,100,100,100,0,0,0,0
25,2943.0,0.6581501960754395,100,100,100,100,0,0,0,0
26,2977.0,0.6587002277374268,100,100,100,100,0,0,0,0
27,2955.0,0.6569814682006836,100,100,100,100,0,0,0,0
28,2957.0,0.6605072021484375,100,100,100,100,0,0,0,0
29,2948.0,0.6570985317230225,100,100,100,100,0,0,0,0
30,2907.0,0.657031774520874,100,100,100,100,0,0,0,0
31,2928.0,0.6584634780883789,100,100,100,100,0,0,0,0
32,2980.0,0.6584532260894775,100,100,100,100,0,0,0,0
33,3006.0,0.6576669216156006,100,100,100,100,0,0,0,0
34,2940.0,0.6574528217315674,100,100,100,100,0,0,0,0
35,2883.0,0.6580109596252441,100,100,100,100,0,0,0,0
36,2904.0,0.6580815315246582,100,100,100,100,0,0,0,0
37,2918.0,0.658313512802124,100,100,100,100,0,0,0,0
38,2927.0,0.6574084758758545,100,100,100,100,0,0,0,0
39,2925.0,0.6586828231811523,100,100,100,100,0,0,0,0
40,2958.0,0.6577591896057129,100,100,100,100,0,0,0,0
41,2974.0,0.65960693359375,100,100,100,100,0,0,0,0
42,2970.0,0.6585910320281982,100,100,100,100,0,0,0,0
43,2914.0,0.6584954261779785,100,100,100,100,0,0,0,0
44,3008.0,0.6572625637054443,87.87,100,100,100,1,0,0,0
45,2950.0,0.6577048301696777,100,100,100,100,0,0,0,0
46,2918.0,0.6600713729858398,100,100,100,100,0,0,0,0
47,2932.0,0.6596386432647705,100,100,100,100,0,0,0,0
48,2904.0,0.658627986907959,100,100,100,100,0,0,0,0
49,2952.0,0.6574711799621582,100,100,100,100,0,0,0,0
50,2939.0,0.6594548225402832,100,100,100,100,0,0,0,0
51,2907.0,0.6588575839996338,100,100,100,100,0,0,0,0
52,2885.0,0.6572103500366211,100,100,100,100,0,0,0,0
53,2898.0,0.6570475101470947,100,100,100,100,0,0,0,0
54,2938.0,0.6587386131286621,100,100,100,100,0,0,0,0
55,2876.0,0.6588172912597656,100,100,100,100,0,0,0,0
56,2918.0,0.6574783325195312,100,100,100,100,0,0,0,0
57,2843.0,0.6582341194152832,100,100,100,100,0,0,0,0
58,2927.0,0.6579523086547852,100,100,100,100,0,0,0,0
59,2939.0,0.6580402851104736,100,100,100,100,0,0,0,0
60,2946.0,0.6584043502807617,100,100,100,100,0,0,0,0
61,2877.0,0.659088134765625,100,100,100,100,0,0,0,0
62,2971.0,0.6584620475769043,100,100,100,100,0,0,0,0
63,2896.0,0.6574079990386963,100,100,100,100,0,0,0,0
64,2906.0,0.6593892574310303,100,100,100,100,0,0,0,0
65,2877.0,0.6596279144287109,100,100,100,100,0,0,0,0
66,2965.0,0.6590538024902344,100,100,100,100,0,0,0,0
67,2951.0,0.6584599018096924,100,100,100,100,0,0,0,0
68,2956.0,0.6603522300720215,100,100,100,100,0,0,0,0
69,3034.0,0.6588993072509766,85.85,100,100,100,1,0,0,0
70,2935.0,0.6588954925537109,100,100,100,100,0,0,0,0
71,2970.0,0.6579079627990723,100,100,100,100,0,0,0,0
72,2896.0,0.6582748889923096,100,100,100,100,0,0,0,0
73,2970.0,0.6561868190765381,100,100,100,100,0,0,0,0
74,2970.0,0.6587173938751221,100,100,100,100,0,0,0,0
75,2955.0,0.6584177017211914,100,100,100,100,0,0,0,0
76,2941.0,0.6572258472442627,100,100,100,100,0,0,0,0
77,2953.0,0.6595487594604492,100,100,100,100,0,0,0,0
78,2884.0,0.6580319404602051,100,100,100,100,0,0,0,0
79,2912.0,0.6575279235839844,100,100,100,100,0,0,0,0
80,2977.0,0.659170389175415,100,100,100,100,0,0,0,0
81,2880.0,0.6588058471679688,100,100,100,100,0,0,0,0
82,2942.0,0.6589434146881104,100,100,100,100,0,0,0,0
83,2909.0,0.6582012176513672,100,100,100,100,0,0,0,0
84,2915.0,0.6581707000732422,100,100,100,100,0,0,0,0
85,2964.0,0.659705400466919,100,100,100,100,0,0,0,0
86,2939.0,0.6597929000854492,100,100,100,100,0,0,0,0
87,2906.0,0.6585242748260498,100,100,100,100,0,0,0,0
88,2923.0,0.658433198928833,100,100,100,100,0,0,0,0
89,2901.0,0.6591939926147461,100,100,100,100,0,0,0,0
90,2947.0,0.659959077835083,100,100,100,100,0,0,0,0
91,2956.0,0.657738208770752,100,100,100,100,0,0,0,0
92,2969.0,0.6584768295288086,100,100,100,100,0,0,0,0
93,2938.0,0.6577513217926025,100,100,100,100,0,0,0,0
94,2949.0,0.6588051319122314,100,100,100,100,0,0,0,0
95,2920.0,0.6584653854370117,100,100,100,100,0,0,0,0
96,2905.0,0.6596798896789551,100,100,100,100,0,0,0,0
97,2935.0,0.6602859497070312,100,100,100,100,0,0,0,0
98,2942.0,0.6604404449462891,100,100,100,100,0,0,0,0
99,2869.0,0.6605055332183838,100,100,100,100,0,0,0,0
100,2892.0,0.6599092483520508,100,100,100,100,0,0,0,0
