Trial,Cut at T=100,Simulation Time (s),T to 0.87 GS Energy,T to 0.9 GS Energy,T to 0.92 GS Energy,T to 0.96 GS Energy,Success for 0.87 GS Energy,Success for 0.9 GS Energy,Success for 0.92 GS Energy,Success for 0.96 GS Energy
1,63.0,0.20369720458984375,100,100,100,100,0,0,0,0
2,70.0,0.2055492401123047,73.73,100,100,100,1,0,0,0
3,50.0,0.20348763465881348,100,100,100,100,0,0,0,0
4,64.0,0.21893095970153809,87.87,87.87,100,100,1,1,0,0
5,67.0,0.2024991512298584,100,100,100,100,0,0,0,0
6,63.0,0.2017500400543213,100,100,100,100,0,0,0,0
7,59.0,0.2025456428527832,100,100,100,100,0,0,0,0
8,62.0,0.20270466804504395,83.83000000000001,100,100,100,1,0,0,0
9,58.0,0.201430082321167,100,100,100,100,0,0,0,0
10,54.0,0.2014925479888916,100,100,100,100,0,0,0,0
11,59.0,0.20157957077026367,100,100,100,100,0,0,0,0
12,61.0,0.20279741287231445,100,100,100,100,0,0,0,0
13,63.0,0.20129609107971191,86.86,90.9,100,100,1,1,0,0
14,63.0,0.2021949291229248,89.89,100,100,100,1,0,0,0
15,53.0,0.20409822463989258,100,100,100,100,0,0,0,0
16,53.0,0.20155835151672363,100,100,100,100,0,0,0,0
17,66.0,0.20301365852355957,84.84,89.89,100,100,1,1,0,0
18,66.0,0.20520758628845215,59.589999999999996,59.589999999999996,81.81,100,1,1,1,0
19,68.0,0.20271611213684082,56.56,61.61,62.62,100,1,1,1,0
20,64.0,0.20345282554626465,54.540000000000006,67.67,100,100,1,1,0,0
21,63.0,0.20289850234985352,87.87,100,100,100,1,0,0,0
22,63.0,0.20350933074951172,100,100,100,100,0,0,0,0
23,63.0,0.20549798011779785,54.540000000000006,72.72,100,100,1,1,0,0
24,62.0,0.201934814453125,73.73,100,100,100,1,0,0,0
25,64.0,0.20352411270141602,88.88,89.89,100,100,1,1,0,0
26,67.0,0.204742431640625,73.73,100,100,100,1,0,0,0
27,63.0,0.2005627155303955,65.65,100,100,100,1,0,0,0
28,69.0,0.20421433448791504,78.78,78.78,81.81,84.84,1,1,1,1
29,62.0,0.20157098770141602,82.82000000000001,100,100,100,1,0,0,0
30,58.0,0.20430564880371094,100,100,100,100,0,0,0,0
31,56.0,0.20259833335876465,100,100,100,100,0,0,0,0
32,51.0,0.20320463180541992,100,100,100,100,0,0,0,0
33,54.0,0.2036142349243164,100,100,100,100,0,0,0,0
34,67.0,0.20255780220031738,49.49,64.64,73.73,100,1,1,1,0
35,62.0,0.20406794548034668,83.83000000000001,100,100,100,1,0,0,0
36,54.0,0.20591330528259277,100,100,100,100,0,0,0,0
37,62.0,0.20302414894104004,79.79,100,100,100,1,0,0,0
38,67.0,0.20299887657165527,54.540000000000006,54.540000000000006,55.550000000000004,100,1,1,1,0
39,68.0,0.20090723037719727,100,100,100,100,0,0,0,0
40,60.0,0.20409417152404785,100,100,100,100,0,0,0,0
41,60.0,0.20363402366638184,100,100,100,100,0,0,0,0
42,61.0,0.20437312126159668,100,100,100,100,0,0,0,0
43,67.0,0.20252585411071777,62.62,62.62,79.79,100,1,1,1,0
44,55.0,0.2030632495880127,100,100,100,100,0,0,0,0
45,60.0,0.2029857635498047,100,100,100,100,0,0,0,0
46,60.0,0.20409631729125977,100,100,100,100,0,0,0,0
47,48.0,0.20351386070251465,100,100,100,100,0,0,0,0
48,52.0,0.2062840461730957,100,100,100,100,0,0,0,0
49,62.0,0.20237159729003906,68.68,100,100,100,1,0,0,0
50,54.0,0.20439553260803223,100,100,100,100,0,0,0,0
51,53.0,0.2032921314239502,100,100,100,100,0,0,0,0
52,56.0,0.20533323287963867,100,100,100,100,0,0,0,0
53,61.0,0.20388245582580566,100,100,100,100,0,0,0,0
