Trial,Cut at T=100,Simulation Time (s),T to 0.87 GS Energy,T to 0.9 GS Energy,T to 0.92 GS Energy,T to 0.96 GS Energy,Success for 0.87 GS Energy,Success for 0.9 GS Energy,Success for 0.92 GS Energy,Success for 0.96 GS Energy
1,1734.0,0.22838807106018066,16.16,17.17,17.17,23.23,1,1,1,1
2,1633.0,0.23281407356262207,29.29,32.32,90.9,100,1,1,1,0
3,1689.0,0.22463488578796387,48.48,48.48,48.48,100,1,1,1,0
4,1694.0,0.22531962394714355,14.14,47.470000000000006,48.48,48.48,1,1,1,1
5,1696.0,0.22781896591186523,31.31,31.31,31.31,32.32,1,1,1,1
6,1602.0,0.22893714904785156,14.14,14.14,14.14,16.16,1,1,1,1
7,1681.0,0.22411417961120605,13.13,14.14,14.14,100,1,1,1,0
8,1538.0,0.22791361808776855,15.149999999999999,100,100,100,1,0,0,0
9,1549.0,0.2320551872253418,14.14,16.16,19.19,100,1,1,1,0
10,1677.0,0.2330169677734375,12.12,13.13,13.13,100,1,1,1,0
11,1653.0,0.2273404598236084,13.13,47.470000000000006,51.51,100,1,1,1,0
12,1575.0,0.22674989700317383,15.149999999999999,100,100,100,1,0,0,0
13,1653.0,0.22617530822753906,14.14,26.26,27.270000000000003,100,1,1,1,0
14,1721.0,0.22792625427246094,16.16,24.24,25.25,100,1,1,1,0
15,1702.0,0.22974491119384766,16.16,18.18,18.18,24.24,1,1,1,1
16,1707.0,0.229081392288208,31.31,32.32,32.32,32.32,1,1,1,1
17,1702.0,0.22955942153930664,14.14,14.14,15.149999999999999,100,1,1,1,0
18,1630.0,0.22681903839111328,35.35,90.9,90.9,100,1,1,1,0
19,1723.0,0.22819781303405762,13.13,14.14,15.149999999999999,20.200000000000003,1,1,1,1
20,1521.0,0.22878003120422363,15.149999999999999,15.149999999999999,16.16,90.9,1,1,1,1
21,1678.0,0.2278456687927246,13.13,13.13,14.14,100,1,1,1,0
22,1734.0,0.22869086265563965,15.149999999999999,15.149999999999999,16.16,25.25,1,1,1,1
23,1663.0,0.2298276424407959,14.14,15.149999999999999,16.16,100,1,1,1,0
24,1642.0,0.22968626022338867,39.39,40.400000000000006,79.79,100,1,1,1,0
25,1677.0,0.23234319686889648,13.13,16.16,27.270000000000003,49.49,1,1,1,1
26,1633.0,0.22386765480041504,14.14,23.23,47.470000000000006,100,1,1,1,0
27,1698.0,0.23246192932128906,16.16,16.16,17.17,45.45,1,1,1,1
28,1629.0,0.22529149055480957,29.29,47.470000000000006,47.470000000000006,100,1,1,1,0
29,1723.0,0.22408795356750488,13.13,14.14,15.149999999999999,35.35,1,1,1,1
30,1549.0,0.22417569160461426,19.19,20.200000000000003,23.23,100,1,1,1,0
31,1654.0,0.22828245162963867,24.24,26.26,27.270000000000003,100,1,1,1,0
32,1516.0,0.22730278968811035,19.19,21.21,23.23,24.24,1,1,1,1
33,1734.0,0.22416901588439941,15.149999999999999,17.17,18.18,20.200000000000003,1,1,1,1
34,1702.0,0.2287006378173828,23.23,26.26,27.270000000000003,100,1,1,1,0
35,1539.0,0.22452926635742188,38.38,100,100,100,1,0,0,0
36,1661.0,0.22941350936889648,15.149999999999999,17.17,18.18,100,1,1,1,0
37,1663.0,0.22734785079956055,26.26,26.26,26.26,100,1,1,1,0
38,1685.0,0.229386568069458,14.14,15.149999999999999,17.17,23.23,1,1,1,1
39,1694.0,0.23128652572631836,17.17,23.23,24.24,37.37,1,1,1,1
40,1646.0,0.2245650291442871,15.149999999999999,16.16,24.24,100,1,1,1,0
41,1683.0,0.2257544994354248,13.13,13.13,14.14,90.9,1,1,1,1
42,1685.0,0.22705936431884766,14.14,15.149999999999999,16.16,22.22,1,1,1,1
43,1677.0,0.2299177646636963,19.19,20.200000000000003,22.22,54.540000000000006,1,1,1,1
44,1625.0,0.23014330863952637,14.14,14.14,17.17,100,1,1,1,0
45,1734.0,0.23013949394226074,16.16,16.16,17.17,17.17,1,1,1,1
46,1688.0,0.2285633087158203,26.26,26.26,26.26,59.589999999999996,1,1,1,1
47,1573.0,0.22643351554870605,23.23,100,100,100,1,0,0,0
48,1694.0,0.2275371551513672,24.24,24.24,24.24,27.270000000000003,1,1,1,1
49,1709.0,0.22876739501953125,13.13,13.13,13.13,25.25,1,1,1,1
50,1603.0,0.23009157180786133,19.19,90.9,100,100,1,1,0,0
51,1689.0,0.22523212432861328,13.13,14.14,15.149999999999999,25.25,1,1,1,1
52,1744.0,0.23083257675170898,13.13,14.14,14.14,59.589999999999996,1,1,1,1
53,1734.0,0.2278456687927246,17.17,18.18,18.18,90.9,1,1,1,1
54,1694.0,0.22620105743408203,26.26,29.29,29.29,68.68,1,1,1,1
55,1648.0,0.22285056114196777,14.14,16.16,16.16,100,1,1,1,0
56,1626.0,0.2223978042602539,17.17,27.270000000000003,28.28,100,1,1,1,0
57,1676.0,0.2266063690185547,14.14,15.149999999999999,16.16,100,1,1,1,0
58,1691.0,0.22438454627990723,13.13,13.13,13.13,100,1,1,1,0
59,1723.0,0.22419977188110352,14.14,16.16,18.18,19.19,1,1,1,1
60,1694.0,0.2240588665008545,14.14,14.14,15.149999999999999,38.38,1,1,1,1
61,1554.0,0.22610068321228027,24.24,100,100,100,1,0,0,0
62,1723.0,0.22710156440734863,14.14,14.14,14.14,23.23,1,1,1,1
63,1694.0,0.22429275512695312,13.13,14.14,14.14,24.24,1,1,1,1
64,1681.0,0.2263796329498291,19.19,19.19,20.200000000000003,100,1,1,1,0
65,1678.0,0.22941112518310547,14.14,14.14,16.16,100,1,1,1,0
66,1603.0,0.22963500022888184,25.25,90.9,100,100,1,1,0,0
67,1702.0,0.22897934913635254,28.28,28.28,28.28,29.29,1,1,1,1
68,1575.0,0.228682279586792,16.16,100,100,100,1,0,0,0
69,1677.0,0.23347711563110352,23.23,41.410000000000004,41.410000000000004,100,1,1,1,0
70,1703.0,0.2292466163635254,14.14,14.14,14.14,15.149999999999999,1,1,1,1
71,1505.0,0.2292330265045166,100,100,100,100,0,0,0,0
72,1551.0,0.22767257690429688,17.17,100,100,100,1,0,0,0
73,1744.0,0.23266315460205078,18.18,20.200000000000003,21.21,24.24,1,1,1,1
74,1662.0,0.22568345069885254,13.13,14.14,14.14,100,1,1,1,0
75,1646.0,0.22417020797729492,13.13,14.14,17.17,100,1,1,1,0
76,1721.0,0.22620105743408203,13.13,13.13,14.14,74.74,1,1,1,1
77,1662.0,0.2291734218597412,12.12,13.13,28.28,100,1,1,1,0
78,1685.0,0.2249143123626709,14.14,14.14,14.14,16.16,1,1,1,1
79,1663.0,0.2237858772277832,58.58,62.62,62.62,100,1,1,1,0
80,1734.0,0.2246840000152588,24.24,24.24,25.25,28.28,1,1,1,1
81,1662.0,0.22992753982543945,38.38,47.470000000000006,50.5,100,1,1,1,0
82,1657.0,0.22888636589050293,15.149999999999999,16.16,17.17,100,1,1,1,0
83,1619.0,0.23038387298583984,40.400000000000006,41.410000000000004,41.410000000000004,100,1,1,1,0
84,1683.0,0.2256331443786621,15.149999999999999,16.16,16.16,90.9,1,1,1,1
85,1638.0,0.2275867462158203,18.18,21.21,57.57000000000001,100,1,1,1,0
86,1694.0,0.23218369483947754,13.13,14.14,14.14,69.69000000000001,1,1,1,1
87,1543.0,0.22576665878295898,19.19,100,100,100,1,0,0,0
88,1656.0,0.2294292449951172,15.149999999999999,21.21,40.400000000000006,100,1,1,1,0
89,1698.0,0.2310619354248047,16.16,17.17,17.17,26.26,1,1,1,1
90,1645.0,0.22902178764343262,16.16,20.200000000000003,20.200000000000003,100,1,1,1,0
91,1693.0,0.2282404899597168,47.470000000000006,47.470000000000006,47.470000000000006,48.48,1,1,1,1
92,1734.0,0.22695493698120117,14.14,15.149999999999999,16.16,17.17,1,1,1,1
93,1630.0,0.22945141792297363,18.18,90.9,90.9,100,1,1,1,0
94,1677.0,0.22885751724243164,35.35,36.36,38.38,49.49,1,1,1,1
95,1734.0,0.2388899326324463,40.400000000000006,41.410000000000004,42.42,42.42,1,1,1,1
96,1654.0,0.2256786823272705,15.149999999999999,16.16,25.25,100,1,1,1,0
97,1734.0,0.23824405670166016,25.25,27.270000000000003,27.270000000000003,27.270000000000003,1,1,1,1
98,1646.0,0.22845864295959473,12.12,13.13,15.149999999999999,100,1,1,1,0
99,1723.0,0.22351932525634766,13.13,15.149999999999999,18.18,25.25,1,1,1,1
100,1696.0,0.22626376152038574,15.149999999999999,23.23,24.24,24.24,1,1,1,1
