Trial,Cut at T=100,Simulation Time (s),T to 0.87 GS Energy,T to 0.9 GS Energy,T to 0.92 GS Energy,T to 0.96 GS Energy,Success for 0.87 GS Energy,Success for 0.9 GS Energy,Success for 0.92 GS Energy,Success for 0.96 GS Energy
1,126.0,0.27277636528015137,8.08,9.09,9.09,9.09,1,1,1,1
2,120.0,0.2630953788757324,4.04,6.06,6.06,100,1,1,1,0
3,126.0,0.27123117446899414,2.02,2.02,2.02,3.03,1,1,1,1
4,120.0,0.2632884979248047,3.03,3.03,3.03,100,1,1,1,0
5,127.0,0.27114176750183105,7.07,7.07,7.07,9.09,1,1,1,1
6,126.0,0.27147483825683594,3.03,4.04,4.04,8.08,1,1,1,1
7,127.0,0.26163625717163086,3.03,3.03,3.03,4.04,1,1,1,1
8,120.0,0.26354050636291504,7.07,8.08,8.08,100,1,1,1,0
9,126.0,0.2712547779083252,2.02,2.02,2.02,3.03,1,1,1,1
10,126.0,0.2713584899902344,3.03,3.03,4.04,4.04,1,1,1,1
11,127.0,0.2702159881591797,2.02,2.02,3.03,4.04,1,1,1,1
12,126.0,0.2709200382232666,2.02,3.03,3.03,5.050000000000001,1,1,1,1
13,127.0,0.25991296768188477,2.02,2.02,2.02,3.03,1,1,1,1
14,126.0,0.26111555099487305,2.02,2.02,2.02,2.02,1,1,1,1
15,120.0,0.26897597312927246,3.03,4.04,4.04,100,1,1,1,0
16,127.0,0.2714083194732666,2.02,2.02,2.02,3.03,1,1,1,1
17,127.0,0.2700986862182617,12.12,14.14,15.149999999999999,17.17,1,1,1,1
18,127.0,0.26019883155822754,3.03,4.04,5.050000000000001,5.050000000000001,1,1,1,1
19,119.0,0.26181840896606445,3.03,3.03,3.03,100,1,1,1,0
20,127.0,0.27239131927490234,4.04,5.050000000000001,6.06,6.06,1,1,1,1
21,127.0,0.2608678340911865,7.07,12.12,12.12,18.18,1,1,1,1
22,127.0,0.261263370513916,3.03,4.04,5.050000000000001,6.06,1,1,1,1
23,127.0,0.26169872283935547,3.03,3.03,3.03,4.04,1,1,1,1
24,127.0,0.27154016494750977,3.03,3.03,4.04,4.04,1,1,1,1
25,126.0,0.26131105422973633,4.04,5.050000000000001,6.06,7.07,1,1,1,1
26,120.0,0.26882457733154297,3.03,3.03,3.03,100,1,1,1,0
