Trial,Cut at T=100,Simulation Time (s),T to 0.87 GS Energy,T to 0.9 GS Energy,T to 0.92 GS Energy,T to 0.96 GS Energy,Success for 0.87 GS Energy,Success for 0.9 GS Energy,Success for 0.92 GS Energy,Success for 0.96 GS Energy
1,637.0,0.2625303268432617,1.01,1.01,1.01,2.02,1,1,1,1
2,591.0,0.2702622413635254,1.01,1.01,100,100,1,1,0,0
3,627.0,0.26131319999694824,1.01,1.01,1.01,2.02,1,1,1,1
4,590.0,0.2646937370300293,2.02,3.03,100,100,1,1,0,0
5,567.0,0.2618257999420166,2.02,100,100,100,1,0,0,0
6,624.0,0.26282668113708496,1.01,1.01,1.01,2.02,1,1,1,1
7,637.0,0.27190375328063965,1.01,1.01,1.01,2.02,1,1,1,1
8,603.0,0.26372194290161133,2.02,2.02,2.02,100,1,1,1,0
9,591.0,0.2695608139038086,1.01,2.02,100,100,1,1,0,0
10,642.0,0.26290154457092285,1.01,1.01,1.01,1.01,1,1,1,1
11,595.0,0.273693323135376,1.01,2.02,3.03,100,1,1,1,0
12,626.0,0.268082857131958,1.01,2.02,2.02,4.04,1,1,1,1
13,608.0,0.2772090435028076,1.01,1.01,2.02,100,1,1,1,0
14,594.0,0.25965023040771484,2.02,2.02,3.03,100,1,1,1,0
15,581.0,0.26705408096313477,2.02,2.02,100,100,1,1,0,0
16,610.0,0.2607731819152832,1.01,2.02,6.06,100,1,1,1,0
17,599.0,0.2671194076538086,1.01,1.01,2.02,100,1,1,1,0
18,590.0,0.27122950553894043,1.01,1.01,100,100,1,1,0,0
19,599.0,0.26921606063842773,1.01,1.01,3.03,100,1,1,1,0
20,630.0,0.2662827968597412,1.01,1.01,1.01,4.04,1,1,1,1
21,605.0,0.27265071868896484,1.01,1.01,1.01,100,1,1,1,0
22,606.0,0.26887035369873047,1.01,1.01,1.01,100,1,1,1,0
23,589.0,0.2732822895050049,1.01,2.02,100,100,1,1,0,0
24,608.0,0.26755571365356445,1.01,1.01,2.02,100,1,1,1,0
25,626.0,0.26563167572021484,2.02,5.050000000000001,6.06,7.07,1,1,1,1
26,637.0,0.27194833755493164,1.01,1.01,1.01,3.03,1,1,1,1
27,596.0,0.2670457363128662,1.01,1.01,2.02,100,1,1,1,0
28,626.0,0.26653146743774414,1.01,1.01,1.01,3.03,1,1,1,1
29,604.0,0.25842928886413574,3.03,3.03,4.04,100,1,1,1,0
30,622.0,0.2629709243774414,1.01,1.01,1.01,1.01,1,1,1,1
31,606.0,0.27022790908813477,2.02,3.03,6.06,100,1,1,1,0
32,570.0,0.26439762115478516,2.02,100,100,100,1,0,0,0
33,594.0,0.2710130214691162,1.01,2.02,2.02,100,1,1,1,0
34,590.0,0.25731921195983887,1.01,3.03,100,100,1,1,0,0
35,614.0,0.26734042167663574,1.01,2.02,4.04,100,1,1,1,0
36,606.0,0.2655174732208252,1.01,2.02,3.03,100,1,1,1,0
37,584.0,0.27487778663635254,1.01,2.02,100,100,1,1,0,0
38,567.0,0.2701876163482666,1.01,100,100,100,1,0,0,0
39,630.0,0.26620936393737793,1.01,1.01,2.02,3.03,1,1,1,1
40,627.0,0.26331019401550293,2.02,2.02,2.02,2.02,1,1,1,1
41,608.0,0.2654120922088623,2.02,2.02,2.02,100,1,1,1,0
42,595.0,0.26056647300720215,1.01,2.02,2.02,100,1,1,1,0
43,579.0,0.25974321365356445,1.01,3.03,100,100,1,1,0,0
44,618.0,0.26594114303588867,1.01,1.01,2.02,8.08,1,1,1,1
45,604.0,0.2683596611022949,2.02,2.02,3.03,100,1,1,1,0
46,605.0,0.270233154296875,1.01,2.02,3.03,100,1,1,1,0
47,598.0,0.26067686080932617,1.01,2.02,3.03,100,1,1,1,0
48,606.0,0.2708115577697754,1.01,1.01,2.02,100,1,1,1,0
49,608.0,0.2738215923309326,1.01,3.03,5.050000000000001,100,1,1,1,0
50,615.0,0.27789926528930664,1.01,2.02,10.100000000000001,100,1,1,1,0
51,616.0,0.2634449005126953,1.01,1.01,1.01,100,1,1,1,0
52,571.0,0.274982213973999,1.01,100,100,100,1,0,0,0
53,604.0,0.2644968032836914,1.01,1.01,2.02,100,1,1,1,0
54,568.0,0.26125502586364746,1.01,100,100,100,1,0,0,0
55,642.0,0.27297139167785645,1.01,1.01,1.01,1.01,1,1,1,1
56,568.0,0.2628324031829834,3.03,100,100,100,1,0,0,0
57,594.0,0.2644846439361572,1.01,2.02,6.06,100,1,1,1,0
58,608.0,0.26323986053466797,1.01,1.01,2.02,100,1,1,1,0
59,570.0,0.2679440975189209,2.02,100,100,100,1,0,0,0
60,620.0,0.267763614654541,1.01,1.01,2.02,2.02,1,1,1,1
61,579.0,0.2727851867675781,1.01,2.02,100,100,1,1,0,0
62,584.0,0.2650573253631592,1.01,1.01,100,100,1,1,0,0
63,610.0,0.25702953338623047,1.01,2.02,2.02,100,1,1,1,0
64,608.0,0.2599668502807617,2.02,2.02,2.02,100,1,1,1,0
65,578.0,0.2620818614959717,2.02,100,100,100,1,0,0,0
66,562.0,0.2691636085510254,3.03,100,100,100,1,0,0,0
67,590.0,0.26607251167297363,1.01,2.02,100,100,1,1,0,0
68,591.0,0.26526689529418945,2.02,2.02,100,100,1,1,0,0
69,587.0,0.2649989128112793,2.02,4.04,100,100,1,1,0,0
70,618.0,0.26941633224487305,1.01,1.01,1.01,3.03,1,1,1,1
71,607.0,0.26608848571777344,2.02,2.02,2.02,100,1,1,1,0
72,617.0,0.26685571670532227,1.01,2.02,2.02,100,1,1,1,0
73,584.0,0.26021361351013184,1.01,1.01,100,100,1,1,0,0
74,620.0,0.2671773433685303,1.01,2.02,2.02,3.03,1,1,1,1
75,610.0,0.26151347160339355,2.02,2.02,2.02,100,1,1,1,0
76,605.0,0.2725715637207031,1.01,2.02,2.02,100,1,1,1,0
77,560.0,0.27036404609680176,2.02,100,100,100,1,0,0,0
78,586.0,0.2763340473175049,1.01,1.01,100,100,1,1,0,0
79,591.0,0.27047014236450195,1.01,2.02,100,100,1,1,0,0
80,592.0,0.26792478561401367,1.01,1.01,2.02,100,1,1,1,0
81,591.0,0.2713747024536133,1.01,2.02,100,100,1,1,0,0
82,600.0,0.26967597007751465,2.02,2.02,2.02,100,1,1,1,0
83,638.0,0.2732112407684326,2.02,2.02,2.02,3.03,1,1,1,1
84,568.0,0.2709777355194092,3.03,100,100,100,1,0,0,0
85,594.0,0.26833248138427734,1.01,2.02,3.03,100,1,1,1,0
86,608.0,0.27271485328674316,2.02,2.02,3.03,100,1,1,1,0
87,583.0,0.27492213249206543,2.02,2.02,100,100,1,1,0,0
88,584.0,0.2750535011291504,1.01,2.02,100,100,1,1,0,0
89,643.0,0.2721366882324219,1.01,1.01,1.01,2.02,1,1,1,1
90,626.0,0.26842522621154785,2.02,2.02,2.02,3.03,1,1,1,1
91,595.0,0.26636600494384766,1.01,1.01,2.02,100,1,1,1,0
92,577.0,0.2725064754486084,2.02,100,100,100,1,0,0,0
93,556.0,0.2638864517211914,100,100,100,100,0,0,0,0
94,569.0,0.27564406394958496,5.050000000000001,100,100,100,1,0,0,0
95,589.0,0.2607553005218506,1.01,1.01,100,100,1,1,0,0
96,628.0,0.25960373878479004,2.02,2.02,2.02,3.03,1,1,1,1
97,599.0,0.26151609420776367,1.01,2.02,2.02,100,1,1,1,0
98,619.0,0.27719640731811523,1.01,1.01,2.02,2.02,1,1,1,1
99,602.0,0.2573249340057373,2.02,5.050000000000001,5.050000000000001,100,1,1,1,0
100,586.0,0.27453136444091797,1.01,2.02,100,100,1,1,0,0
