Trial,Cut at T=100,Simulation Time (s),T to 0.87 GS Energy,T to 0.9 GS Energy,T to 0.92 GS Energy,T to 0.96 GS Energy,Success for 0.87 GS Energy,Success for 0.9 GS Energy,Success for 0.92 GS Energy,Success for 0.96 GS Energy
1,2062.0,0.9442076683044434,1.01,2.02,3.03,100,1,1,1,0
2,2026.0,0.7471129894256592,2.02,3.03,5.050000000000001,100,1,1,1,0
3,2087.0,0.7449350357055664,2.02,2.02,3.03,100,1,1,1,0
4,2001.0,0.7425627708435059,2.02,3.03,100,100,1,1,0,0
5,2044.0,0.7440788745880127,2.02,3.03,4.04,100,1,1,1,0
6,2053.0,0.6730945110321045,2.02,2.02,3.03,100,1,1,1,0
7,2037.0,0.747504472732544,2.02,3.03,11.11,100,1,1,1,0
8,2093.0,0.7457973957061768,1.01,1.01,2.02,13.13,1,1,1,1
9,2025.0,0.7456381320953369,2.02,2.02,6.06,100,1,1,1,0
10,2031.0,0.7431612014770508,2.02,3.03,7.07,100,1,1,1,0
11,2037.0,0.74324631690979,2.02,3.03,9.09,100,1,1,1,0
12,2036.0,0.7405927181243896,2.02,2.02,8.08,100,1,1,1,0
13,2085.0,0.7440710067749023,1.01,2.02,2.02,100,1,1,1,0
14,2096.0,0.7403092384338379,2.02,3.03,4.04,23.23,1,1,1,1
15,2094.0,0.7449078559875488,2.02,3.03,5.050000000000001,25.25,1,1,1,1
16,2042.0,0.7413251399993896,2.02,2.02,5.050000000000001,100,1,1,1,0
17,2035.0,0.7387335300445557,2.02,2.02,3.03,100,1,1,1,0
18,2004.0,0.7417728900909424,2.02,3.03,14.14,100,1,1,1,0
19,2048.0,0.7423295974731445,2.02,3.03,5.050000000000001,100,1,1,1,0
20,2065.0,0.7433137893676758,1.01,2.02,3.03,100,1,1,1,0
21,2039.0,0.7428722381591797,1.01,2.02,3.03,100,1,1,1,0
22,2031.0,0.7393889427185059,2.02,3.03,6.06,100,1,1,1,0
23,2072.0,0.7419707775115967,1.01,2.02,3.03,100,1,1,1,0
