Trial,Cut at T=100,Simulation Time (s),T to 0.87 GS Energy,T to 0.9 GS Energy,T to 0.92 GS Energy,T to 0.96 GS Energy,Success for 0.87 GS Energy,Success for 0.9 GS Energy,Success for 0.92 GS Energy,Success for 0.96 GS Energy
1,64.0,0.19415807723999023,3.03,5.050000000000001,100,100,1,1,0,0
2,68.0,0.19004249572753906,8.08,8.08,8.08,9.09,1,1,1,1
3,63.0,0.2057645320892334,4.04,7.07,100,100,1,1,0,0
4,63.0,0.19921374320983887,3.03,3.03,100,100,1,1,0,0
5,66.0,0.21372675895690918,2.02,3.03,4.04,100,1,1,1,0
6,67.0,0.20691251754760742,3.03,3.03,3.03,100,1,1,1,0
7,64.0,0.19172120094299316,4.04,5.050000000000001,100,100,1,1,0,0
8,64.0,0.21041083335876465,4.04,6.06,100,100,1,1,0,0
9,68.0,0.20720720291137695,2.02,2.02,2.02,3.03,1,1,1,1
10,66.0,0.19908595085144043,2.02,3.03,5.050000000000001,100,1,1,1,0
11,67.0,0.2003161907196045,2.02,2.02,3.03,100,1,1,1,0
12,67.0,0.19355082511901855,2.02,4.04,5.050000000000001,100,1,1,1,0
13,65.0,0.21045947074890137,3.03,3.03,10.100000000000001,100,1,1,1,0
14,68.0,0.20255160331726074,2.02,2.02,3.03,4.04,1,1,1,1
15,63.0,0.18841814994812012,2.02,3.03,100,100,1,1,0,0
16,64.0,0.21390008926391602,5.050000000000001,6.06,100,100,1,1,0,0
17,68.0,0.20223474502563477,6.06,6.06,17.17,18.18,1,1,1,1
18,66.0,0.20568370819091797,1.01,2.02,3.03,100,1,1,1,0
19,64.0,0.1957547664642334,3.03,4.04,100,100,1,1,0,0
20,67.0,0.2171633243560791,6.06,7.07,8.08,100,1,1,1,0
21,64.0,0.21310710906982422,3.03,4.04,100,100,1,1,0,0
22,67.0,0.21790266036987305,2.02,2.02,2.02,100,1,1,1,0
23,68.0,0.20282626152038574,1.01,2.02,3.03,35.35,1,1,1,1
24,62.0,0.21167874336242676,6.06,100,100,100,1,0,0,0
