Trial,Cut at T=100,Simulation Time (s),T to 0.87 GS Energy,T to 0.9 GS Energy,T to 0.92 GS Energy,T to 0.96 GS Energy,Success for 0.87 GS Energy,Success for 0.9 GS Energy,Success for 0.92 GS Energy,Success for 0.96 GS Energy
1,637.0,0.2348320484161377,1.01,2.02,3.03,4.04,1,1,1,1
2,614.0,0.2261674404144287,3.03,4.04,4.04,100,1,1,1,0
3,608.0,0.2279653549194336,2.02,2.02,2.02,100,1,1,1,0
4,610.0,0.2220768928527832,4.04,33.33,34.34,100,1,1,1,0
5,606.0,0.23561596870422363,1.01,2.02,2.02,100,1,1,1,0
6,594.0,0.231781005859375,2.02,3.03,3.03,100,1,1,1,0
7,590.0,0.23479843139648438,4.04,7.07,100,100,1,1,0,0
8,583.0,0.23749542236328125,3.03,6.06,100,100,1,1,0,0
9,594.0,0.2285478115081787,2.02,5.050000000000001,9.09,100,1,1,1,0
10,612.0,0.23177814483642578,1.01,2.02,2.02,100,1,1,1,0
11,593.0,0.23106932640075684,2.02,3.03,4.04,100,1,1,1,0
12,624.0,0.22937822341918945,2.02,3.03,4.04,12.12,1,1,1,1
13,606.0,0.22974443435668945,1.01,2.02,2.02,100,1,1,1,0
14,552.0,0.23910760879516602,100,100,100,100,0,0,0,0
15,618.0,0.23912310600280762,3.03,3.03,4.04,6.06,1,1,1,1
16,571.0,0.22310280799865723,2.02,100,100,100,1,0,0,0
17,600.0,0.23102283477783203,7.07,8.08,10.100000000000001,100,1,1,1,0
18,572.0,0.23569059371948242,2.02,100,100,100,1,0,0,0
19,580.0,0.22060441970825195,3.03,3.03,100,100,1,1,0,0
20,581.0,0.22089362144470215,2.02,3.03,100,100,1,1,0,0
21,618.0,0.23323607444763184,2.02,3.03,15.149999999999999,23.23,1,1,1,1
22,616.0,0.22734665870666504,2.02,2.02,2.02,100,1,1,1,0
23,583.0,0.22282171249389648,2.02,3.03,100,100,1,1,0,0
24,580.0,0.21756744384765625,3.03,4.04,100,100,1,1,0,0
25,619.0,0.23654556274414062,3.03,3.03,3.03,7.07,1,1,1,1
26,619.0,0.23705244064331055,3.03,9.09,11.11,14.14,1,1,1,1
27,577.0,0.22717833518981934,3.03,100,100,100,1,0,0,0
28,588.0,0.2297804355621338,2.02,3.03,100,100,1,1,0,0
29,605.0,0.23368144035339355,3.03,3.03,4.04,100,1,1,1,0
30,591.0,0.23308491706848145,3.03,4.04,100,100,1,1,0,0
31,582.0,0.2194385528564453,2.02,8.08,100,100,1,1,0,0
32,580.0,0.23147344589233398,6.06,7.07,100,100,1,1,0,0
33,598.0,0.22061824798583984,1.01,2.02,3.03,100,1,1,1,0
34,554.0,0.23362183570861816,100,100,100,100,0,0,0,0
35,629.0,0.22368121147155762,1.01,1.01,1.01,2.02,1,1,1,1
36,601.0,0.22809243202209473,4.04,5.050000000000001,7.07,100,1,1,1,0
37,627.0,0.2212505340576172,2.02,2.02,2.02,3.03,1,1,1,1
38,606.0,0.22411227226257324,2.02,2.02,3.03,100,1,1,1,0
39,598.0,0.2372593879699707,5.050000000000001,11.11,11.11,100,1,1,1,0
40,591.0,0.2289743423461914,2.02,2.02,100,100,1,1,0,0
41,589.0,0.23329639434814453,2.02,2.02,100,100,1,1,0,0
42,579.0,0.23981666564941406,3.03,3.03,100,100,1,1,0,0
43,567.0,0.2294454574584961,8.08,100,100,100,1,0,0,0
44,584.0,0.22848844528198242,2.02,3.03,100,100,1,1,0,0
45,615.0,0.2292006015777588,2.02,3.03,4.04,100,1,1,1,0
46,599.0,0.2225358486175537,2.02,3.03,4.04,100,1,1,1,0
47,589.0,0.2279043197631836,1.01,2.02,100,100,1,1,0,0
48,554.0,0.2342545986175537,100,100,100,100,0,0,0,0
49,598.0,0.23615360260009766,2.02,3.03,3.03,100,1,1,1,0
50,545.0,0.22222137451171875,100,100,100,100,0,0,0,0
51,609.0,0.23080849647521973,2.02,2.02,4.04,100,1,1,1,0
52,600.0,0.23018121719360352,1.01,2.02,3.03,100,1,1,1,0
53,609.0,0.21880507469177246,2.02,4.04,4.04,100,1,1,1,0
54,598.0,0.22194480895996094,2.02,3.03,3.03,100,1,1,1,0
55,628.0,0.23441553115844727,1.01,2.02,5.050000000000001,8.08,1,1,1,1
56,618.0,0.23157405853271484,2.02,3.03,3.03,8.08,1,1,1,1
57,602.0,0.22647309303283691,2.02,3.03,4.04,100,1,1,1,0
58,637.0,0.22456049919128418,2.02,2.02,3.03,10.100000000000001,1,1,1,1
59,608.0,0.22702455520629883,2.02,2.02,4.04,100,1,1,1,0
60,588.0,0.23889565467834473,3.03,3.03,100,100,1,1,0,0
61,600.0,0.22815346717834473,2.02,3.03,3.03,100,1,1,1,0
62,584.0,0.24667882919311523,2.02,3.03,100,100,1,1,0,0
63,615.0,0.22527146339416504,1.01,2.02,3.03,100,1,1,1,0
64,627.0,0.23263859748840332,2.02,3.03,3.03,4.04,1,1,1,1
65,577.0,0.2278745174407959,4.04,100,100,100,1,0,0,0
66,572.0,0.22500061988830566,2.02,100,100,100,1,0,0,0
67,582.0,0.2393350601196289,2.02,12.12,100,100,1,1,0,0
68,588.0,0.22952032089233398,2.02,3.03,100,100,1,1,0,0
69,575.0,0.22903227806091309,3.03,100,100,100,1,0,0,0
70,600.0,0.22800493240356445,2.02,2.02,3.03,100,1,1,1,0
71,618.0,0.23047828674316406,3.03,6.06,6.06,18.18,1,1,1,1
72,570.0,0.23090624809265137,5.050000000000001,100,100,100,1,0,0,0
73,625.0,0.22617745399475098,2.02,2.02,2.02,4.04,1,1,1,1
74,620.0,0.22223663330078125,2.02,2.02,2.02,4.04,1,1,1,1
75,569.0,0.23058795928955078,4.04,100,100,100,1,0,0,0
76,598.0,0.2230379581451416,2.02,2.02,3.03,100,1,1,1,0
77,615.0,0.22610139846801758,2.02,3.03,4.04,100,1,1,1,0
78,591.0,0.21123933792114258,2.02,2.02,100,100,1,1,0,0
79,637.0,0.2337205410003662,2.02,2.02,3.03,9.09,1,1,1,1
80,572.0,0.22773528099060059,6.06,100,100,100,1,0,0,0
81,586.0,0.2290029525756836,3.03,3.03,100,100,1,1,0,0
82,580.0,0.22547578811645508,4.04,16.16,100,100,1,1,0,0
83,607.0,0.22515058517456055,2.02,2.02,3.03,100,1,1,1,0
84,604.0,0.22761893272399902,2.02,2.02,2.02,100,1,1,1,0
85,610.0,0.23717570304870605,2.02,2.02,3.03,100,1,1,1,0
86,565.0,0.22095108032226562,4.04,100,100,100,1,0,0,0
87,624.0,0.22921156883239746,2.02,2.02,2.02,15.149999999999999,1,1,1,1
88,579.0,0.22448110580444336,3.03,7.07,100,100,1,1,0,0
89,630.0,0.23833203315734863,1.01,2.02,2.02,3.03,1,1,1,1
90,607.0,0.2339174747467041,2.02,2.02,2.02,100,1,1,1,0
91,628.0,0.235276460647583,2.02,2.02,2.02,2.02,1,1,1,1
92,642.0,0.23510408401489258,2.02,2.02,2.02,2.02,1,1,1,1
93,605.0,0.2363123893737793,2.02,2.02,2.02,100,1,1,1,0
94,550.0,0.23007798194885254,100,100,100,100,0,0,0,0
95,598.0,0.22530388832092285,3.03,4.04,17.17,100,1,1,1,0
96,551.0,0.22662854194641113,100,100,100,100,0,0,0,0
97,608.0,0.23848509788513184,1.01,1.01,2.02,100,1,1,1,0
98,610.0,0.2353227138519287,3.03,5.050000000000001,9.09,100,1,1,1,0
99,600.0,0.22591590881347656,2.02,3.03,3.03,100,1,1,1,0
100,612.0,0.23803138732910156,3.03,3.03,3.03,100,1,1,1,0
