Trial,Pump Rate,Cut at T=100,T to 0.87 GS Energy,T to 0.9 GS Energy,T to 0.92 GS Energy,T to 0.96 GS Energy,Success for 0.87 GS Energy,Success for 0.9 GS Energy,Success for 0.92 GS Energy,Success for 0.96 GS Energy
1,2.0,1849.0,24.24,100,100,100,1,0,0,0
2,2.0,1796.0,19.19,100,100,100,1,0,0,0
3,2.0,1812.0,23.23,100,100,100,1,0,0,0
4,2.0,1854.0,21.21,48.48,100,100,1,1,0,0
5,2.0,1904.0,17.17,24.24,50.5,100,1,1,1,0
6,2.0,1916.0,19.19,29.29,76.76,100,1,1,1,0
7,2.0,1847.0,18.18,100,100,100,1,0,0,0
8,2.0,1865.0,23.23,78.78,100,100,1,1,0,0
9,2.0,1877.0,13.13,38.38,100,100,1,1,0,0
10,2.0,1825.0,23.23,100,100,100,1,0,0,0
11,2.0,1833.0,22.22,100,100,100,1,0,0,0
12,2.0,1893.0,14.14,29.29,83.83000000000001,100,1,1,1,0
13,2.0,1887.0,22.22,37.37,100,100,1,1,0,0
14,2.0,1874.0,19.19,45.45,100,100,1,1,0,0
15,2.0,1797.0,30.299999999999997,100,100,100,1,0,0,0
16,2.0,1852.0,35.35,66.66,100,100,1,1,0,0
17,2.0,1850.0,19.19,100,100,100,1,0,0,0
18,2.0,1789.0,100,100,100,100,0,0,0,0
19,2.0,1847.0,20.200000000000003,100,100,100,1,0,0,0
20,2.0,1870.0,23.23,74.74,100,100,1,1,0,0
21,2.0,1888.0,13.13,20.200000000000003,100,100,1,1,0,0
22,2.0,1823.0,76.76,100,100,100,1,0,0,0
23,2.0,1909.0,15.149999999999999,26.26,64.64,100,1,1,1,0
24,2.0,1868.0,20.200000000000003,60.599999999999994,100,100,1,1,0,0
25,2.0,1876.0,18.18,56.56,100,100,1,1,0,0
26,2.0,1801.0,60.599999999999994,100,100,100,1,0,0,0
27,2.0,1823.0,30.299999999999997,100,100,100,1,0,0,0
28,2.0,1853.0,28.28,77.77,100,100,1,1,0,0
29,2.0,1889.0,20.200000000000003,66.66,100,100,1,1,0,0
30,2.0,1841.0,21.21,100,100,100,1,0,0,0
31,2.0,1816.0,30.299999999999997,100,100,100,1,0,0,0
32,2.0,1870.0,20.200000000000003,42.42,100,100,1,1,0,0
33,2.0,1816.0,54.540000000000006,100,100,100,1,0,0,0
34,2.0,1888.0,47.470000000000006,63.63,100,100,1,1,0,0
35,2.0,1876.0,15.149999999999999,19.19,100,100,1,1,0,0
36,2.0,1833.0,18.18,100,100,100,1,0,0,0
37,2.0,1781.0,100,100,100,100,0,0,0,0
38,2.0,1888.0,19.19,51.51,100,100,1,1,0,0
39,2.0,1868.0,14.14,61.61,100,100,1,1,0,0
40,2.0,1873.0,46.46,66.66,100,100,1,1,0,0
41,2.0,1847.0,23.23,100,100,100,1,0,0,0
42,2.0,1939.0,11.11,16.16,22.22,100,1,1,1,0
43,2.0,1832.0,29.29,100,100,100,1,0,0,0
44,2.0,1819.0,29.29,100,100,100,1,0,0,0
45,2.0,1821.0,20.200000000000003,100,100,100,1,0,0,0
46,2.0,1897.0,38.38,51.51,89.89,100,1,1,1,0
47,2.0,1831.0,28.28,100,100,100,1,0,0,0
48,2.0,1831.0,52.52,100,100,100,1,0,0,0
49,2.0,1839.0,20.200000000000003,100,100,100,1,0,0,0
50,2.0,1875.0,29.29,48.48,100,100,1,1,0,0
51,2.0,1861.0,16.16,43.43,100,100,1,1,0,0
52,2.0,1902.0,14.14,52.52,81.81,100,1,1,1,0
53,2.0,1873.0,14.14,24.24,100,100,1,1,0,0
54,2.0,1793.0,71.71,100,100,100,1,0,0,0
55,2.0,1855.0,60.599999999999994,100,100,100,1,0,0,0
56,2.0,1827.0,32.32,100,100,100,1,0,0,0
57,2.0,1864.0,22.22,48.48,100,100,1,1,0,0
58,2.0,1873.0,28.28,62.62,100,100,1,1,0,0
59,2.0,1831.0,34.34,100,100,100,1,0,0,0
60,2.0,1880.0,13.13,22.22,100,100,1,1,0,0
61,2.0,1770.0,100,100,100,100,0,0,0,0
62,2.0,1892.0,16.16,55.550000000000004,80.80000000000001,100,1,1,1,0
63,2.0,1822.0,41.410000000000004,100,100,100,1,0,0,0
64,2.0,1854.0,17.17,67.67,100,100,1,1,0,0
65,2.0,1920.0,17.17,38.38,67.67,100,1,1,1,0
66,2.0,1888.0,16.16,48.48,100,100,1,1,0,0
67,2.0,1857.0,22.22,38.38,100,100,1,1,0,0
68,2.0,1868.0,23.23,40.400000000000006,100,100,1,1,0,0
69,2.0,1871.0,21.21,52.52,100,100,1,1,0,0
70,2.0,1889.0,14.14,71.71,100,100,1,1,0,0
71,2.0,1848.0,17.17,100,100,100,1,0,0,0
72,2.0,1795.0,49.49,100,100,100,1,0,0,0
73,2.0,1847.0,20.200000000000003,100,100,100,1,0,0,0
74,2.0,1895.0,16.16,26.26,78.78,100,1,1,1,0
75,2.0,1865.0,22.22,57.57000000000001,100,100,1,1,0,0
76,2.0,1835.0,39.39,100,100,100,1,0,0,0
