Trial,Pump Rate,Cut at T=100,T to 0.87 GS Energy,T to 0.9 GS Energy,T to 0.92 GS Energy,T to 0.96 GS Energy,Success for 0.87 GS Energy,Success for 0.9 GS Energy,Success for 0.92 GS Energy,Success for 0.96 GS Energy
1,1.05,82.0,4.04,5.050000000000001,6.06,7.07,1,1,1,1
2,1.05,81.0,3.03,3.03,3.03,3.03,1,1,1,1
3,1.05,82.0,3.03,3.03,4.04,4.04,1,1,1,1
4,1.05,82.0,4.04,5.050000000000001,18.18,21.21,1,1,1,1
5,1.05,78.0,4.04,4.04,4.04,100,1,1,1,0
6,1.05,82.0,3.03,5.050000000000001,5.050000000000001,5.050000000000001,1,1,1,1
7,1.05,81.0,3.03,3.03,3.03,4.04,1,1,1,1
8,1.05,80.0,4.04,4.04,6.06,29.29,1,1,1,1
9,1.05,81.0,3.03,4.04,4.04,6.06,1,1,1,1
10,1.05,81.0,4.04,4.04,4.04,6.06,1,1,1,1
11,1.05,80.0,3.03,4.04,6.06,15.149999999999999,1,1,1,1
12,1.05,82.0,3.03,3.03,3.03,4.04,1,1,1,1
13,1.05,79.0,3.03,6.06,6.06,100,1,1,1,0
14,1.05,79.0,10.100000000000001,10.100000000000001,11.11,100,1,1,1,0
15,1.05,82.0,3.03,4.04,4.04,5.050000000000001,1,1,1,1
16,1.05,79.0,5.050000000000001,8.08,9.09,100,1,1,1,0
17,1.05,80.0,4.04,4.04,4.04,4.04,1,1,1,1
18,1.05,82.0,2.02,3.03,3.03,8.08,1,1,1,1
19,1.05,74.0,5.050000000000001,100,100,100,1,0,0,0
20,1.05,82.0,4.04,4.04,6.06,8.08,1,1,1,1
21,1.05,83.0,3.03,3.03,3.03,3.03,1,1,1,1
22,1.05,82.0,5.050000000000001,8.08,9.09,11.11,1,1,1,1
23,1.05,80.0,5.050000000000001,6.06,11.11,16.16,1,1,1,1
24,1.05,81.0,4.04,4.04,4.04,4.04,1,1,1,1
25,1.05,83.0,3.03,3.03,4.04,4.04,1,1,1,1
26,1.05,82.0,5.050000000000001,6.06,6.06,8.08,1,1,1,1
27,1.05,81.0,3.03,4.04,4.04,11.11,1,1,1,1
28,1.05,80.0,3.03,3.03,4.04,4.04,1,1,1,1
29,1.05,78.0,4.04,4.04,5.050000000000001,100,1,1,1,0
30,1.05,80.0,5.050000000000001,6.06,6.06,10.100000000000001,1,1,1,1
31,1.05,81.0,3.03,3.03,4.04,4.04,1,1,1,1
32,1.05,83.0,4.04,4.04,4.04,18.18,1,1,1,1
33,1.05,78.0,3.03,4.04,4.04,100,1,1,1,0
34,1.05,82.0,3.03,3.03,4.04,4.04,1,1,1,1
35,1.05,77.0,5.050000000000001,5.050000000000001,10.100000000000001,100,1,1,1,0
36,1.05,72.0,100,100,100,100,0,0,0,0
37,1.05,80.0,4.04,5.050000000000001,7.07,9.09,1,1,1,1
38,1.05,81.0,4.04,4.04,4.04,4.04,1,1,1,1
39,1.05,74.0,8.08,100,100,100,1,0,0,0
40,1.05,76.0,3.03,4.04,100,100,1,1,0,0
41,1.05,73.0,6.06,100,100,100,1,0,0,0
42,1.05,79.0,4.04,4.04,5.050000000000001,100,1,1,1,0
43,1.05,82.0,3.03,3.03,4.04,5.050000000000001,1,1,1,1
44,1.05,81.0,4.04,4.04,5.050000000000001,17.17,1,1,1,1
45,1.05,79.0,4.04,4.04,4.04,100,1,1,1,0
46,1.05,78.0,4.04,4.04,5.050000000000001,100,1,1,1,0
47,1.05,82.0,3.03,3.03,4.04,4.04,1,1,1,1
48,1.05,81.0,3.03,3.03,3.03,4.04,1,1,1,1
49,1.05,80.0,4.04,4.04,4.04,9.09,1,1,1,1
50,1.05,81.0,3.03,4.04,4.04,4.04,1,1,1,1
51,1.05,83.0,6.06,10.100000000000001,11.11,22.22,1,1,1,1
52,1.05,82.0,3.03,4.04,4.04,7.07,1,1,1,1
53,1.05,82.0,7.07,7.07,9.09,13.13,1,1,1,1
54,1.05,82.0,3.03,4.04,4.04,4.04,1,1,1,1
55,1.05,79.0,4.04,4.04,6.06,100,1,1,1,0
56,1.05,82.0,3.03,3.03,5.050000000000001,14.14,1,1,1,1
57,1.05,82.0,2.02,3.03,3.03,5.050000000000001,1,1,1,1
58,1.05,82.0,3.03,4.04,4.04,7.07,1,1,1,1
59,1.05,82.0,4.04,5.050000000000001,5.050000000000001,7.07,1,1,1,1
60,1.05,82.0,3.03,3.03,4.04,4.04,1,1,1,1
61,1.05,82.0,5.050000000000001,5.050000000000001,6.06,8.08,1,1,1,1
62,1.05,83.0,4.04,4.04,4.04,7.07,1,1,1,1
63,1.05,82.0,3.03,3.03,3.03,4.04,1,1,1,1
64,1.05,82.0,4.04,8.08,8.08,15.149999999999999,1,1,1,1
65,1.05,78.0,3.03,3.03,4.04,100,1,1,1,0
66,1.05,81.0,4.04,6.06,6.06,8.08,1,1,1,1
67,1.05,81.0,3.03,3.03,4.04,7.07,1,1,1,1
68,1.05,82.0,3.03,3.03,4.04,4.04,1,1,1,1
69,1.05,82.0,3.03,3.03,3.03,5.050000000000001,1,1,1,1
70,1.05,78.0,4.04,4.04,7.07,100,1,1,1,0
71,1.05,81.0,3.03,3.03,3.03,4.04,1,1,1,1
72,1.05,81.0,4.04,5.050000000000001,10.100000000000001,19.19,1,1,1,1
73,1.05,81.0,3.03,3.03,3.03,5.050000000000001,1,1,1,1
74,1.05,79.0,3.03,4.04,5.050000000000001,100,1,1,1,0
75,1.05,82.0,3.03,3.03,3.03,4.04,1,1,1,1
76,1.05,81.0,4.04,4.04,4.04,9.09,1,1,1,1
77,1.05,74.0,4.04,100,100,100,1,0,0,0
78,1.05,82.0,4.04,5.050000000000001,7.07,14.14,1,1,1,1
79,1.05,82.0,3.03,4.04,4.04,4.04,1,1,1,1
80,1.05,78.0,3.03,3.03,3.03,100,1,1,1,0
81,1.05,82.0,7.07,9.09,10.100000000000001,11.11,1,1,1,1
82,1.05,80.0,4.04,4.04,5.050000000000001,10.100000000000001,1,1,1,1
83,1.05,82.0,4.04,5.050000000000001,7.07,16.16,1,1,1,1
84,1.05,81.0,3.03,3.03,3.03,5.050000000000001,1,1,1,1
85,1.05,79.0,4.04,4.04,6.06,100,1,1,1,0
86,1.05,83.0,4.04,4.04,4.04,18.18,1,1,1,1
87,1.05,83.0,3.03,3.03,4.04,7.07,1,1,1,1
88,1.05,81.0,3.03,3.03,3.03,5.050000000000001,1,1,1,1
89,1.05,78.0,4.04,4.04,5.050000000000001,100,1,1,1,0
90,1.05,82.0,3.03,3.03,3.03,4.04,1,1,1,1
91,1.05,82.0,4.04,4.04,4.04,4.04,1,1,1,1
92,1.05,75.0,4.04,6.06,100,100,1,1,0,0
93,1.05,80.0,3.03,4.04,4.04,4.04,1,1,1,1
94,1.05,80.0,6.06,6.06,11.11,26.26,1,1,1,1
95,1.05,77.0,3.03,4.04,5.050000000000001,100,1,1,1,0
96,1.05,77.0,6.06,8.08,11.11,100,1,1,1,0
97,1.05,81.0,3.03,3.03,4.04,4.04,1,1,1,1
98,1.05,82.0,5.050000000000001,10.100000000000001,11.11,13.13,1,1,1,1
99,1.05,80.0,3.03,3.03,3.03,5.050000000000001,1,1,1,1
100,1.05,82.0,3.03,3.03,3.03,4.04,1,1,1,1
