Trial,Pump Rate,Cut at T=100,T to 0.87 GS Energy,T to 0.9 GS Energy,T to 0.92 GS Energy,T to 0.96 GS Energy,Success for 0.87 GS Energy,Success for 0.9 GS Energy,Success for 0.92 GS Energy,Success for 0.96 GS Energy
1,1.05,1861.0,1.01,1.01,1.01,1.01,1,1,1,1
2,1.05,1891.0,1.01,1.01,1.01,1.01,1,1,1,1
3,1.05,1865.0,1.01,1.01,1.01,35.35,1,1,1,1
4,1.05,1868.0,1.01,1.01,1.01,1.01,1,1,1,1
5,1.05,1848.0,1.01,1.01,1.01,1.01,1,1,1,1
6,1.05,1865.0,1.01,1.01,1.01,18.18,1,1,1,1
7,1.05,1756.0,1.01,1.01,1.01,100,1,1,1,0
8,1.05,1835.0,1.01,1.01,1.01,17.17,1,1,1,1
9,1.05,1850.0,1.01,1.01,1.01,4.04,1,1,1,1
10,1.05,1845.0,1.01,1.01,1.01,1.01,1,1,1,1
11,1.05,1883.0,1.01,1.01,1.01,1.01,1,1,1,1
12,1.05,1898.0,1.01,1.01,1.01,4.04,1,1,1,1
13,1.05,1865.0,1.01,1.01,1.01,1.01,1,1,1,1
14,1.05,1868.0,1.01,1.01,1.01,1.01,1,1,1,1
15,1.05,1830.0,1.01,1.01,1.01,3.03,1,1,1,1
16,1.05,1778.0,1.01,1.01,2.02,100,1,1,1,0
17,1.05,1849.0,1.01,1.01,1.01,1.01,1,1,1,1
18,1.05,1799.0,1.01,1.01,19.19,100,1,1,1,0
19,1.05,1865.0,1.01,1.01,1.01,20.200000000000003,1,1,1,1
20,1.05,1865.0,1.01,1.01,1.01,1.01,1,1,1,1
21,1.05,1898.0,1.01,1.01,1.01,1.01,1,1,1,1
22,1.05,1844.0,1.01,1.01,1.01,58.58,1,1,1,1
23,1.05,1818.0,1.01,1.01,1.01,100,1,1,1,0
24,1.05,1795.0,1.01,1.01,1.01,100,1,1,1,0
25,1.05,1866.0,1.01,1.01,1.01,4.04,1,1,1,1
26,1.05,1869.0,1.01,1.01,1.01,1.01,1,1,1,1
27,1.05,1897.0,1.01,1.01,1.01,3.03,1,1,1,1
28,1.05,1900.0,1.01,1.01,1.01,21.21,1,1,1,1
29,1.05,1868.0,1.01,1.01,1.01,1.01,1,1,1,1
30,1.05,1833.0,1.01,1.01,1.01,1.01,1,1,1,1
31,1.05,1831.0,1.01,1.01,1.01,11.11,1,1,1,1
32,1.05,1784.0,1.01,1.01,1.01,100,1,1,1,0
33,1.05,1898.0,1.01,1.01,1.01,1.01,1,1,1,1
34,1.05,1868.0,1.01,1.01,1.01,1.01,1,1,1,1
35,1.05,1898.0,1.01,1.01,1.01,1.01,1,1,1,1
36,1.05,1854.0,1.01,1.01,1.01,2.02,1,1,1,1
37,1.05,1868.0,1.01,1.01,1.01,1.01,1,1,1,1
38,1.05,1893.0,1.01,1.01,1.01,1.01,1,1,1,1
39,1.05,1806.0,1.01,1.01,2.02,100,1,1,1,0
40,1.05,1897.0,1.01,1.01,1.01,1.01,1,1,1,1
41,1.05,1766.0,1.01,1.01,1.01,100,1,1,1,0
42,1.05,1833.0,1.01,1.01,1.01,14.14,1,1,1,1
43,1.05,1858.0,1.01,1.01,1.01,1.01,1,1,1,1
44,1.05,1789.0,1.01,1.01,1.01,100,1,1,1,0
45,1.05,1752.0,1.01,1.01,1.01,100,1,1,1,0
46,1.05,1893.0,1.01,1.01,1.01,1.01,1,1,1,1
47,1.05,1868.0,1.01,1.01,1.01,1.01,1,1,1,1
48,1.05,1865.0,1.01,1.01,1.01,1.01,1,1,1,1
49,1.05,1805.0,1.01,1.01,2.02,100,1,1,1,0
50,1.05,1848.0,1.01,1.01,1.01,1.01,1,1,1,1
51,1.05,1848.0,1.01,1.01,1.01,1.01,1,1,1,1
52,1.05,1845.0,1.01,1.01,1.01,1.01,1,1,1,1
53,1.05,1800.0,1.01,1.01,1.01,100,1,1,1,0
54,1.05,1858.0,1.01,1.01,1.01,6.06,1,1,1,1
55,1.05,1809.0,1.01,2.02,12.12,100,1,1,1,0
56,1.05,1865.0,1.01,1.01,1.01,43.43,1,1,1,1
57,1.05,1865.0,1.01,1.01,1.01,11.11,1,1,1,1
58,1.05,1865.0,1.01,1.01,1.01,8.08,1,1,1,1
59,1.05,1857.0,1.01,1.01,1.01,1.01,1,1,1,1
60,1.05,1858.0,1.01,1.01,1.01,1.01,1,1,1,1
61,1.05,1893.0,1.01,1.01,1.01,1.01,1,1,1,1
62,1.05,1898.0,1.01,1.01,1.01,5.050000000000001,1,1,1,1
63,1.05,1866.0,1.01,1.01,1.01,3.03,1,1,1,1
64,1.05,1728.0,1.01,14.14,100,100,1,1,0,0
65,1.05,1806.0,1.01,1.01,1.01,100,1,1,1,0
66,1.05,1849.0,1.01,1.01,1.01,1.01,1,1,1,1
67,1.05,1810.0,1.01,1.01,1.01,100,1,1,1,0
68,1.05,1865.0,1.01,1.01,1.01,1.01,1,1,1,1
69,1.05,1830.0,1.01,1.01,1.01,3.03,1,1,1,1
70,1.05,1831.0,1.01,1.01,1.01,1.01,1,1,1,1
71,1.05,1806.0,1.01,4.04,9.09,100,1,1,1,0
72,1.05,1865.0,1.01,1.01,1.01,2.02,1,1,1,1
73,1.05,1865.0,1.01,1.01,1.01,3.03,1,1,1,1
74,1.05,1865.0,1.01,1.01,6.06,11.11,1,1,1,1
75,1.05,1809.0,1.01,1.01,2.02,100,1,1,1,0
76,1.05,1897.0,1.01,1.01,1.01,1.01,1,1,1,1
77,1.05,1866.0,1.01,1.01,1.01,2.02,1,1,1,1
78,1.05,1853.0,1.01,1.01,2.02,4.04,1,1,1,1
79,1.05,1892.0,1.01,1.01,1.01,1.01,1,1,1,1
80,1.05,1898.0,1.01,1.01,1.01,1.01,1,1,1,1
81,1.05,1826.0,1.01,1.01,1.01,1.01,1,1,1,1
82,1.05,1897.0,1.01,1.01,1.01,2.02,1,1,1,1
83,1.05,1853.0,1.01,1.01,1.01,1.01,1,1,1,1
84,1.05,1869.0,1.01,1.01,1.01,1.01,1,1,1,1
85,1.05,1787.0,1.01,1.01,3.03,100,1,1,1,0
86,1.05,1883.0,1.01,1.01,1.01,1.01,1,1,1,1
87,1.05,1865.0,1.01,1.01,1.01,10.100000000000001,1,1,1,1
88,1.05,1789.0,1.01,1.01,22.22,100,1,1,1,0
89,1.05,1831.0,1.01,1.01,1.01,13.13,1,1,1,1
90,1.05,1868.0,1.01,1.01,1.01,1.01,1,1,1,1
91,1.05,1767.0,1.01,1.01,1.01,100,1,1,1,0
92,1.05,1858.0,1.01,1.01,1.01,1.01,1,1,1,1
93,1.05,1810.0,1.01,1.01,1.01,100,1,1,1,0
94,1.05,1867.0,1.01,1.01,1.01,1.01,1,1,1,1
95,1.05,1866.0,1.01,1.01,1.01,1.01,1,1,1,1
96,1.05,1768.0,1.01,1.01,1.01,100,1,1,1,0
97,1.05,1883.0,1.01,1.01,1.01,1.01,1,1,1,1
98,1.05,1807.0,1.01,1.01,1.01,100,1,1,1,0
99,1.05,1811.0,1.01,1.01,1.01,100,1,1,1,0
100,1.05,1866.0,1.01,1.01,1.01,6.06,1,1,1,1
