Trial,Pump Rate,Cut at T=100,T to 0.87 GS Energy,T to 0.9 GS Energy,T to 0.92 GS Energy,T to 0.96 GS Energy,Success for 0.87 GS Energy,Success for 0.9 GS Energy,Success for 0.92 GS Energy,Success for 0.96 GS Energy
1,1.005,3248.0,2.02,4.04,7.07,100,1,1,1,0
2,1.005,3292.0,2.02,3.03,4.04,37.37,1,1,1,1
3,1.005,3246.0,2.02,4.04,6.06,100,1,1,1,0
4,1.005,3269.0,2.02,3.03,6.06,100,1,1,1,0
5,1.005,3273.0,2.02,4.04,6.06,100,1,1,1,0
6,1.005,3274.0,2.02,3.03,4.04,100,1,1,1,0
7,1.005,3255.0,3.03,5.050000000000001,18.18,100,1,1,1,0
8,1.005,3273.0,2.02,3.03,5.050000000000001,100,1,1,1,0
9,1.005,3260.0,2.02,4.04,7.07,100,1,1,1,0
10,1.005,3278.0,2.02,4.04,8.08,100,1,1,1,0
11,1.005,3321.0,2.02,2.02,3.03,14.14,1,1,1,1
12,1.005,3246.0,3.03,4.04,7.07,100,1,1,1,0
13,1.005,3261.0,2.02,3.03,4.04,100,1,1,1,0
14,1.005,3291.0,2.02,3.03,4.04,49.49,1,1,1,1
15,1.005,3290.0,2.02,3.03,4.04,34.34,1,1,1,1
16,1.005,3327.0,2.02,3.03,4.04,39.39,1,1,1,1
17,1.005,3271.0,3.03,4.04,6.06,100,1,1,1,0
18,1.005,3291.0,2.02,3.03,4.04,38.38,1,1,1,1
19,1.005,3315.0,2.02,3.03,4.04,23.23,1,1,1,1
20,1.005,3288.0,2.02,3.03,7.07,77.77,1,1,1,1
21,1.005,3253.0,2.02,3.03,6.06,100,1,1,1,0
22,1.005,3294.0,2.02,3.03,4.04,34.34,1,1,1,1
23,1.005,3272.0,2.02,3.03,10.100000000000001,100,1,1,1,0
24,1.005,3245.0,2.02,3.03,5.050000000000001,100,1,1,1,0
25,1.005,3278.0,2.02,3.03,4.04,80.80000000000001,1,1,1,1
26,1.005,3254.0,3.03,4.04,7.07,100,1,1,1,0
27,1.005,3220.0,2.02,3.03,5.050000000000001,100,1,1,1,0
28,1.005,3299.0,2.02,3.03,5.050000000000001,63.63,1,1,1,1
29,1.005,3264.0,2.02,3.03,5.050000000000001,100,1,1,1,0
30,1.005,3274.0,2.02,3.03,4.04,100,1,1,1,0
31,1.005,3304.0,2.02,4.04,6.06,83.83000000000001,1,1,1,1
32,1.005,3267.0,2.02,3.03,5.050000000000001,100,1,1,1,0
33,1.005,3315.0,2.02,3.03,5.050000000000001,21.21,1,1,1,1
34,1.005,3329.0,2.02,4.04,6.06,30.299999999999997,1,1,1,1
35,1.005,3225.0,2.02,4.04,7.07,100,1,1,1,0
36,1.005,3252.0,2.02,3.03,5.050000000000001,100,1,1,1,0
37,1.005,3231.0,2.02,4.04,6.06,100,1,1,1,0
38,1.005,3284.0,2.02,3.03,5.050000000000001,76.76,1,1,1,1
39,1.005,3331.0,2.02,3.03,4.04,33.33,1,1,1,1
40,1.005,3301.0,2.02,3.03,5.050000000000001,22.22,1,1,1,1
41,1.005,3273.0,2.02,4.04,7.07,100,1,1,1,0
42,1.005,3256.0,2.02,3.03,4.04,100,1,1,1,0
43,1.005,3307.0,2.02,3.03,5.050000000000001,30.299999999999997,1,1,1,1
44,1.005,3299.0,2.02,2.02,3.03,31.31,1,1,1,1
45,1.005,3255.0,2.02,3.03,4.04,100,1,1,1,0
46,1.005,3241.0,2.02,4.04,7.07,100,1,1,1,0
47,1.005,3293.0,2.02,4.04,5.050000000000001,75.75,1,1,1,1
