Trial,Pump Rate,Cut at T=100,T to 0.87 GS Energy,T to 0.9 GS Energy,T to 0.92 GS Energy,T to 0.96 GS Energy,Success for 0.87 GS Energy,Success for 0.9 GS Energy,Success for 0.92 GS Energy,Success for 0.96 GS Energy
1,1.3,1934.0,1.01,1.01,1.01,1.01,1,1,1,1
2,1.3,1972.0,1.01,1.01,1.01,2.02,1,1,1,1
3,1.3,1831.0,1.01,40.400000000000006,42.42,100,1,1,1,0
4,1.3,1926.0,1.01,1.01,1.01,1.01,1,1,1,1
5,1.3,1943.0,1.01,1.01,1.01,2.02,1,1,1,1
6,1.3,1843.0,1.01,1.01,2.02,100,1,1,1,0
7,1.3,1867.0,1.01,1.01,1.01,100,1,1,1,0
8,1.3,1830.0,1.01,1.01,100,100,1,1,0,0
9,1.3,1946.0,1.01,1.01,1.01,1.01,1,1,1,1
10,1.3,1990.0,1.01,1.01,1.01,1.01,1,1,1,1
11,1.3,1971.0,1.01,1.01,1.01,2.02,1,1,1,1
12,1.3,1870.0,1.01,1.01,1.01,100,1,1,1,0
13,1.3,1943.0,1.01,1.01,1.01,2.02,1,1,1,1
14,1.3,1946.0,1.01,1.01,1.01,1.01,1,1,1,1
15,1.3,1907.0,1.01,1.01,1.01,1.01,1,1,1,1
16,1.3,1983.0,1.01,1.01,1.01,2.02,1,1,1,1
17,1.3,1815.0,1.01,1.01,100,100,1,1,0,0
18,1.3,1990.0,1.01,1.01,1.01,1.01,1,1,1,1
19,1.3,1901.0,1.01,1.01,1.01,100,1,1,1,0
20,1.3,1842.0,1.01,1.01,1.01,100,1,1,1,0
21,1.3,1946.0,1.01,1.01,1.01,13.13,1,1,1,1
22,1.3,1946.0,1.01,1.01,1.01,2.02,1,1,1,1
23,1.3,1956.0,1.01,1.01,1.01,1.01,1,1,1,1
24,1.3,1820.0,1.01,1.01,100,100,1,1,0,0
25,1.3,1901.0,1.01,1.01,1.01,100,1,1,1,0
26,1.3,1775.0,1.01,100,100,100,1,0,0,0
27,1.3,1822.0,1.01,1.01,100,100,1,1,0,0
28,1.3,1958.0,1.01,1.01,1.01,1.01,1,1,1,1
29,1.3,1886.0,1.01,1.01,1.01,100,1,1,1,0
30,1.3,1990.0,1.01,1.01,1.01,1.01,1,1,1,1
31,1.3,1983.0,1.01,1.01,1.01,1.01,1,1,1,1
32,1.3,1855.0,1.01,1.01,1.01,100,1,1,1,0
33,1.3,1946.0,1.01,1.01,2.02,4.04,1,1,1,1
34,1.3,1947.0,1.01,1.01,10.100000000000001,12.12,1,1,1,1
35,1.3,1859.0,1.01,1.01,1.01,100,1,1,1,0
36,1.3,1927.0,1.01,1.01,2.02,22.22,1,1,1,1
37,1.3,1844.0,1.01,1.01,4.04,100,1,1,1,0
38,1.3,1869.0,1.01,1.01,1.01,100,1,1,1,0
39,1.3,1948.0,1.01,1.01,1.01,1.01,1,1,1,1
40,1.3,1847.0,1.01,1.01,5.050000000000001,100,1,1,1,0
41,1.3,1912.0,1.01,1.01,2.02,24.24,1,1,1,1
42,1.3,1883.0,1.01,1.01,1.01,100,1,1,1,0
43,1.3,1909.0,1.01,1.01,1.01,2.02,1,1,1,1
44,1.3,1735.0,1.01,100,100,100,1,0,0,0
45,1.3,1879.0,1.01,1.01,2.02,100,1,1,1,0
46,1.3,1946.0,1.01,1.01,1.01,2.02,1,1,1,1
47,1.3,1971.0,1.01,1.01,1.01,1.01,1,1,1,1
48,1.3,1898.0,1.01,1.01,1.01,2.02,1,1,1,1
49,1.3,1889.0,1.01,1.01,1.01,100,1,1,1,0
50,1.3,1990.0,1.01,1.01,1.01,1.01,1,1,1,1
51,1.3,1806.0,1.01,43.43,100,100,1,1,0,0
52,1.3,1870.0,1.01,1.01,1.01,100,1,1,1,0
53,1.3,1920.0,1.01,1.01,1.01,2.02,1,1,1,1
54,1.3,1975.0,1.01,1.01,1.01,8.08,1,1,1,1
55,1.3,1895.0,1.01,1.01,7.07,100,1,1,1,0
56,1.3,1969.0,1.01,1.01,1.01,1.01,1,1,1,1
57,1.3,1911.0,1.01,1.01,1.01,1.01,1,1,1,1
58,1.3,1934.0,1.01,1.01,1.01,1.01,1,1,1,1
59,1.3,1930.0,1.01,1.01,1.01,2.02,1,1,1,1
60,1.3,1913.0,1.01,1.01,1.01,2.02,1,1,1,1
61,1.3,1936.0,1.01,1.01,1.01,1.01,1,1,1,1
62,1.3,1972.0,1.01,1.01,1.01,1.01,1,1,1,1
63,1.3,1972.0,1.01,1.01,1.01,1.01,1,1,1,1
64,1.3,1975.0,1.01,1.01,2.02,7.07,1,1,1,1
