Trial,Pump Rate,Cut at T=100,T to 0.87 GS Energy,T to 0.9 GS Energy,T to 0.92 GS Energy,T to 0.96 GS Energy,Success for 0.87 GS Energy,Success for 0.9 GS Energy,Success for 0.92 GS Energy,Success for 0.96 GS Energy
1,3.0,2960.0,100,100,100,100,0,0,0,0
2,3.0,2978.0,12.0,100,100,100,1,0,0,0
3,3.0,2991.0,9.0,100,100,100,1,0,0,0
4,3.0,2946.0,100,100,100,100,0,0,0,0
5,3.0,2980.0,11.0,100,100,100,1,0,0,0
6,3.0,2994.0,8.0,100,100,100,1,0,0,0
7,3.0,3058.0,4.0,100,100,100,1,0,0,0
8,3.0,2977.0,15.0,100,100,100,1,0,0,0
9,3.0,2993.0,6.0,100,100,100,1,0,0,0
10,3.0,2903.0,100,100,100,100,0,0,0,0
11,3.0,2937.0,100,100,100,100,0,0,0,0
12,3.0,2943.0,100,100,100,100,0,0,0,0
13,3.0,2967.0,100,100,100,100,0,0,0,0
14,3.0,2980.0,18.0,100,100,100,1,0,0,0
15,3.0,3026.0,4.0,100,100,100,1,0,0,0
16,3.0,2960.0,100,100,100,100,0,0,0,0
17,3.0,2889.0,100,100,100,100,0,0,0,0
18,3.0,2993.0,23.0,100,100,100,1,0,0,0
19,3.0,2985.0,8.0,100,100,100,1,0,0,0
20,3.0,2910.0,100,100,100,100,0,0,0,0
21,3.0,2927.0,100,100,100,100,0,0,0,0
22,3.0,2996.0,6.0,100,100,100,1,0,0,0
23,3.0,3020.0,9.0,100,100,100,1,0,0,0
24,3.0,3001.0,10.0,100,100,100,1,0,0,0
25,3.0,3035.0,6.0,100,100,100,1,0,0,0
26,3.0,2965.0,100,100,100,100,0,0,0,0
27,3.0,3012.0,7.000000000000001,100,100,100,1,0,0,0
28,3.0,3004.0,5.0,100,100,100,1,0,0,0
29,3.0,3030.0,4.0,100,100,100,1,0,0,0
30,3.0,2947.0,100,100,100,100,0,0,0,0
31,3.0,2953.0,100,100,100,100,0,0,0,0
32,3.0,2956.0,100,100,100,100,0,0,0,0
33,3.0,2935.0,100,100,100,100,0,0,0,0
34,3.0,3021.0,9.0,100,100,100,1,0,0,0
35,3.0,2961.0,100,100,100,100,0,0,0,0
