Trial,Pump Rate,Cut at T=100,T to 0.87 GS Energy,T to 0.9 GS Energy,T to 0.92 GS Energy,T to 0.96 GS Energy,Success for 0.87 GS Energy,Success for 0.9 GS Energy,Success for 0.92 GS Energy,Success for 0.96 GS Energy
1,1.001,2047.0,1.01,1.01,1.01,2.02,1,1,1,1
2,1.001,2118.0,1.01,1.01,1.01,2.02,1,1,1,1
3,1.001,1984.0,1.01,1.01,2.02,100,1,1,1,0
4,1.001,1956.0,1.01,2.02,2.02,100,1,1,1,0
5,1.001,2047.0,1.01,1.01,1.01,3.03,1,1,1,1
6,1.001,2094.0,1.01,1.01,1.01,2.02,1,1,1,1
7,1.001,2118.0,1.01,1.01,1.01,2.02,1,1,1,1
8,1.001,1971.0,1.01,1.01,1.01,100,1,1,1,0
9,1.001,1977.0,1.01,1.01,2.02,100,1,1,1,0
10,1.001,2114.0,1.01,1.01,1.01,1.01,1,1,1,1
11,1.001,1986.0,1.01,2.02,3.03,100,1,1,1,0
12,1.001,1936.0,1.01,2.02,100,100,1,1,0,0
13,1.001,1922.0,6.06,8.08,100,100,1,1,0,0
14,1.001,2006.0,1.01,1.01,2.02,100,1,1,1,0
15,1.001,1879.0,1.01,100,100,100,1,0,0,0
16,1.001,2071.0,2.02,2.02,2.02,3.03,1,1,1,1
17,1.001,2104.0,1.01,1.01,1.01,1.01,1,1,1,1
18,1.001,2011.0,1.01,2.02,2.02,100,1,1,1,0
19,1.001,2114.0,1.01,2.02,5.050000000000001,5.050000000000001,1,1,1,1
20,1.001,1747.0,100,100,100,100,0,0,0,0
21,1.001,2106.0,1.01,1.01,1.01,2.02,1,1,1,1
22,1.001,1996.0,1.01,1.01,2.02,100,1,1,1,0
23,1.001,1989.0,1.01,1.01,2.02,100,1,1,1,0
24,1.001,2118.0,1.01,1.01,1.01,1.01,1,1,1,1
25,1.001,1965.0,2.02,2.02,3.03,100,1,1,1,0
26,1.001,2086.0,1.01,1.01,1.01,1.01,1,1,1,1
27,1.001,2016.0,1.01,1.01,4.04,100,1,1,1,0
28,1.001,2025.0,1.01,1.01,5.050000000000001,100,1,1,1,0
29,1.001,2036.0,1.01,1.01,1.01,100,1,1,1,0
30,1.001,1969.0,1.01,1.01,1.01,100,1,1,1,0
31,1.001,1990.0,1.01,1.01,2.02,100,1,1,1,0
32,1.001,1788.0,100,100,100,100,0,0,0,0
33,1.001,2000.0,1.01,1.01,1.01,100,1,1,1,0
34,1.001,2069.0,1.01,1.01,1.01,1.01,1,1,1,1
35,1.001,2114.0,1.01,1.01,1.01,1.01,1,1,1,1
36,1.001,2103.0,1.01,1.01,1.01,2.02,1,1,1,1
37,1.001,2114.0,1.01,1.01,1.01,4.04,1,1,1,1
38,1.001,2020.0,1.01,1.01,1.01,100,1,1,1,0
39,1.001,2118.0,1.01,2.02,2.02,3.03,1,1,1,1
40,1.001,2104.0,1.01,1.01,1.01,1.01,1,1,1,1
41,1.001,2019.0,1.01,2.02,3.03,100,1,1,1,0
42,1.001,1885.0,2.02,100,100,100,1,0,0,0
43,1.001,2029.0,1.01,1.01,1.01,100,1,1,1,0
44,1.001,1880.0,1.01,100,100,100,1,0,0,0
45,1.001,2109.0,1.01,1.01,1.01,1.01,1,1,1,1
46,1.001,2118.0,1.01,2.02,2.02,3.03,1,1,1,1
47,1.001,2071.0,1.01,1.01,1.01,1.01,1,1,1,1
48,1.001,2101.0,1.01,1.01,1.01,1.01,1,1,1,1
49,1.001,1941.0,1.01,2.02,100,100,1,1,0,0
50,1.001,2019.0,1.01,2.02,2.02,100,1,1,1,0
51,1.001,1892.0,1.01,100,100,100,1,0,0,0
52,1.001,1942.0,1.01,4.04,100,100,1,1,0,0
53,1.001,2046.0,1.01,2.02,2.02,5.050000000000001,1,1,1,1
54,1.001,2036.0,1.01,1.01,1.01,100,1,1,1,0
55,1.001,2066.0,1.01,1.01,1.01,1.01,1,1,1,1
56,1.001,2034.0,1.01,1.01,1.01,100,1,1,1,0
57,1.001,2088.0,2.02,2.02,2.02,5.050000000000001,1,1,1,1
58,1.001,2071.0,1.01,1.01,1.01,1.01,1,1,1,1
59,1.001,2028.0,1.01,1.01,1.01,100,1,1,1,0
60,1.001,2114.0,1.01,1.01,4.04,15.149999999999999,1,1,1,1
61,1.001,1864.0,2.02,100,100,100,1,0,0,0
62,1.001,2101.0,1.01,1.01,1.01,2.02,1,1,1,1
63,1.001,2103.0,1.01,1.01,1.01,2.02,1,1,1,1
64,1.001,1994.0,1.01,2.02,2.02,100,1,1,1,0
65,1.001,2104.0,1.01,1.01,1.01,2.02,1,1,1,1
66,1.001,2012.0,1.01,1.01,1.01,100,1,1,1,0
67,1.001,1871.0,1.01,100,100,100,1,0,0,0
68,1.001,1939.0,1.01,2.02,100,100,1,1,0,0
69,1.001,1987.0,1.01,1.01,1.01,100,1,1,1,0
70,1.001,2094.0,1.01,1.01,1.01,1.01,1,1,1,1
71,1.001,2114.0,1.01,1.01,1.01,2.02,1,1,1,1
72,1.001,1994.0,2.02,3.03,5.050000000000001,100,1,1,1,0
73,1.001,2019.0,1.01,1.01,2.02,100,1,1,1,0
74,1.001,2101.0,1.01,1.01,1.01,2.02,1,1,1,1
75,1.001,2036.0,1.01,1.01,1.01,100,1,1,1,0
76,1.001,2104.0,1.01,1.01,1.01,1.01,1,1,1,1
77,1.001,2103.0,1.01,1.01,1.01,1.01,1,1,1,1
78,1.001,1989.0,2.02,3.03,4.04,100,1,1,1,0
79,1.001,2106.0,1.01,1.01,1.01,1.01,1,1,1,1
80,1.001,2053.0,1.01,1.01,1.01,6.06,1,1,1,1
81,1.001,2004.0,1.01,2.02,7.07,100,1,1,1,0
82,1.001,1942.0,2.02,3.03,100,100,1,1,0,0
83,1.001,2001.0,1.01,1.01,2.02,100,1,1,1,0
84,1.001,1931.0,1.01,4.04,100,100,1,1,0,0
85,1.001,1831.0,100,100,100,100,0,0,0,0
86,1.001,2043.0,1.01,1.01,1.01,2.02,1,1,1,1
87,1.001,2101.0,1.01,1.01,1.01,2.02,1,1,1,1
88,1.001,1995.0,1.01,1.01,2.02,100,1,1,1,0
89,1.001,2030.0,1.01,1.01,1.01,100,1,1,1,0
90,1.001,2104.0,1.01,1.01,1.01,1.01,1,1,1,1
91,1.001,2104.0,1.01,1.01,1.01,1.01,1,1,1,1
92,1.001,2114.0,1.01,1.01,1.01,1.01,1,1,1,1
93,1.001,2016.0,1.01,1.01,1.01,100,1,1,1,0
94,1.001,2036.0,1.01,1.01,1.01,100,1,1,1,0
95,1.001,2021.0,1.01,1.01,1.01,100,1,1,1,0
96,1.001,2088.0,1.01,1.01,1.01,1.01,1,1,1,1
97,1.001,2114.0,2.02,3.03,3.03,4.04,1,1,1,1
98,1.001,2101.0,1.01,1.01,1.01,1.01,1,1,1,1
99,1.001,2103.0,1.01,1.01,1.01,1.01,1,1,1,1
100,1.001,2089.0,1.01,2.02,2.02,6.06,1,1,1,1
