Trial,Pump Rate,Cut at T=100,T to 0.87 GS Energy,T to 0.9 GS Energy,T to 0.92 GS Energy,T to 0.96 GS Energy,Success for 0.87 GS Energy,Success for 0.9 GS Energy,Success for 0.92 GS Energy,Success for 0.96 GS Energy
1,3.0,1593.0,100,100,100,100,0,0,0,0
2,3.0,1513.0,100,100,100,100,0,0,0,0
3,3.0,1602.0,100,100,100,100,0,0,0,0
4,3.0,1455.0,100,100,100,100,0,0,0,0
5,3.0,1650.0,100,100,100,100,0,0,0,0
6,3.0,1565.0,100,100,100,100,0,0,0,0
7,3.0,1706.0,100,100,100,100,0,0,0,0
8,3.0,1630.0,100,100,100,100,0,0,0,0
9,3.0,1558.0,100,100,100,100,0,0,0,0
10,3.0,1554.0,100,100,100,100,0,0,0,0
11,3.0,1499.0,100,100,100,100,0,0,0,0
12,3.0,1498.0,100,100,100,100,0,0,0,0
13,3.0,1532.0,100,100,100,100,0,0,0,0
14,3.0,1455.0,100,100,100,100,0,0,0,0
15,3.0,1598.0,100,100,100,100,0,0,0,0
16,3.0,1691.0,100,100,100,100,0,0,0,0
17,3.0,1587.0,100,100,100,100,0,0,0,0
18,3.0,1506.0,100,100,100,100,0,0,0,0
19,3.0,1559.0,100,100,100,100,0,0,0,0
20,3.0,1593.0,100,100,100,100,0,0,0,0
21,3.0,1461.0,100,100,100,100,0,0,0,0
22,3.0,1613.0,100,100,100,100,0,0,0,0
23,3.0,1553.0,100,100,100,100,0,0,0,0
24,3.0,1633.0,100,100,100,100,0,0,0,0
25,3.0,1550.0,100,100,100,100,0,0,0,0
26,3.0,1552.0,100,100,100,100,0,0,0,0
27,3.0,1442.0,100,100,100,100,0,0,0,0
28,3.0,1604.0,100,100,100,100,0,0,0,0
29,3.0,1557.0,100,100,100,100,0,0,0,0
30,3.0,1501.0,100,100,100,100,0,0,0,0
31,3.0,1579.0,100,100,100,100,0,0,0,0
32,3.0,1587.0,100,100,100,100,0,0,0,0
33,3.0,1570.0,100,100,100,100,0,0,0,0
34,3.0,1514.0,100,100,100,100,0,0,0,0
35,3.0,1574.0,100,100,100,100,0,0,0,0
36,3.0,1564.0,100,100,100,100,0,0,0,0
37,3.0,1563.0,100,100,100,100,0,0,0,0
38,3.0,1459.0,100,100,100,100,0,0,0,0
39,3.0,1650.0,100,100,100,100,0,0,0,0
40,3.0,1545.0,100,100,100,100,0,0,0,0
41,3.0,1572.0,100,100,100,100,0,0,0,0
42,3.0,1543.0,100,100,100,100,0,0,0,0
43,3.0,1501.0,100,100,100,100,0,0,0,0
44,3.0,1571.0,100,100,100,100,0,0,0,0
45,3.0,1574.0,100,100,100,100,0,0,0,0
46,3.0,1492.0,100,100,100,100,0,0,0,0
47,3.0,1586.0,100,100,100,100,0,0,0,0
48,3.0,1526.0,100,100,100,100,0,0,0,0
49,3.0,1616.0,100,100,100,100,0,0,0,0
50,3.0,1615.0,100,100,100,100,0,0,0,0
51,3.0,1467.0,100,100,100,100,0,0,0,0
52,3.0,1530.0,100,100,100,100,0,0,0,0
53,3.0,1559.0,100,100,100,100,0,0,0,0
54,3.0,1458.0,100,100,100,100,0,0,0,0
55,3.0,1636.0,100,100,100,100,0,0,0,0
56,3.0,1555.0,100,100,100,100,0,0,0,0
57,3.0,1613.0,100,100,100,100,0,0,0,0
58,3.0,1545.0,100,100,100,100,0,0,0,0
59,3.0,1586.0,100,100,100,100,0,0,0,0
60,3.0,1498.0,100,100,100,100,0,0,0,0
61,3.0,1573.0,100,100,100,100,0,0,0,0
62,3.0,1594.0,100,100,100,100,0,0,0,0
63,3.0,1569.0,100,100,100,100,0,0,0,0
64,3.0,1443.0,100,100,100,100,0,0,0,0
65,3.0,1546.0,100,100,100,100,0,0,0,0
66,3.0,1488.0,100,100,100,100,0,0,0,0
67,3.0,1598.0,100,100,100,100,0,0,0,0
68,3.0,1523.0,100,100,100,100,0,0,0,0
69,3.0,1478.0,100,100,100,100,0,0,0,0
70,3.0,1519.0,100,100,100,100,0,0,0,0
71,3.0,1680.0,100,100,100,100,0,0,0,0
72,3.0,1556.0,100,100,100,100,0,0,0,0
73,3.0,1679.0,100,100,100,100,0,0,0,0
74,3.0,1538.0,100,100,100,100,0,0,0,0
75,3.0,1608.0,100,100,100,100,0,0,0,0
76,3.0,1542.0,100,100,100,100,0,0,0,0
77,3.0,1592.0,100,100,100,100,0,0,0,0
78,3.0,1568.0,100,100,100,100,0,0,0,0
79,3.0,1589.0,100,100,100,100,0,0,0,0
80,3.0,1534.0,100,100,100,100,0,0,0,0
81,3.0,1514.0,100,100,100,100,0,0,0,0
82,3.0,1667.0,100,100,100,100,0,0,0,0
83,3.0,1610.0,100,100,100,100,0,0,0,0
84,3.0,1549.0,100,100,100,100,0,0,0,0
85,3.0,1555.0,100,100,100,100,0,0,0,0
86,3.0,1581.0,100,100,100,100,0,0,0,0
87,3.0,1466.0,100,100,100,100,0,0,0,0
88,3.0,1540.0,100,100,100,100,0,0,0,0
89,3.0,1445.0,100,100,100,100,0,0,0,0
90,3.0,1572.0,100,100,100,100,0,0,0,0
91,3.0,1581.0,100,100,100,100,0,0,0,0
92,3.0,1620.0,100,100,100,100,0,0,0,0
93,3.0,1543.0,100,100,100,100,0,0,0,0
94,3.0,1528.0,100,100,100,100,0,0,0,0
95,3.0,1578.0,100,100,100,100,0,0,0,0
96,3.0,1515.0,100,100,100,100,0,0,0,0
97,3.0,1562.0,100,100,100,100,0,0,0,0
98,3.0,1613.0,100,100,100,100,0,0,0,0
99,3.0,1591.0,100,100,100,100,0,0,0,0
100,3.0,1540.0,100,100,100,100,0,0,0,0
