Trial,Pump Rate,Cut at T=100,T to 0.87 GS Energy,T to 0.9 GS Energy,T to 0.92 GS Energy,T to 0.96 GS Energy,Success for 0.87 GS Energy,Success for 0.9 GS Energy,Success for 0.92 GS Energy,Success for 0.96 GS Energy
1,1.05,68.0,40.400000000000006,42.42,47.470000000000006,53.53,1,1,1,1
2,1.05,69.0,35.35,37.37,62.62,65.65,1,1,1,1
3,1.05,53.0,100,100,100,100,0,0,0,0
4,1.05,67.0,74.74,75.75,77.77,100,1,1,1,0
5,1.05,69.0,44.44,46.46,46.46,51.51,1,1,1,1
6,1.05,54.0,100,100,100,100,0,0,0,0
7,1.05,59.0,100,100,100,100,0,0,0,0
8,1.05,61.0,78.78,100,100,100,1,0,0,0
9,1.05,70.0,30.299999999999997,41.410000000000004,46.46,46.46,1,1,1,1
10,1.05,61.0,86.86,100,100,100,1,0,0,0
11,1.05,58.0,100,100,100,100,0,0,0,0
12,1.05,67.0,31.31,32.32,50.5,100,1,1,1,0
13,1.05,66.0,34.34,37.37,65.65,100,1,1,1,0
14,1.05,67.0,42.42,43.43,47.470000000000006,100,1,1,1,0
15,1.05,69.0,45.45,46.46,54.540000000000006,71.71,1,1,1,1
16,1.05,64.0,43.43,62.62,100,100,1,1,0,0
17,1.05,67.0,56.56,57.57000000000001,61.61,100,1,1,1,0
18,1.05,62.0,32.32,100,100,100,1,0,0,0
19,1.05,69.0,58.58,61.61,61.61,100,1,1,1,0
20,1.05,62.0,100,100,100,100,0,0,0,0
21,1.05,69.0,33.33,34.34,40.400000000000006,54.540000000000006,1,1,1,1
22,1.05,66.0,30.299999999999997,31.31,35.35,100,1,1,1,0
23,1.05,66.0,32.32,38.38,59.589999999999996,100,1,1,1,0
24,1.05,66.0,74.74,76.76,83.83000000000001,100,1,1,1,0
25,1.05,67.0,64.64,67.67,74.74,100,1,1,1,0
26,1.05,65.0,56.56,62.62,67.67,100,1,1,1,0
27,1.05,68.0,48.48,48.48,48.48,50.5,1,1,1,1
28,1.05,62.0,100,100,100,100,0,0,0,0
29,1.05,64.0,42.42,58.58,100,100,1,1,0,0
30,1.05,67.0,86.86,100,100,100,1,0,0,0
31,1.05,55.0,100,100,100,100,0,0,0,0
32,1.05,59.0,100,100,100,100,0,0,0,0
33,1.05,65.0,35.35,36.36,82.82000000000001,100,1,1,1,0
34,1.05,65.0,39.39,63.63,100,100,1,1,0,0
35,1.05,63.0,87.87,88.88,100,100,1,1,0,0
36,1.05,68.0,64.64,66.66,66.66,68.68,1,1,1,1
37,1.05,65.0,34.34,39.39,55.550000000000004,100,1,1,1,0
38,1.05,65.0,52.52,55.550000000000004,100,100,1,1,0,0
39,1.05,60.0,100,100,100,100,0,0,0,0
40,1.05,54.0,100,100,100,100,0,0,0,0
41,1.05,61.0,100,100,100,100,0,0,0,0
42,1.05,66.0,34.34,35.35,100,100,1,1,0,0
43,1.05,66.0,47.470000000000006,51.51,68.68,100,1,1,1,0
44,1.05,63.0,56.56,57.57000000000001,100,100,1,1,0,0
45,1.05,69.0,32.32,35.35,35.35,37.37,1,1,1,1
46,1.05,67.0,38.38,40.400000000000006,43.43,100,1,1,1,0
47,1.05,62.0,56.56,100,100,100,1,0,0,0
48,1.05,68.0,27.270000000000003,31.31,65.65,66.66,1,1,1,1
49,1.05,67.0,52.52,67.67,71.71,100,1,1,1,0
50,1.05,63.0,53.53,68.68,100,100,1,1,0,0
51,1.05,65.0,57.57000000000001,68.68,100,100,1,1,0,0
52,1.05,66.0,49.49,54.540000000000006,62.62,100,1,1,1,0
53,1.05,64.0,82.82000000000001,84.84,100,100,1,1,0,0
54,1.05,67.0,58.58,61.61,61.61,100,1,1,1,0
55,1.05,68.0,30.299999999999997,31.31,31.31,53.53,1,1,1,1
56,1.05,61.0,79.79,100,100,100,1,0,0,0
57,1.05,61.0,100,100,100,100,0,0,0,0
58,1.05,65.0,79.79,80.80000000000001,80.80000000000001,100,1,1,1,0
59,1.05,67.0,60.599999999999994,68.68,71.71,100,1,1,1,0
60,1.05,63.0,43.43,49.49,100,100,1,1,0,0
61,1.05,65.0,38.38,38.38,61.61,100,1,1,1,0
62,1.05,69.0,41.410000000000004,44.44,51.51,52.52,1,1,1,1
63,1.05,67.0,82.82000000000001,82.82000000000001,83.83000000000001,100,1,1,1,0
