Trial,Pump Rate,Cut at T=100,T to 0.87 GS Energy,T to 0.9 GS Energy,T to 0.92 GS Energy,T to 0.96 GS Energy,Success for 0.87 GS Energy,Success for 0.9 GS Energy,Success for 0.92 GS Energy,Success for 0.96 GS Energy
1,2.5,714.0,17.17,17.17,17.17,32.32,1,1,1,1
2,2.5,622.0,100,100,100,100,0,0,0,0
3,2.5,687.0,45.45,46.46,46.46,100,1,1,1,0
4,2.5,645.0,42.42,100,100,100,1,0,0,0
5,2.5,697.0,25.25,26.26,28.28,39.39,1,1,1,1
6,2.5,670.0,21.21,25.25,27.270000000000003,100,1,1,1,0
7,2.5,687.0,36.36,64.64,75.75,100,1,1,1,0
8,2.5,699.0,47.470000000000006,49.49,59.589999999999996,78.78,1,1,1,1
9,2.5,632.0,84.84,100,100,100,1,0,0,0
10,2.5,612.0,100,100,100,100,0,0,0,0
11,2.5,604.0,100,100,100,100,0,0,0,0
12,2.5,705.0,85.85,86.86,86.86,86.86,1,1,1,1
13,2.5,695.0,17.17,24.24,24.24,100,1,1,1,0
14,2.5,687.0,20.200000000000003,23.23,24.24,100,1,1,1,0
15,2.5,644.0,52.52,100,100,100,1,0,0,0
16,2.5,714.0,22.22,24.24,25.25,44.44,1,1,1,1
17,2.5,645.0,100,100,100,100,0,0,0,0
18,2.5,687.0,28.28,30.299999999999997,31.31,100,1,1,1,0
19,2.5,608.0,100,100,100,100,0,0,0,0
20,2.5,692.0,19.19,41.410000000000004,41.410000000000004,100,1,1,1,0
21,2.5,714.0,25.25,41.410000000000004,41.410000000000004,46.46,1,1,1,1
22,2.5,575.0,100,100,100,100,0,0,0,0
23,2.5,649.0,28.28,81.81,100,100,1,1,0,0
24,2.5,708.0,53.53,53.53,53.53,53.53,1,1,1,1
25,2.5,641.0,31.31,100,100,100,1,0,0,0
26,2.5,714.0,20.200000000000003,100,100,100,1,0,0,0
27,2.5,641.0,55.550000000000004,100,100,100,1,0,0,0
28,2.5,668.0,17.17,20.200000000000003,56.56,100,1,1,1,0
29,2.5,692.0,14.14,14.14,17.17,100,1,1,1,0
30,2.5,685.0,24.24,43.43,45.45,100,1,1,1,0
31,2.5,675.0,53.53,54.540000000000006,83.83000000000001,100,1,1,1,0
32,2.5,596.0,100,100,100,100,0,0,0,0
33,2.5,565.0,100,100,100,100,0,0,0,0
34,2.5,699.0,23.23,24.24,25.25,59.589999999999996,1,1,1,1
35,2.5,613.0,100,100,100,100,0,0,0,0
36,2.5,634.0,100,100,100,100,0,0,0,0
37,2.5,699.0,20.200000000000003,21.21,21.21,24.24,1,1,1,1
38,2.5,714.0,56.56,56.56,56.56,58.58,1,1,1,1
39,2.5,685.0,26.26,37.37,82.82000000000001,100,1,1,1,0
40,2.5,613.0,100,100,100,100,0,0,0,0
41,2.5,714.0,42.42,44.44,44.44,44.44,1,1,1,1
42,2.5,616.0,100,100,100,100,0,0,0,0
43,2.5,705.0,22.22,26.26,27.270000000000003,80.80000000000001,1,1,1,1
44,2.5,714.0,27.270000000000003,28.28,28.28,32.32,1,1,1,1
45,2.5,708.0,77.77,77.77,77.77,79.79,1,1,1,1
46,2.5,708.0,100,100,100,100,0,0,0,0
47,2.5,668.0,26.26,27.270000000000003,37.37,100,1,1,1,0
48,2.5,656.0,17.17,20.200000000000003,100,100,1,1,0,0
49,2.5,576.0,100,100,100,100,0,0,0,0
50,2.5,619.0,100,100,100,100,0,0,0,0
51,2.5,675.0,19.19,34.34,83.83000000000001,100,1,1,1,0
52,2.5,692.0,23.23,51.51,51.51,100,1,1,1,0
53,2.5,703.0,34.34,61.61,90.9,100,1,1,1,0
54,2.5,687.0,21.21,23.23,41.410000000000004,100,1,1,1,0
55,2.5,687.0,49.49,60.599999999999994,61.61,100,1,1,1,0
56,2.5,616.0,100,100,100,100,0,0,0,0
57,2.5,700.0,23.23,31.31,52.52,79.79,1,1,1,1
58,2.5,648.0,22.22,51.51,100,100,1,1,0,0
59,2.5,678.0,42.42,42.42,65.65,100,1,1,1,0
60,2.5,713.0,36.36,37.37,37.37,80.80000000000001,1,1,1,1
