Trial,Pump Rate,Cut at T=100,T to 0.87 GS Energy,T to 0.9 GS Energy,T to 0.92 GS Energy,T to 0.96 GS Energy,Success for 0.87 GS Energy,Success for 0.9 GS Energy,Success for 0.92 GS Energy,Success for 0.96 GS Energy
1,1.005,3236.0,2.02,3.03,5.050000000000001,19.19,1,1,1,1
2,1.005,3196.0,2.02,4.04,8.08,100,1,1,1,0
3,1.005,3155.0,3.03,4.04,7.07,100,1,1,1,0
4,1.005,3198.0,2.02,4.04,5.050000000000001,100,1,1,1,0
5,1.005,3235.0,2.02,3.03,5.050000000000001,16.16,1,1,1,1
6,1.005,3159.0,3.03,4.04,6.06,100,1,1,1,0
7,1.005,3208.0,2.02,3.03,6.06,47.470000000000006,1,1,1,1
8,1.005,3199.0,3.03,4.04,7.07,100,1,1,1,0
9,1.005,3185.0,3.03,4.04,6.06,100,1,1,1,0
10,1.005,3216.0,2.02,3.03,4.04,23.23,1,1,1,1
11,1.005,3228.0,2.02,4.04,4.04,15.149999999999999,1,1,1,1
12,1.005,3221.0,2.02,3.03,4.04,26.26,1,1,1,1
13,1.005,3148.0,2.02,3.03,4.04,100,1,1,1,0
14,1.005,3158.0,3.03,4.04,7.07,100,1,1,1,0
15,1.005,3138.0,3.03,5.050000000000001,14.14,100,1,1,1,0
16,1.005,3200.0,3.03,4.04,6.06,100,1,1,1,0
17,1.005,3156.0,3.03,4.04,6.06,100,1,1,1,0
18,1.005,3246.0,2.02,4.04,6.06,26.26,1,1,1,1
19,1.005,3184.0,2.02,4.04,6.06,100,1,1,1,0
20,1.005,3175.0,2.02,3.03,5.050000000000001,100,1,1,1,0
21,1.005,3157.0,3.03,5.050000000000001,7.07,100,1,1,1,0
22,1.005,3166.0,3.03,5.050000000000001,7.07,100,1,1,1,0
23,1.005,3122.0,3.03,4.04,7.07,100,1,1,1,0
24,1.005,3236.0,2.02,3.03,4.04,53.53,1,1,1,1
25,1.005,3149.0,2.02,3.03,6.06,100,1,1,1,0
26,1.005,3188.0,2.02,3.03,5.050000000000001,100,1,1,1,0
27,1.005,3205.0,2.02,4.04,5.050000000000001,100,1,1,1,0
28,1.005,3199.0,2.02,3.03,5.050000000000001,100,1,1,1,0
29,1.005,3227.0,2.02,4.04,7.07,23.23,1,1,1,1
30,1.005,3206.0,2.02,3.03,5.050000000000001,49.49,1,1,1,1
31,1.005,3215.0,3.03,4.04,8.08,16.16,1,1,1,1
32,1.005,3179.0,2.02,3.03,5.050000000000001,100,1,1,1,0
33,1.005,3216.0,2.02,3.03,5.050000000000001,60.599999999999994,1,1,1,1
34,1.005,3174.0,2.02,3.03,4.04,100,1,1,1,0
35,1.005,3129.0,2.02,3.03,6.06,100,1,1,1,0
36,1.005,3214.0,2.02,3.03,5.050000000000001,27.270000000000003,1,1,1,1
37,1.005,3185.0,2.02,3.03,5.050000000000001,100,1,1,1,0
38,1.005,3199.0,2.02,3.03,4.04,100,1,1,1,0
39,1.005,3227.0,2.02,3.03,5.050000000000001,34.34,1,1,1,1
40,1.005,3161.0,3.03,6.06,7.07,100,1,1,1,0
41,1.005,3174.0,3.03,4.04,6.06,100,1,1,1,0
42,1.005,3219.0,3.03,4.04,6.06,36.36,1,1,1,1
43,1.005,3186.0,2.02,4.04,7.07,100,1,1,1,0
44,1.005,3165.0,3.03,4.04,6.06,100,1,1,1,0
45,1.005,3209.0,3.03,4.04,5.050000000000001,34.34,1,1,1,1
46,1.005,3173.0,2.02,3.03,5.050000000000001,100,1,1,1,0
47,1.005,3157.0,2.02,3.03,6.06,100,1,1,1,0
48,1.005,3210.0,2.02,3.03,4.04,41.410000000000004,1,1,1,1
49,1.005,3209.0,2.02,3.03,4.04,13.13,1,1,1,1
50,1.005,3208.0,3.03,3.03,5.050000000000001,28.28,1,1,1,1
51,1.005,3200.0,2.02,3.03,5.050000000000001,100,1,1,1,0
52,1.005,3185.0,2.02,4.04,5.050000000000001,100,1,1,1,0
53,1.005,3193.0,3.03,5.050000000000001,9.09,100,1,1,1,0
54,1.005,3147.0,3.03,4.04,7.07,100,1,1,1,0
55,1.005,3152.0,2.02,4.04,6.06,100,1,1,1,0
56,1.005,3199.0,2.02,5.050000000000001,8.08,100,1,1,1,0
57,1.005,3213.0,2.02,3.03,5.050000000000001,15.149999999999999,1,1,1,1
58,1.005,3192.0,2.02,3.03,7.07,100,1,1,1,0
59,1.005,3190.0,3.03,4.04,6.06,100,1,1,1,0
60,1.005,3186.0,2.02,4.04,10.100000000000001,100,1,1,1,0
61,1.005,3233.0,3.03,4.04,5.050000000000001,15.149999999999999,1,1,1,1
62,1.005,3180.0,3.03,3.03,5.050000000000001,100,1,1,1,0
63,1.005,3207.0,2.02,3.03,5.050000000000001,100,1,1,1,0
64,1.005,3205.0,2.02,3.03,4.04,100,1,1,1,0
65,1.005,3217.0,3.03,4.04,6.06,35.35,1,1,1,1
66,1.005,3165.0,2.02,4.04,7.07,100,1,1,1,0
67,1.005,3243.0,2.02,3.03,4.04,61.61,1,1,1,1
68,1.005,3216.0,2.02,3.03,5.050000000000001,14.14,1,1,1,1
69,1.005,3161.0,3.03,5.050000000000001,9.09,100,1,1,1,0
70,1.005,3211.0,2.02,3.03,7.07,36.36,1,1,1,1
71,1.005,3147.0,2.02,3.03,6.06,100,1,1,1,0
72,1.005,3187.0,2.02,3.03,4.04,100,1,1,1,0
73,1.005,3217.0,3.03,4.04,6.06,23.23,1,1,1,1
74,1.005,3206.0,2.02,3.03,4.04,100,1,1,1,0
75,1.005,3176.0,3.03,4.04,5.050000000000001,100,1,1,1,0
76,1.005,3226.0,3.03,4.04,6.06,36.36,1,1,1,1
77,1.005,3149.0,2.02,3.03,4.04,100,1,1,1,0
78,1.005,3198.0,2.02,3.03,5.050000000000001,100,1,1,1,0
79,1.005,3195.0,2.02,4.04,4.04,100,1,1,1,0
80,1.005,3189.0,2.02,3.03,4.04,100,1,1,1,0
81,1.005,3223.0,3.03,4.04,5.050000000000001,21.21,1,1,1,1
82,1.005,3183.0,2.02,4.04,7.07,100,1,1,1,0
83,1.005,3189.0,3.03,4.04,6.06,100,1,1,1,0
84,1.005,3182.0,2.02,3.03,4.04,100,1,1,1,0
85,1.005,3167.0,3.03,4.04,8.08,100,1,1,1,0
86,1.005,3212.0,3.03,4.04,6.06,47.470000000000006,1,1,1,1
87,1.005,3139.0,3.03,4.04,7.07,100,1,1,1,0
88,1.005,3204.0,2.02,3.03,4.04,100,1,1,1,0
89,1.005,3195.0,3.03,4.04,6.06,100,1,1,1,0
90,1.005,3187.0,2.02,3.03,5.050000000000001,100,1,1,1,0
91,1.005,3157.0,3.03,4.04,6.06,100,1,1,1,0
92,1.005,3179.0,2.02,3.03,4.04,100,1,1,1,0
93,1.005,3218.0,3.03,4.04,6.06,35.35,1,1,1,1
94,1.005,3192.0,3.03,4.04,8.08,100,1,1,1,0
95,1.005,3216.0,3.03,4.04,5.050000000000001,27.270000000000003,1,1,1,1
96,1.005,3107.0,2.02,3.03,4.04,100,1,1,1,0
97,1.005,3190.0,2.02,3.03,5.050000000000001,100,1,1,1,0
98,1.005,3123.0,2.02,4.04,8.08,100,1,1,1,0
99,1.005,3165.0,2.02,3.03,4.04,100,1,1,1,0
100,1.005,3165.0,2.02,3.03,5.050000000000001,100,1,1,1,0
