Trial,Pump Rate,Cut at T=100,T to 0.87 GS Energy,T to 0.9 GS Energy,T to 0.92 GS Energy,T to 0.96 GS Energy,Success for 0.87 GS Energy,Success for 0.9 GS Energy,Success for 0.92 GS Energy,Success for 0.96 GS Energy
1,3.0,1862.0,1.01,1.01,1.01,1.01,1,1,1,1
2,3.0,1859.0,1.01,1.01,1.01,1.01,1,1,1,1
3,3.0,1833.0,1.01,1.01,1.01,2.02,1,1,1,1
4,3.0,1828.0,1.01,1.01,2.02,4.04,1,1,1,1
5,3.0,1749.0,1.01,3.03,100,100,1,1,0,0
6,3.0,1862.0,1.01,1.01,1.01,2.02,1,1,1,1
7,3.0,1765.0,1.01,2.02,2.02,100,1,1,1,0
8,3.0,1841.0,1.01,1.01,1.01,1.01,1,1,1,1
9,3.0,1839.0,1.01,3.03,3.03,3.03,1,1,1,1
10,3.0,1833.0,1.01,1.01,1.01,4.04,1,1,1,1
11,3.0,1784.0,1.01,1.01,3.03,100,1,1,1,0
12,3.0,1774.0,1.01,2.02,2.02,100,1,1,1,0
13,3.0,1799.0,1.01,1.01,1.01,100,1,1,1,0
14,3.0,1826.0,1.01,1.01,1.01,1.01,1,1,1,1
15,3.0,1771.0,1.01,1.01,3.03,100,1,1,1,0
16,3.0,1721.0,1.01,1.01,100,100,1,1,0,0
17,3.0,1792.0,1.01,1.01,2.02,100,1,1,1,0
18,3.0,1900.0,2.02,2.02,2.02,3.03,1,1,1,1
19,3.0,1850.0,1.01,1.01,1.01,3.03,1,1,1,1
20,3.0,1848.0,1.01,1.01,1.01,2.02,1,1,1,1
21,3.0,1874.0,1.01,1.01,2.02,2.02,1,1,1,1
22,3.0,1789.0,1.01,2.02,8.08,100,1,1,1,0
23,3.0,1770.0,1.01,3.03,3.03,100,1,1,1,0
24,3.0,1811.0,1.01,2.02,3.03,100,1,1,1,0
25,3.0,1784.0,1.01,1.01,4.04,100,1,1,1,0
26,3.0,1845.0,1.01,2.02,2.02,3.03,1,1,1,1
27,3.0,1639.0,100,100,100,100,0,0,0,0
28,3.0,1771.0,1.01,2.02,3.03,100,1,1,1,0
29,3.0,1801.0,1.01,1.01,2.02,100,1,1,1,0
30,3.0,1792.0,1.01,1.01,2.02,100,1,1,1,0
31,3.0,1900.0,1.01,1.01,2.02,3.03,1,1,1,1
32,3.0,1900.0,1.01,1.01,1.01,1.01,1,1,1,1
33,3.0,1902.0,1.01,1.01,1.01,1.01,1,1,1,1
34,3.0,1842.0,1.01,2.02,2.02,4.04,1,1,1,1
35,3.0,1794.0,2.02,3.03,4.04,100,1,1,1,0
36,3.0,1818.0,1.01,1.01,2.02,100,1,1,1,0
37,3.0,1862.0,1.01,1.01,1.01,2.02,1,1,1,1
38,3.0,1767.0,1.01,1.01,1.01,100,1,1,1,0
39,3.0,1805.0,1.01,2.02,2.02,100,1,1,1,0
40,3.0,1795.0,1.01,1.01,3.03,100,1,1,1,0
41,3.0,1837.0,1.01,1.01,1.01,2.02,1,1,1,1
42,3.0,1900.0,1.01,1.01,1.01,1.01,1,1,1,1
43,3.0,1900.0,1.01,1.01,1.01,1.01,1,1,1,1
44,3.0,1811.0,1.01,1.01,2.02,100,1,1,1,0
45,3.0,1862.0,2.02,3.03,4.04,4.04,1,1,1,1
46,3.0,1795.0,1.01,1.01,1.01,100,1,1,1,0
47,3.0,1794.0,1.01,2.02,3.03,100,1,1,1,0
48,3.0,1743.0,1.01,1.01,100,100,1,1,0,0
49,3.0,1790.0,1.01,1.01,1.01,100,1,1,1,0
50,3.0,1766.0,1.01,1.01,2.02,100,1,1,1,0
51,3.0,1900.0,1.01,1.01,1.01,2.02,1,1,1,1
52,3.0,1700.0,1.01,100,100,100,1,0,0,0
53,3.0,1767.0,1.01,1.01,1.01,100,1,1,1,0
54,3.0,1862.0,1.01,1.01,1.01,3.03,1,1,1,1
55,3.0,1826.0,1.01,1.01,1.01,2.02,1,1,1,1
56,3.0,1752.0,1.01,2.02,2.02,100,1,1,1,0
57,3.0,1835.0,1.01,1.01,1.01,1.01,1,1,1,1
58,3.0,1837.0,2.02,2.02,2.02,3.03,1,1,1,1
59,3.0,1777.0,1.01,2.02,5.050000000000001,100,1,1,1,0
60,3.0,1794.0,1.01,1.01,1.01,100,1,1,1,0
61,3.0,1822.0,1.01,1.01,1.01,100,1,1,1,0
62,3.0,1902.0,1.01,1.01,1.01,1.01,1,1,1,1
63,3.0,1828.0,1.01,1.01,1.01,2.02,1,1,1,1
64,3.0,1695.0,2.02,100,100,100,1,0,0,0
65,3.0,1835.0,1.01,1.01,2.02,2.02,1,1,1,1
66,3.0,1900.0,1.01,2.02,2.02,3.03,1,1,1,1
67,3.0,1760.0,2.02,2.02,3.03,100,1,1,1,0
68,3.0,1837.0,1.01,1.01,2.02,3.03,1,1,1,1
69,3.0,1848.0,1.01,1.01,1.01,1.01,1,1,1,1
70,3.0,1769.0,1.01,1.01,4.04,100,1,1,1,0
71,3.0,1835.0,1.01,1.01,1.01,2.02,1,1,1,1
72,3.0,1747.0,2.02,2.02,100,100,1,1,0,0
73,3.0,1900.0,1.01,1.01,1.01,4.04,1,1,1,1
74,3.0,1806.0,1.01,2.02,4.04,100,1,1,1,0
75,3.0,1862.0,1.01,2.02,2.02,3.03,1,1,1,1
76,3.0,1831.0,1.01,2.02,3.03,4.04,1,1,1,1
77,3.0,1784.0,1.01,2.02,2.02,100,1,1,1,0
