Trial,Pump Rate,Cut at T=100,T to 0.87 GS Energy,T to 0.9 GS Energy,T to 0.92 GS Energy,T to 0.96 GS Energy,Success for 0.87 GS Energy,Success for 0.9 GS Energy,Success for 0.92 GS Energy,Success for 0.96 GS Energy
1,2.0,3113.0,2.02,5.050000000000001,11.11,100,1,1,1,0
2,2.0,3074.0,3.03,21.21,58.58,100,1,1,1,0
3,2.0,3104.0,3.03,4.04,11.11,100,1,1,1,0
4,2.0,3065.0,2.02,4.04,100,100,1,1,0,0
5,2.0,3080.0,4.04,6.06,18.18,100,1,1,1,0
6,2.0,3083.0,3.03,6.06,43.43,100,1,1,1,0
7,2.0,3109.0,3.03,5.050000000000001,16.16,100,1,1,1,0
8,2.0,3087.0,3.03,7.07,18.18,100,1,1,1,0
9,2.0,3081.0,2.02,5.050000000000001,29.29,100,1,1,1,0
10,2.0,3163.0,2.02,3.03,4.04,100,1,1,1,0
11,2.0,3121.0,2.02,3.03,6.06,100,1,1,1,0
12,2.0,3099.0,3.03,5.050000000000001,10.100000000000001,100,1,1,1,0
13,2.0,3097.0,2.02,3.03,6.06,100,1,1,1,0
14,2.0,3078.0,2.02,4.04,10.100000000000001,100,1,1,1,0
15,2.0,3076.0,3.03,4.04,29.29,100,1,1,1,0
16,2.0,3127.0,2.02,3.03,7.07,100,1,1,1,0
17,2.0,3031.0,3.03,8.08,100,100,1,1,0,0
18,2.0,3067.0,2.02,4.04,100,100,1,1,0,0
19,2.0,3111.0,2.02,3.03,8.08,100,1,1,1,0
20,2.0,3004.0,3.03,100,100,100,1,0,0,0
21,2.0,3024.0,3.03,7.07,100,100,1,1,0,0
22,2.0,3068.0,3.03,5.050000000000001,100,100,1,1,0,0
23,2.0,3146.0,2.02,4.04,5.050000000000001,100,1,1,1,0
24,2.0,3087.0,3.03,6.06,16.16,100,1,1,1,0
25,2.0,3044.0,3.03,7.07,100,100,1,1,0,0
26,2.0,3091.0,2.02,4.04,10.100000000000001,100,1,1,1,0
27,2.0,3102.0,2.02,4.04,14.14,100,1,1,1,0
28,2.0,3026.0,2.02,5.050000000000001,100,100,1,1,0,0
29,2.0,3126.0,2.02,5.050000000000001,11.11,100,1,1,1,0
30,2.0,3133.0,2.02,3.03,6.06,100,1,1,1,0
31,2.0,3012.0,3.03,17.17,100,100,1,1,0,0
32,2.0,3045.0,3.03,10.100000000000001,100,100,1,1,0,0
33,2.0,3062.0,2.02,5.050000000000001,100,100,1,1,0,0
34,2.0,3044.0,3.03,12.12,100,100,1,1,0,0
35,2.0,3080.0,2.02,6.06,23.23,100,1,1,1,0
36,2.0,3135.0,2.02,3.03,5.050000000000001,100,1,1,1,0
37,2.0,3192.0,2.02,3.03,5.050000000000001,100,1,1,1,0
38,2.0,3052.0,3.03,7.07,100,100,1,1,0,0
39,2.0,3098.0,2.02,4.04,12.12,100,1,1,1,0
40,2.0,3088.0,3.03,6.06,12.12,100,1,1,1,0
41,2.0,3057.0,2.02,7.07,100,100,1,1,0,0
42,2.0,3104.0,2.02,4.04,14.14,100,1,1,1,0
43,2.0,3091.0,2.02,4.04,10.100000000000001,100,1,1,1,0
44,2.0,3101.0,2.02,3.03,7.07,100,1,1,1,0
45,2.0,3018.0,4.04,23.23,100,100,1,1,0,0
46,2.0,3074.0,3.03,5.050000000000001,44.44,100,1,1,1,0
47,2.0,3142.0,2.02,4.04,6.06,100,1,1,1,0
