Trial,Pump Rate,Cut at T=100,T to 0.87 GS Energy,T to 0.9 GS Energy,T to 0.92 GS Energy,T to 0.96 GS Energy,Success for 0.87 GS Energy,Success for 0.9 GS Energy,Success for 0.92 GS Energy,Success for 0.96 GS Energy
1,1.001,598.0,2.02,2.02,3.03,100,1,1,1,0
2,1.001,584.0,3.03,4.04,100,100,1,1,0,0
3,1.001,591.0,3.03,4.04,100,100,1,1,0,0
4,1.001,562.0,3.03,100,100,100,1,0,0,0
5,1.001,560.0,6.06,100,100,100,1,0,0,0
6,1.001,604.0,3.03,3.03,5.050000000000001,100,1,1,1,0
7,1.001,628.0,3.03,39.39,39.39,42.42,1,1,1,1
8,1.001,618.0,2.02,2.02,3.03,17.17,1,1,1,1
9,1.001,595.0,2.02,2.02,3.03,100,1,1,1,0
10,1.001,605.0,2.02,2.02,2.02,100,1,1,1,0
11,1.001,543.0,100,100,100,100,0,0,0,0
12,1.001,627.0,2.02,2.02,2.02,2.02,1,1,1,1
13,1.001,601.0,2.02,2.02,3.03,100,1,1,1,0
14,1.001,638.0,2.02,2.02,2.02,3.03,1,1,1,1
15,1.001,629.0,2.02,2.02,3.03,3.03,1,1,1,1
16,1.001,605.0,2.02,2.02,2.02,100,1,1,1,0
17,1.001,601.0,2.02,2.02,13.13,100,1,1,1,0
18,1.001,552.0,100,100,100,100,0,0,0,0
19,1.001,598.0,2.02,3.03,3.03,100,1,1,1,0
20,1.001,584.0,3.03,4.04,100,100,1,1,0,0
21,1.001,614.0,2.02,2.02,3.03,100,1,1,1,0
22,1.001,629.0,1.01,2.02,2.02,2.02,1,1,1,1
23,1.001,607.0,2.02,2.02,2.02,100,1,1,1,0
24,1.001,603.0,2.02,3.03,3.03,100,1,1,1,0
25,1.001,588.0,3.03,4.04,100,100,1,1,0,0
26,1.001,569.0,2.02,100,100,100,1,0,0,0
27,1.001,628.0,2.02,2.02,2.02,5.050000000000001,1,1,1,1
28,1.001,587.0,2.02,3.03,100,100,1,1,0,0
29,1.001,601.0,1.01,2.02,3.03,100,1,1,1,0
30,1.001,591.0,2.02,3.03,100,100,1,1,0,0
31,1.001,602.0,2.02,2.02,2.02,100,1,1,1,0
32,1.001,628.0,2.02,2.02,2.02,4.04,1,1,1,1
33,1.001,592.0,2.02,2.02,2.02,100,1,1,1,0
34,1.001,577.0,3.03,100,100,100,1,0,0,0
35,1.001,603.0,2.02,3.03,3.03,100,1,1,1,0
36,1.001,599.0,2.02,2.02,3.03,100,1,1,1,0
37,1.001,538.0,100,100,100,100,0,0,0,0
38,1.001,607.0,2.02,2.02,3.03,100,1,1,1,0
39,1.001,631.0,2.02,2.02,2.02,3.03,1,1,1,1
40,1.001,608.0,2.02,2.02,2.02,100,1,1,1,0
41,1.001,556.0,100,100,100,100,0,0,0,0
42,1.001,619.0,2.02,2.02,3.03,13.13,1,1,1,1
43,1.001,607.0,2.02,3.03,4.04,100,1,1,1,0
44,1.001,589.0,2.02,2.02,100,100,1,1,0,0
45,1.001,602.0,2.02,2.02,2.02,100,1,1,1,0
46,1.001,623.0,2.02,3.03,3.03,5.050000000000001,1,1,1,1
47,1.001,617.0,2.02,5.050000000000001,7.07,100,1,1,1,0
48,1.001,605.0,1.01,1.01,2.02,100,1,1,1,0
49,1.001,594.0,2.02,3.03,5.050000000000001,100,1,1,1,0
50,1.001,590.0,2.02,3.03,100,100,1,1,0,0
51,1.001,580.0,3.03,4.04,100,100,1,1,0,0
52,1.001,597.0,2.02,3.03,3.03,100,1,1,1,0
53,1.001,602.0,2.02,2.02,3.03,100,1,1,1,0
54,1.001,556.0,100,100,100,100,0,0,0,0
55,1.001,599.0,2.02,3.03,6.06,100,1,1,1,0
56,1.001,610.0,2.02,3.03,6.06,100,1,1,1,0
57,1.001,600.0,3.03,4.04,4.04,100,1,1,1,0
58,1.001,576.0,4.04,100,100,100,1,0,0,0
59,1.001,601.0,2.02,3.03,3.03,100,1,1,1,0
60,1.001,610.0,2.02,3.03,3.03,100,1,1,1,0
61,1.001,559.0,100,100,100,100,0,0,0,0
62,1.001,615.0,2.02,2.02,2.02,100,1,1,1,0
63,1.001,587.0,2.02,8.08,100,100,1,1,0,0
64,1.001,565.0,4.04,100,100,100,1,0,0,0
65,1.001,637.0,1.01,2.02,2.02,3.03,1,1,1,1
66,1.001,598.0,4.04,5.050000000000001,5.050000000000001,100,1,1,1,0
67,1.001,630.0,2.02,2.02,4.04,4.04,1,1,1,1
68,1.001,595.0,2.02,2.02,3.03,100,1,1,1,0
69,1.001,600.0,15.149999999999999,16.16,17.17,100,1,1,1,0
70,1.001,570.0,5.050000000000001,100,100,100,1,0,0,0
71,1.001,615.0,2.02,2.02,3.03,100,1,1,1,0
72,1.001,619.0,2.02,3.03,3.03,6.06,1,1,1,1
73,1.001,617.0,1.01,2.02,2.02,100,1,1,1,0
74,1.001,574.0,3.03,100,100,100,1,0,0,0
75,1.001,555.0,100,100,100,100,0,0,0,0
76,1.001,643.0,1.01,1.01,1.01,2.02,1,1,1,1
