Trial,Cut at T=100,T to 0.87 GS Energy,T to 0.9 GS Energy,T to 0.92 GS Energy,T to 0.96 GS Energy,Success for 0.87 GS Energy,Success for 0.9 GS Energy,Success for 0.92 GS Energy,Success for 0.96 GS Energy
1,3168.0,3.03,4.04,7.07,100,1,1,1,0
2,3127.0,3.03,5.050000000000001,12.12,100,1,1,1,0
3,3190.0,2.02,3.03,4.04,100,1,1,1,0
4,3199.0,3.03,4.04,6.06,100,1,1,1,0
5,3181.0,3.03,4.04,7.07,100,1,1,1,0
6,3184.0,2.02,3.03,4.04,100,1,1,1,0
7,3166.0,3.03,3.03,5.050000000000001,100,1,1,1,0
8,3201.0,2.02,3.03,4.04,100,1,1,1,0
9,3200.0,2.02,3.03,5.050000000000001,100,1,1,1,0
10,3162.0,2.02,3.03,4.04,100,1,1,1,0
11,3138.0,3.03,4.04,8.08,100,1,1,1,0
12,3174.0,2.02,3.03,5.050000000000001,100,1,1,1,0
13,3184.0,3.03,4.04,7.07,100,1,1,1,0
14,3122.0,3.03,5.050000000000001,10.100000000000001,100,1,1,1,0
15,3169.0,2.02,3.03,5.050000000000001,100,1,1,1,0
16,3168.0,2.02,3.03,7.07,100,1,1,1,0
17,3157.0,3.03,5.050000000000001,9.09,100,1,1,1,0
18,3167.0,3.03,3.03,5.050000000000001,100,1,1,1,0
19,3180.0,3.03,4.04,6.06,100,1,1,1,0
20,3165.0,3.03,4.04,7.07,100,1,1,1,0
21,3134.0,2.02,3.03,5.050000000000001,100,1,1,1,0
22,3160.0,3.03,4.04,6.06,100,1,1,1,0
23,3229.0,2.02,3.03,4.04,30.299999999999997,1,1,1,1
24,3134.0,2.02,3.03,9.09,100,1,1,1,0
25,3199.0,2.02,3.03,4.04,100,1,1,1,0
26,3149.0,3.03,3.03,6.06,100,1,1,1,0
27,3176.0,2.02,3.03,5.050000000000001,100,1,1,1,0
28,3162.0,3.03,4.04,6.06,100,1,1,1,0
29,3175.0,2.02,3.03,4.04,100,1,1,1,0
30,3146.0,3.03,4.04,9.09,100,1,1,1,0
31,3186.0,2.02,3.03,5.050000000000001,100,1,1,1,0
32,3147.0,3.03,5.050000000000001,12.12,100,1,1,1,0
33,3163.0,3.03,4.04,7.07,100,1,1,1,0
34,3172.0,3.03,3.03,5.050000000000001,100,1,1,1,0
35,3122.0,3.03,8.08,16.16,100,1,1,1,0
36,3172.0,3.03,4.04,7.07,100,1,1,1,0
37,3130.0,3.03,4.04,8.08,100,1,1,1,0
38,3193.0,2.02,4.04,6.06,100,1,1,1,0
39,3202.0,2.02,3.03,3.03,100,1,1,1,0
40,3175.0,2.02,3.03,4.04,100,1,1,1,0
41,3174.0,2.02,3.03,5.050000000000001,100,1,1,1,0
42,3141.0,3.03,5.050000000000001,10.100000000000001,100,1,1,1,0
43,3193.0,3.03,4.04,6.06,100,1,1,1,0
44,3218.0,2.02,3.03,4.04,22.22,1,1,1,1
45,3171.0,3.03,4.04,6.06,100,1,1,1,0
46,3180.0,2.02,3.03,6.06,100,1,1,1,0
47,3166.0,2.02,3.03,6.06,100,1,1,1,0
48,3178.0,2.02,3.03,4.04,100,1,1,1,0
49,3139.0,3.03,5.050000000000001,9.09,100,1,1,1,0
50,3204.0,3.03,3.03,5.050000000000001,100,1,1,1,0
51,3187.0,3.03,4.04,6.06,100,1,1,1,0
52,3211.0,2.02,3.03,4.04,30.299999999999997,1,1,1,1
53,3185.0,3.03,4.04,6.06,100,1,1,1,0
54,3164.0,3.03,4.04,7.07,100,1,1,1,0
55,3172.0,2.02,3.03,7.07,100,1,1,1,0
56,3146.0,2.02,3.03,7.07,100,1,1,1,0
57,3170.0,2.02,3.03,4.04,100,1,1,1,0
58,3140.0,3.03,4.04,6.06,100,1,1,1,0
59,3143.0,3.03,4.04,9.09,100,1,1,1,0
60,3178.0,3.03,4.04,7.07,100,1,1,1,0
61,3175.0,2.02,3.03,7.07,100,1,1,1,0
62,3206.0,2.02,3.03,6.06,100,1,1,1,0
63,3168.0,3.03,4.04,5.050000000000001,100,1,1,1,0
64,3183.0,2.02,3.03,4.04,100,1,1,1,0
65,3146.0,3.03,4.04,10.100000000000001,100,1,1,1,0
66,3159.0,3.03,4.04,6.06,100,1,1,1,0
67,3201.0,2.02,4.04,6.06,100,1,1,1,0
68,3185.0,3.03,4.04,7.07,100,1,1,1,0
69,3179.0,2.02,3.03,5.050000000000001,100,1,1,1,0
70,3173.0,2.02,3.03,4.04,100,1,1,1,0
71,3159.0,2.02,3.03,5.050000000000001,100,1,1,1,0
72,3131.0,3.03,4.04,8.08,100,1,1,1,0
73,3211.0,2.02,3.03,4.04,23.23,1,1,1,1
74,3155.0,3.03,3.03,5.050000000000001,100,1,1,1,0
75,3176.0,3.03,3.03,6.06,100,1,1,1,0
76,3170.0,3.03,3.03,5.050000000000001,100,1,1,1,0
77,3175.0,2.02,3.03,4.04,100,1,1,1,0
78,3183.0,2.02,3.03,4.04,100,1,1,1,0
79,3121.0,3.03,4.04,10.100000000000001,100,1,1,1,0
80,3219.0,3.03,4.04,5.050000000000001,40.400000000000006,1,1,1,1
81,3178.0,3.03,3.03,6.06,100,1,1,1,0
82,3212.0,2.02,3.03,3.03,26.26,1,1,1,1
83,3167.0,2.02,3.03,5.050000000000001,100,1,1,1,0
84,3159.0,2.02,3.03,5.050000000000001,100,1,1,1,0
85,3183.0,2.02,3.03,4.04,100,1,1,1,0
86,3186.0,2.02,3.03,5.050000000000001,100,1,1,1,0
87,3149.0,2.02,3.03,6.06,100,1,1,1,0
88,3152.0,3.03,4.04,6.06,100,1,1,1,0
89,3178.0,2.02,3.03,5.050000000000001,100,1,1,1,0
90,3154.0,3.03,4.04,6.06,100,1,1,1,0
91,3186.0,3.03,4.04,5.050000000000001,100,1,1,1,0
92,3097.0,3.03,5.050000000000001,18.18,100,1,1,1,0
93,3177.0,2.02,3.03,4.04,100,1,1,1,0
94,3125.0,3.03,4.04,6.06,100,1,1,1,0
95,3157.0,2.02,3.03,5.050000000000001,100,1,1,1,0
96,3170.0,3.03,4.04,5.050000000000001,100,1,1,1,0
97,3162.0,3.03,4.04,8.08,100,1,1,1,0
98,3162.0,3.03,4.04,5.050000000000001,100,1,1,1,0
99,3160.0,2.02,3.03,4.04,100,1,1,1,0
100,3205.0,2.02,3.03,4.04,100,1,1,1,0
