Trial,Cut at T=100,T to 0.87 GS Energy,T to 0.9 GS Energy,T to 0.92 GS Energy,T to 0.96 GS Energy,Success for 0.87 GS Energy,Success for 0.9 GS Energy,Success for 0.92 GS Energy,Success for 0.96 GS Energy
1,81.0,3.03,3.03,4.04,16.16,1,1,1,1
2,81.0,4.04,4.04,4.04,5.050000000000001,1,1,1,1
3,83.0,4.04,4.04,4.04,4.04,1,1,1,1
4,83.0,3.03,3.03,4.04,4.04,1,1,1,1
5,78.0,4.04,4.04,4.04,100,1,1,1,0
6,81.0,5.050000000000001,7.07,9.09,15.149999999999999,1,1,1,1
7,79.0,5.050000000000001,5.050000000000001,6.06,100,1,1,1,0
8,80.0,3.03,3.03,3.03,4.04,1,1,1,1
9,82.0,3.03,3.03,5.050000000000001,5.050000000000001,1,1,1,1
10,80.0,4.04,4.04,5.050000000000001,12.12,1,1,1,1
11,82.0,4.04,5.050000000000001,8.08,9.09,1,1,1,1
12,79.0,4.04,4.04,5.050000000000001,100,1,1,1,0
13,79.0,3.03,3.03,3.03,100,1,1,1,0
14,82.0,3.03,3.03,3.03,6.06,1,1,1,1
15,79.0,2.02,3.03,3.03,100,1,1,1,0
16,83.0,3.03,4.04,4.04,7.07,1,1,1,1
17,82.0,3.03,4.04,4.04,4.04,1,1,1,1
18,82.0,4.04,4.04,5.050000000000001,6.06,1,1,1,1
19,82.0,3.03,3.03,4.04,4.04,1,1,1,1
20,82.0,3.03,3.03,3.03,4.04,1,1,1,1
21,73.0,5.050000000000001,100,100,100,1,0,0,0
22,79.0,3.03,4.04,4.04,100,1,1,1,0
23,80.0,4.04,4.04,5.050000000000001,9.09,1,1,1,1
24,79.0,3.03,4.04,4.04,100,1,1,1,0
25,81.0,5.050000000000001,6.06,12.12,13.13,1,1,1,1
26,78.0,6.06,7.07,24.24,100,1,1,1,0
27,82.0,3.03,4.04,4.04,4.04,1,1,1,1
28,74.0,5.050000000000001,100,100,100,1,0,0,0
29,82.0,3.03,3.03,3.03,4.04,1,1,1,1
30,81.0,3.03,3.03,4.04,5.050000000000001,1,1,1,1
31,82.0,3.03,3.03,4.04,4.04,1,1,1,1
32,81.0,4.04,4.04,4.04,4.04,1,1,1,1
33,78.0,3.03,4.04,9.09,100,1,1,1,0
34,78.0,4.04,4.04,4.04,100,1,1,1,0
35,83.0,3.03,3.03,4.04,4.04,1,1,1,1
36,83.0,3.03,4.04,4.04,4.04,1,1,1,1
37,81.0,3.03,3.03,4.04,7.07,1,1,1,1
38,79.0,6.06,7.07,9.09,100,1,1,1,0
39,79.0,4.04,4.04,5.050000000000001,100,1,1,1,0
40,80.0,4.04,5.050000000000001,5.050000000000001,9.09,1,1,1,1
41,79.0,5.050000000000001,6.06,7.07,100,1,1,1,0
42,79.0,13.13,14.14,14.14,100,1,1,1,0
43,81.0,2.02,2.02,3.03,4.04,1,1,1,1
44,80.0,3.03,3.03,3.03,8.08,1,1,1,1
45,82.0,3.03,3.03,3.03,4.04,1,1,1,1
46,80.0,4.04,4.04,4.04,13.13,1,1,1,1
47,78.0,3.03,3.03,3.03,100,1,1,1,0
48,79.0,4.04,5.050000000000001,5.050000000000001,100,1,1,1,0
49,76.0,4.04,4.04,100,100,1,1,0,0
50,82.0,3.03,3.03,3.03,4.04,1,1,1,1
51,83.0,6.06,11.11,12.12,14.14,1,1,1,1
52,82.0,3.03,3.03,3.03,4.04,1,1,1,1
53,83.0,3.03,4.04,5.050000000000001,5.050000000000001,1,1,1,1
54,79.0,4.04,5.050000000000001,5.050000000000001,100,1,1,1,0
55,83.0,4.04,4.04,4.04,5.050000000000001,1,1,1,1
56,75.0,3.03,4.04,100,100,1,1,0,0
57,81.0,3.03,3.03,3.03,4.04,1,1,1,1
58,81.0,2.02,2.02,3.03,4.04,1,1,1,1
59,75.0,4.04,6.06,100,100,1,1,0,0
60,80.0,4.04,4.04,4.04,5.050000000000001,1,1,1,1
61,79.0,4.04,4.04,4.04,100,1,1,1,0
62,81.0,2.02,2.02,3.03,5.050000000000001,1,1,1,1
63,82.0,3.03,4.04,4.04,5.050000000000001,1,1,1,1
64,74.0,9.09,100,100,100,1,0,0,0
65,80.0,4.04,4.04,4.04,5.050000000000001,1,1,1,1
66,80.0,4.04,4.04,4.04,4.04,1,1,1,1
67,81.0,4.04,4.04,5.050000000000001,6.06,1,1,1,1
68,79.0,4.04,6.06,10.100000000000001,100,1,1,1,0
69,81.0,4.04,4.04,4.04,24.24,1,1,1,1
70,82.0,3.03,4.04,4.04,4.04,1,1,1,1
71,76.0,5.050000000000001,13.13,100,100,1,1,0,0
72,80.0,3.03,4.04,4.04,4.04,1,1,1,1
73,81.0,4.04,4.04,4.04,6.06,1,1,1,1
74,82.0,4.04,4.04,4.04,5.050000000000001,1,1,1,1
75,82.0,4.04,4.04,5.050000000000001,8.08,1,1,1,1
76,78.0,3.03,3.03,4.04,100,1,1,1,0
77,74.0,5.050000000000001,100,100,100,1,0,0,0
78,79.0,4.04,4.04,9.09,100,1,1,1,0
79,82.0,3.03,3.03,3.03,5.050000000000001,1,1,1,1
80,83.0,3.03,3.03,4.04,6.06,1,1,1,1
81,81.0,3.03,3.03,4.04,5.050000000000001,1,1,1,1
82,82.0,3.03,3.03,4.04,5.050000000000001,1,1,1,1
83,80.0,4.04,4.04,4.04,15.149999999999999,1,1,1,1
84,82.0,4.04,4.04,5.050000000000001,8.08,1,1,1,1
85,81.0,2.02,3.03,3.03,5.050000000000001,1,1,1,1
86,79.0,4.04,5.050000000000001,5.050000000000001,100,1,1,1,0
87,80.0,4.04,7.07,8.08,22.22,1,1,1,1
88,80.0,4.04,4.04,4.04,4.04,1,1,1,1
89,79.0,4.04,4.04,4.04,100,1,1,1,0
90,80.0,4.04,5.050000000000001,5.050000000000001,9.09,1,1,1,1
91,82.0,3.03,4.04,22.22,37.37,1,1,1,1
92,82.0,3.03,4.04,4.04,4.04,1,1,1,1
93,79.0,3.03,4.04,4.04,100,1,1,1,0
