Trial,Cut at T=100,T to 0.87 GS Energy,T to 0.9 GS Energy,T to 0.92 GS Energy,T to 0.96 GS Energy,Success for 0.87 GS Energy,Success for 0.9 GS Energy,Success for 0.92 GS Energy,Success for 0.96 GS Energy
1,586.0,8.08,16.16,100,100,1,1,0,0
2,597.0,3.03,4.04,12.12,100,1,1,1,0
3,618.0,2.02,2.02,2.02,3.03,1,1,1,1
4,556.0,100,100,100,100,0,0,0,0
5,579.0,2.02,5.050000000000001,100,100,1,1,0,0
6,585.0,2.02,3.03,100,100,1,1,0,0
7,609.0,2.02,3.03,3.03,100,1,1,1,0
8,610.0,2.02,2.02,2.02,100,1,1,1,0
9,584.0,4.04,7.07,100,100,1,1,0,0
10,636.0,2.02,2.02,3.03,3.03,1,1,1,1
11,606.0,3.03,5.050000000000001,7.07,100,1,1,1,0
12,630.0,3.03,3.03,4.04,6.06,1,1,1,1
13,589.0,3.03,5.050000000000001,100,100,1,1,0,0
14,597.0,3.03,3.03,4.04,100,1,1,1,0
15,579.0,4.04,8.08,100,100,1,1,0,0
16,606.0,2.02,3.03,3.03,100,1,1,1,0
17,615.0,2.02,3.03,3.03,100,1,1,1,0
18,588.0,3.03,3.03,100,100,1,1,0,0
19,599.0,4.04,5.050000000000001,6.06,100,1,1,1,0
20,603.0,3.03,3.03,3.03,100,1,1,1,0
21,589.0,2.02,7.07,100,100,1,1,0,0
22,590.0,5.050000000000001,6.06,100,100,1,1,0,0
23,582.0,4.04,11.11,100,100,1,1,0,0
24,611.0,3.03,3.03,4.04,100,1,1,1,0
25,579.0,5.050000000000001,11.11,100,100,1,1,0,0
26,619.0,2.02,4.04,4.04,9.09,1,1,1,1
27,600.0,2.02,2.02,3.03,100,1,1,1,0
28,603.0,2.02,3.03,4.04,100,1,1,1,0
29,602.0,3.03,4.04,10.100000000000001,100,1,1,1,0
30,623.0,2.02,2.02,3.03,4.04,1,1,1,1
31,590.0,2.02,3.03,100,100,1,1,0,0
