Trial,Cut at T=100,T to 0.87 GS Energy,T to 0.9 GS Energy,T to 0.92 GS Energy,T to 0.96 GS Energy,Success for 0.87 GS Energy,Success for 0.9 GS Energy,Success for 0.92 GS Energy,Success for 0.96 GS Energy
1,3376.0,2.02,2.02,5.050000000000001,35.35,1,1,1,1
2,3366.0,2.02,3.03,7.07,60.599999999999994,1,1,1,1
3,3372.0,2.02,3.03,6.06,32.32,1,1,1,1
4,3388.0,2.02,3.03,6.06,40.400000000000006,1,1,1,1
5,3376.0,2.02,2.02,5.050000000000001,26.26,1,1,1,1
6,3370.0,2.02,4.04,8.08,42.42,1,1,1,1
7,3392.0,2.02,2.02,5.050000000000001,23.23,1,1,1,1
8,3392.0,2.02,3.03,6.06,29.29,1,1,1,1
9,3372.0,2.02,2.02,5.050000000000001,50.5,1,1,1,1
10,3396.0,2.02,2.02,5.050000000000001,21.21,1,1,1,1
11,3392.0,2.02,3.03,5.050000000000001,24.24,1,1,1,1
12,3382.0,2.02,3.03,6.06,42.42,1,1,1,1
13,3352.0,2.02,4.04,9.09,100,1,1,1,0
14,3382.0,2.02,2.02,5.050000000000001,38.38,1,1,1,1
15,3370.0,2.02,3.03,8.08,56.56,1,1,1,1
16,3356.0,2.02,4.04,7.07,100,1,1,1,0
17,3368.0,2.02,3.03,6.06,42.42,1,1,1,1
18,3378.0,2.02,3.03,6.06,41.410000000000004,1,1,1,1
19,3372.0,2.02,2.02,6.06,39.39,1,1,1,1
20,3364.0,2.02,2.02,5.050000000000001,51.51,1,1,1,1
21,3390.0,2.02,3.03,6.06,28.28,1,1,1,1
22,3378.0,2.02,4.04,7.07,44.44,1,1,1,1
23,3382.0,2.02,3.03,6.06,26.26,1,1,1,1
24,3378.0,2.02,3.03,7.07,46.46,1,1,1,1
25,3368.0,2.02,3.03,6.06,30.299999999999997,1,1,1,1
26,3378.0,2.02,4.04,8.08,41.410000000000004,1,1,1,1
27,3370.0,2.02,3.03,5.050000000000001,48.48,1,1,1,1
28,3376.0,2.02,3.03,6.06,37.37,1,1,1,1
29,3382.0,2.02,2.02,5.050000000000001,32.32,1,1,1,1
30,3398.0,2.02,2.02,6.06,20.200000000000003,1,1,1,1
31,3392.0,2.02,3.03,6.06,32.32,1,1,1,1
32,3374.0,2.02,2.02,4.04,31.31,1,1,1,1
33,3374.0,2.02,2.02,5.050000000000001,35.35,1,1,1,1
34,3362.0,2.02,3.03,6.06,59.589999999999996,1,1,1,1
35,3368.0,2.02,3.03,7.07,56.56,1,1,1,1
36,3382.0,2.02,2.02,4.04,31.31,1,1,1,1
37,3382.0,2.02,3.03,7.07,44.44,1,1,1,1
38,3370.0,2.02,3.03,6.06,57.57000000000001,1,1,1,1
39,3374.0,2.02,4.04,6.06,35.35,1,1,1,1
40,3392.0,2.02,2.02,5.050000000000001,23.23,1,1,1,1
41,3376.0,2.02,4.04,7.07,30.299999999999997,1,1,1,1
42,3380.0,2.02,2.02,7.07,50.5,1,1,1,1
43,3376.0,2.02,4.04,8.08,35.35,1,1,1,1
44,3380.0,2.02,3.03,7.07,46.46,1,1,1,1
45,3366.0,2.02,3.03,6.06,61.61,1,1,1,1
46,3378.0,2.02,3.03,7.07,37.37,1,1,1,1
47,3378.0,2.02,2.02,6.06,35.35,1,1,1,1
48,3380.0,2.02,2.02,5.050000000000001,39.39,1,1,1,1
49,3404.0,2.02,2.02,5.050000000000001,23.23,1,1,1,1
50,3394.0,2.02,3.03,6.06,29.29,1,1,1,1
51,3376.0,2.02,4.04,6.06,45.45,1,1,1,1
52,3358.0,2.02,2.02,5.050000000000001,69.69000000000001,1,1,1,1
53,3388.0,2.02,2.02,5.050000000000001,22.22,1,1,1,1
54,3384.0,2.02,3.03,6.06,32.32,1,1,1,1
55,3398.0,2.02,2.02,5.050000000000001,27.270000000000003,1,1,1,1
56,3384.0,2.02,3.03,5.050000000000001,27.270000000000003,1,1,1,1
57,3378.0,2.02,3.03,7.07,33.33,1,1,1,1
58,3380.0,2.02,2.02,5.050000000000001,40.400000000000006,1,1,1,1
59,3370.0,2.02,2.02,5.050000000000001,32.32,1,1,1,1
60,3356.0,2.02,3.03,6.06,100,1,1,1,0
61,3374.0,2.02,3.03,5.050000000000001,40.400000000000006,1,1,1,1
62,3378.0,2.02,2.02,5.050000000000001,29.29,1,1,1,1
63,3388.0,2.02,2.02,5.050000000000001,25.25,1,1,1,1
64,3366.0,2.02,3.03,6.06,57.57000000000001,1,1,1,1
65,3368.0,2.02,3.03,5.050000000000001,55.550000000000004,1,1,1,1
66,3374.0,2.02,3.03,6.06,28.28,1,1,1,1
67,3384.0,2.02,4.04,9.09,35.35,1,1,1,1
68,3390.0,2.02,2.02,5.050000000000001,30.299999999999997,1,1,1,1
