Trial,Cut at T=100,T to 0.87 GS Energy,T to 0.9 GS Energy,T to 0.92 GS Energy,T to 0.96 GS Energy,Success for 0.87 GS Energy,Success for 0.9 GS Energy,Success for 0.92 GS Energy,Success for 0.96 GS Energy
1,64.0,5.050000000000001,5.050000000000001,100,100,1,1,0,0
2,63.0,9.09,13.13,100,100,1,1,0,0
3,64.0,7.07,11.11,100,100,1,1,0,0
4,65.0,5.050000000000001,6.06,9.09,100,1,1,1,0
5,69.0,5.050000000000001,6.06,7.07,8.08,1,1,1,1
6,61.0,33.33,100,100,100,1,0,0,0
7,65.0,16.16,19.19,25.25,100,1,1,1,0
8,67.0,7.07,7.07,21.21,100,1,1,1,0
9,63.0,8.08,14.14,100,100,1,1,0,0
10,70.0,4.04,4.04,4.04,4.04,1,1,1,1
11,63.0,9.09,11.11,100,100,1,1,0,0
12,64.0,8.08,12.12,100,100,1,1,0,0
13,66.0,6.06,10.100000000000001,12.12,100,1,1,1,0
14,67.0,5.050000000000001,5.050000000000001,6.06,100,1,1,1,0
15,67.0,9.09,11.11,13.13,100,1,1,1,0
16,63.0,7.07,12.12,100,100,1,1,0,0
17,70.0,4.04,5.050000000000001,6.06,10.100000000000001,1,1,1,1
18,64.0,6.06,6.06,100,100,1,1,0,0
19,60.0,100,100,100,100,0,0,0,0
20,70.0,4.04,4.04,5.050000000000001,6.06,1,1,1,1
21,66.0,6.06,8.08,9.09,100,1,1,1,0
22,70.0,5.050000000000001,5.050000000000001,6.06,7.07,1,1,1,1
23,70.0,6.06,7.07,7.07,8.08,1,1,1,1
24,68.0,5.050000000000001,5.050000000000001,7.07,34.34,1,1,1,1
25,67.0,4.04,5.050000000000001,5.050000000000001,100,1,1,1,0
26,61.0,7.07,100,100,100,1,0,0,0
27,63.0,7.07,17.17,100,100,1,1,0,0
28,66.0,4.04,6.06,7.07,100,1,1,1,0
29,68.0,41.410000000000004,42.42,42.42,43.43,1,1,1,1
30,66.0,5.050000000000001,8.08,8.08,100,1,1,1,0
31,65.0,4.04,5.050000000000001,5.050000000000001,100,1,1,1,0
32,59.0,100,100,100,100,0,0,0,0
33,61.0,10.100000000000001,100,100,100,1,0,0,0
34,66.0,7.07,9.09,21.21,100,1,1,1,0
35,60.0,100,100,100,100,0,0,0,0
36,64.0,7.07,9.09,100,100,1,1,0,0
37,66.0,5.050000000000001,6.06,23.23,100,1,1,1,0
38,70.0,5.050000000000001,6.06,9.09,10.100000000000001,1,1,1,1
39,69.0,5.050000000000001,6.06,6.06,7.07,1,1,1,1
40,69.0,5.050000000000001,5.050000000000001,7.07,10.100000000000001,1,1,1,1
41,67.0,6.06,7.07,7.07,100,1,1,1,0
42,61.0,13.13,100,100,100,1,0,0,0
43,63.0,6.06,8.08,100,100,1,1,0,0
44,67.0,6.06,6.06,6.06,100,1,1,1,0
45,65.0,6.06,8.08,8.08,100,1,1,1,0
46,65.0,11.11,16.16,26.26,100,1,1,1,0
47,61.0,19.19,100,100,100,1,0,0,0
48,68.0,6.06,7.07,7.07,23.23,1,1,1,1
49,69.0,6.06,8.08,19.19,22.22,1,1,1,1
50,64.0,9.09,20.200000000000003,100,100,1,1,0,0
51,64.0,6.06,8.08,100,100,1,1,0,0
52,70.0,4.04,4.04,4.04,4.04,1,1,1,1
53,58.0,100,100,100,100,0,0,0,0
54,65.0,5.050000000000001,6.06,16.16,100,1,1,1,0
55,65.0,4.04,5.050000000000001,11.11,100,1,1,1,0
56,64.0,5.050000000000001,10.100000000000001,100,100,1,1,0,0
57,65.0,13.13,13.13,14.14,100,1,1,1,0
58,64.0,5.050000000000001,8.08,100,100,1,1,0,0
59,64.0,4.04,5.050000000000001,100,100,1,1,0,0
60,61.0,22.22,100,100,100,1,0,0,0
61,67.0,8.08,11.11,12.12,100,1,1,1,0
62,66.0,6.06,7.07,8.08,100,1,1,1,0
63,65.0,7.07,14.14,17.17,100,1,1,1,0
64,64.0,5.050000000000001,7.07,100,100,1,1,0,0
65,69.0,5.050000000000001,5.050000000000001,6.06,6.06,1,1,1,1
66,69.0,5.050000000000001,5.050000000000001,7.07,20.200000000000003,1,1,1,1
67,65.0,6.06,9.09,26.26,100,1,1,1,0
68,64.0,4.04,5.050000000000001,100,100,1,1,0,0
69,62.0,8.08,100,100,100,1,0,0,0
70,68.0,5.050000000000001,8.08,9.09,19.19,1,1,1,1
71,70.0,5.050000000000001,5.050000000000001,6.06,7.07,1,1,1,1
72,63.0,6.06,7.07,100,100,1,1,0,0
73,66.0,6.06,7.07,13.13,100,1,1,1,0
74,64.0,7.07,7.07,100,100,1,1,0,0
75,70.0,5.050000000000001,5.050000000000001,5.050000000000001,15.149999999999999,1,1,1,1
76,65.0,4.04,6.06,8.08,100,1,1,1,0
77,64.0,12.12,17.17,100,100,1,1,0,0
78,66.0,12.12,15.149999999999999,15.149999999999999,100,1,1,1,0
79,64.0,4.04,12.12,100,100,1,1,0,0
80,59.0,100,100,100,100,0,0,0,0
81,61.0,9.09,100,100,100,1,0,0,0
82,65.0,12.12,21.21,23.23,100,1,1,1,0
83,65.0,8.08,9.09,12.12,100,1,1,1,0
84,67.0,6.06,6.06,7.07,100,1,1,1,0
85,66.0,5.050000000000001,5.050000000000001,15.149999999999999,100,1,1,1,0
86,66.0,9.09,10.100000000000001,17.17,100,1,1,1,0
87,67.0,5.050000000000001,5.050000000000001,5.050000000000001,100,1,1,1,0
88,67.0,4.04,6.06,7.07,100,1,1,1,0
89,64.0,8.08,8.08,100,100,1,1,0,0
90,63.0,14.14,19.19,100,100,1,1,0,0
91,67.0,5.050000000000001,6.06,6.06,100,1,1,1,0
92,63.0,5.050000000000001,8.08,100,100,1,1,0,0
93,70.0,4.04,5.050000000000001,6.06,16.16,1,1,1,1
94,63.0,6.06,7.07,100,100,1,1,0,0
95,64.0,5.050000000000001,6.06,100,100,1,1,0,0
96,69.0,5.050000000000001,5.050000000000001,5.050000000000001,8.08,1,1,1,1
97,64.0,6.06,6.06,100,100,1,1,0,0
98,66.0,8.08,10.100000000000001,10.100000000000001,100,1,1,1,0
99,65.0,5.050000000000001,5.050000000000001,7.07,100,1,1,1,0
100,68.0,5.050000000000001,5.050000000000001,6.06,23.23,1,1,1,1
