Trial,Cut at T=100,T to 0.87 GS Energy,T to 0.9 GS Energy,T to 0.92 GS Energy,T to 0.96 GS Energy,Success for 0.87 GS Energy,Success for 0.9 GS Energy,Success for 0.92 GS Energy,Success for 0.96 GS Energy
1,1611.0,1.01,2.02,100,100,1,1,0,0
2,1678.0,3.03,5.050000000000001,6.06,100,1,1,1,0
3,1644.0,1.01,2.02,2.02,100,1,1,1,0
4,1631.0,1.01,1.01,3.03,100,1,1,1,0
5,1664.0,1.01,1.01,3.03,100,1,1,1,0
6,1563.0,4.04,100,100,100,1,0,0,0
7,1634.0,1.01,1.01,2.02,100,1,1,1,0
8,1740.0,1.01,1.01,1.01,1.01,1,1,1,1
9,1682.0,1.01,1.01,1.01,26.26,1,1,1,1
10,1740.0,1.01,1.01,1.01,2.02,1,1,1,1
11,1692.0,3.03,7.07,7.07,8.08,1,1,1,1
12,1661.0,1.01,1.01,1.01,100,1,1,1,0
13,1597.0,4.04,7.07,100,100,1,1,0,0
14,1667.0,1.01,1.01,3.03,100,1,1,1,0
15,1530.0,4.04,100,100,100,1,0,0,0
16,1561.0,1.01,100,100,100,1,0,0,0
17,1666.0,1.01,1.01,2.02,100,1,1,1,0
18,1528.0,1.01,100,100,100,1,0,0,0
19,1740.0,2.02,3.03,4.04,5.050000000000001,1,1,1,1
20,1667.0,1.01,1.01,1.01,100,1,1,1,0
21,1740.0,1.01,1.01,1.01,3.03,1,1,1,1
22,1543.0,1.01,100,100,100,1,0,0,0
23,1659.0,1.01,2.02,2.02,100,1,1,1,0
24,1639.0,1.01,1.01,1.01,100,1,1,1,0
25,1734.0,1.01,1.01,1.01,1.01,1,1,1,1
26,1653.0,1.01,2.02,3.03,100,1,1,1,0
27,1692.0,1.01,1.01,1.01,2.02,1,1,1,1
28,1740.0,1.01,1.01,1.01,2.02,1,1,1,1
29,1672.0,1.01,1.01,2.02,100,1,1,1,0
30,1732.0,1.01,1.01,1.01,1.01,1,1,1,1
31,1705.0,1.01,1.01,1.01,4.04,1,1,1,1
32,1645.0,1.01,1.01,1.01,100,1,1,1,0
33,1667.0,1.01,1.01,1.01,100,1,1,1,0
34,1670.0,1.01,1.01,1.01,100,1,1,1,0
35,1671.0,1.01,1.01,1.01,100,1,1,1,0
36,1694.0,1.01,1.01,1.01,2.02,1,1,1,1
37,1752.0,1.01,1.01,1.01,3.03,1,1,1,1
38,1729.0,1.01,1.01,1.01,1.01,1,1,1,1
39,1662.0,2.02,8.08,9.09,100,1,1,1,0
40,1576.0,1.01,100,100,100,1,0,0,0
41,1721.0,1.01,1.01,1.01,1.01,1,1,1,1
42,1698.0,1.01,1.01,1.01,1.01,1,1,1,1
43,1752.0,1.01,1.01,2.02,8.08,1,1,1,1
44,1694.0,1.01,1.01,1.01,1.01,1,1,1,1
45,1698.0,1.01,1.01,1.01,2.02,1,1,1,1
46,1618.0,1.01,3.03,6.06,100,1,1,1,0
47,1648.0,1.01,1.01,2.02,100,1,1,1,0
48,1734.0,1.01,1.01,1.01,1.01,1,1,1,1
49,1707.0,1.01,1.01,1.01,1.01,1,1,1,1
50,1563.0,1.01,100,100,100,1,0,0,0
51,1502.0,100,100,100,100,0,0,0,0
52,1671.0,1.01,1.01,1.01,100,1,1,1,0
53,1576.0,2.02,100,100,100,1,0,0,0
54,1734.0,1.01,1.01,1.01,1.01,1,1,1,1
55,1699.0,1.01,1.01,1.01,8.08,1,1,1,1
56,1674.0,1.01,1.01,1.01,100,1,1,1,0
57,1698.0,1.01,1.01,1.01,3.03,1,1,1,1
58,1700.0,4.04,5.050000000000001,5.050000000000001,6.06,1,1,1,1
59,1752.0,1.01,1.01,1.01,1.01,1,1,1,1
60,1450.0,100,100,100,100,0,0,0,0
61,1703.0,3.03,6.06,6.06,7.07,1,1,1,1
62,1682.0,1.01,1.01,1.01,33.33,1,1,1,1
63,1663.0,1.01,1.01,2.02,100,1,1,1,0
64,1631.0,1.01,1.01,2.02,100,1,1,1,0
65,1702.0,1.01,1.01,1.01,1.01,1,1,1,1
66,1542.0,1.01,100,100,100,1,0,0,0
67,1752.0,1.01,1.01,1.01,2.02,1,1,1,1
68,1607.0,1.01,1.01,100,100,1,1,0,0
69,1619.0,1.01,1.01,2.02,100,1,1,1,0
70,1680.0,1.01,1.01,3.03,100,1,1,1,0
71,1664.0,1.01,1.01,1.01,100,1,1,1,0
72,1752.0,1.01,1.01,1.01,1.01,1,1,1,1
73,1688.0,1.01,1.01,1.01,4.04,1,1,1,1
74,1545.0,2.02,100,100,100,1,0,0,0
75,1720.0,1.01,1.01,1.01,2.02,1,1,1,1
76,1711.0,1.01,1.01,1.01,1.01,1,1,1,1
77,1682.0,1.01,1.01,1.01,22.22,1,1,1,1
78,1654.0,2.02,3.03,6.06,100,1,1,1,0
79,1698.0,1.01,1.01,2.02,10.100000000000001,1,1,1,1
80,1729.0,1.01,1.01,1.01,2.02,1,1,1,1
81,1643.0,1.01,2.02,2.02,100,1,1,1,0
82,1695.0,1.01,1.01,1.01,1.01,1,1,1,1
83,1487.0,100,100,100,100,0,0,0,0
84,1752.0,1.01,1.01,1.01,3.03,1,1,1,1
85,1752.0,1.01,1.01,1.01,3.03,1,1,1,1
86,1511.0,100,100,100,100,0,0,0,0
87,1693.0,1.01,1.01,1.01,5.050000000000001,1,1,1,1
88,1542.0,2.02,100,100,100,1,0,0,0
89,1645.0,2.02,3.03,4.04,100,1,1,1,0
90,1699.0,1.01,1.01,1.01,1.01,1,1,1,1
91,1692.0,1.01,1.01,1.01,6.06,1,1,1,1
92,1699.0,1.01,1.01,1.01,3.03,1,1,1,1
93,1752.0,1.01,1.01,1.01,3.03,1,1,1,1
94,1705.0,1.01,1.01,2.02,3.03,1,1,1,1
95,1623.0,1.01,1.01,1.01,100,1,1,1,0
96,1631.0,1.01,1.01,3.03,100,1,1,1,0
97,1682.0,1.01,1.01,1.01,1.01,1,1,1,1
98,1673.0,1.01,3.03,5.050000000000001,100,1,1,1,0
99,1518.0,100,100,100,100,0,0,0,0
100,1631.0,1.01,1.01,2.02,100,1,1,1,0
