Trial,Cut at T=100,T to 0.87 GS Energy,T to 0.9 GS Energy,T to 0.92 GS Energy,T to 0.96 GS Energy,Success for 0.87 GS Energy,Success for 0.9 GS Energy,Success for 0.92 GS Energy,Success for 0.96 GS Energy
1,5523.0,5.0,14.000000000000002,100,100,1,1,0,0
2,5519.0,5.0,11.0,100,100,1,1,0,0
3,5417.0,8.0,100,100,100,1,0,0,0
4,5225.0,5.0,7.000000000000001,100,100,1,1,0,0
5,5189.0,5.0,15.0,100,100,1,1,0,0
6,5539.0,4.0,10.0,100,100,1,1,0,0
7,5510.0,6.0,20.0,100,100,1,1,0,0
8,5509.0,5.0,13.0,100,100,1,1,0,0
9,5551.0,4.0,9.0,100,100,1,1,0,0
10,5584.0,5.0,9.0,100,100,1,1,0,0
11,5562.0,5.0,9.0,100,100,1,1,0,0
12,5556.0,5.0,11.0,100,100,1,1,0,0
13,5568.0,4.0,8.0,100,100,1,1,0,0
14,5517.0,6.0,13.0,100,100,1,1,0,0
15,5492.0,5.0,21.0,100,100,1,1,0,0
16,5441.0,6.0,100,100,100,1,0,0,0
17,5564.0,5.0,10.0,100,100,1,1,0,0
18,5581.0,5.0,11.0,100,100,1,1,0,0
19,5586.0,4.0,7.000000000000001,100,100,1,1,0,0
20,5543.0,5.0,11.0,100,100,1,1,0,0
21,5548.0,5.0,9.0,100,100,1,1,0,0
22,5577.0,5.0,8.0,100,100,1,1,0,0
23,5528.0,5.0,11.0,100,100,1,1,0,0
24,5573.0,5.0,10.0,100,100,1,1,0,0
25,5542.0,5.0,10.0,100,100,1,1,0,0
26,5230.0,4.0,9.0,100,100,1,1,0,0
27,5569.0,5.0,10.0,100,100,1,1,0,0
28,5543.0,5.0,10.0,100,100,1,1,0,0
29,5532.0,5.0,12.0,100,100,1,1,0,0
30,5539.0,5.0,11.0,100,100,1,1,0,0
31,5549.0,5.0,9.0,100,100,1,1,0,0
32,5530.0,4.0,10.0,100,100,1,1,0,0
33,5521.0,5.0,13.0,100,100,1,1,0,0
34,5524.0,5.0,11.0,100,100,1,1,0,0
35,5656.0,4.0,7.000000000000001,13.0,100,1,1,1,0
36,5532.0,5.0,9.0,100,100,1,1,0,0
37,5580.0,4.0,8.0,100,100,1,1,0,0
38,5513.0,5.0,14.000000000000002,100,100,1,1,0,0
39,5606.0,4.0,7.000000000000001,33.0,100,1,1,1,0
40,5560.0,5.0,8.0,100,100,1,1,0,0
41,5511.0,5.0,13.0,100,100,1,1,0,0
42,5530.0,5.0,14.000000000000002,100,100,1,1,0,0
43,5536.0,5.0,12.0,100,100,1,1,0,0
44,5525.0,5.0,10.0,100,100,1,1,0,0
45,5526.0,4.0,10.0,100,100,1,1,0,0
46,5532.0,5.0,10.0,100,100,1,1,0,0
47,5568.0,4.0,9.0,100,100,1,1,0,0
48,5524.0,5.0,14.000000000000002,100,100,1,1,0,0
49,5533.0,5.0,11.0,100,100,1,1,0,0
50,5539.0,5.0,12.0,100,100,1,1,0,0
51,5514.0,5.0,17.0,100,100,1,1,0,0
52,5575.0,5.0,9.0,100,100,1,1,0,0
53,5548.0,4.0,9.0,100,100,1,1,0,0
54,5472.0,5.0,100,100,100,1,0,0,0
55,5525.0,5.0,12.0,100,100,1,1,0,0
56,5438.0,7.000000000000001,100,100,100,1,0,0,0
