Trial,Cut at T=100,T to 0.87 GS Energy,T to 0.9 GS Energy,T to 0.92 GS Energy,T to 0.96 GS Energy,Success for 0.87 GS Energy,Success for 0.9 GS Energy,Success for 0.92 GS Energy,Success for 0.96 GS Energy
1,119.0,2.02,3.03,6.06,100,1,1,1,0
2,122.0,2.02,2.02,3.03,100,1,1,1,0
3,119.0,2.02,3.03,3.03,100,1,1,1,0
4,119.0,3.03,3.03,4.04,100,1,1,1,0
5,122.0,2.02,2.02,3.03,100,1,1,1,0
6,122.0,2.02,2.02,2.02,100,1,1,1,0
7,121.0,3.03,3.03,4.04,100,1,1,1,0
8,122.0,2.02,2.02,3.03,100,1,1,1,0
9,124.0,2.02,2.02,2.02,10.100000000000001,1,1,1,1
10,120.0,2.02,3.03,3.03,100,1,1,1,0
11,116.0,2.02,10.100000000000001,100,100,1,1,0,0
12,120.0,2.02,2.02,3.03,100,1,1,1,0
13,123.0,3.03,5.050000000000001,5.050000000000001,15.149999999999999,1,1,1,1
14,116.0,5.050000000000001,10.100000000000001,100,100,1,1,0,0
15,120.0,2.02,2.02,2.02,100,1,1,1,0
16,114.0,2.02,100,100,100,1,0,0,0
17,121.0,3.03,3.03,3.03,100,1,1,1,0
18,115.0,3.03,100,100,100,1,0,0,0
19,120.0,3.03,4.04,5.050000000000001,100,1,1,1,0
20,110.0,100,100,100,100,0,0,0,0
21,115.0,3.03,100,100,100,1,0,0,0
22,123.0,1.01,2.02,2.02,2.02,1,1,1,1
23,117.0,2.02,2.02,100,100,1,1,0,0
24,121.0,8.08,9.09,9.09,100,1,1,1,0
25,119.0,2.02,3.03,9.09,100,1,1,1,0
26,116.0,2.02,3.03,100,100,1,1,0,0
27,121.0,3.03,4.04,7.07,100,1,1,1,0
28,125.0,3.03,4.04,6.06,7.07,1,1,1,1
29,121.0,1.01,1.01,2.02,100,1,1,1,0
30,122.0,3.03,3.03,3.03,100,1,1,1,0
31,119.0,2.02,2.02,2.02,100,1,1,1,0
32,119.0,5.050000000000001,16.16,16.16,100,1,1,1,0
