Trial,Cut at T=100,T to 0.87 GS Energy,T to 0.9 GS Energy,T to 0.92 GS Energy,T to 0.96 GS Energy,Success for 0.87 GS Energy,Success for 0.9 GS Energy,Success for 0.92 GS Energy,Success for 0.96 GS Energy
1,1691.0,1.01,1.01,1.01,2.02,1,1,1,1
2,1709.0,1.01,1.01,1.01,1.01,1,1,1,1
3,1626.0,1.01,1.01,2.02,100,1,1,1,0
4,1740.0,1.01,1.01,1.01,1.01,1,1,1,1
5,1623.0,1.01,1.01,2.02,100,1,1,1,0
6,1744.0,1.01,1.01,2.02,3.03,1,1,1,1
7,1745.0,1.01,1.01,1.01,1.01,1,1,1,1
8,1702.0,1.01,1.01,1.01,1.01,1,1,1,1
9,1723.0,1.01,1.01,1.01,1.01,1,1,1,1
10,1723.0,1.01,1.01,1.01,1.01,1,1,1,1
11,1698.0,1.01,1.01,1.01,2.02,1,1,1,1
12,1665.0,1.01,1.01,1.01,100,1,1,1,0
13,1699.0,1.01,1.01,1.01,1.01,1,1,1,1
14,1629.0,1.01,1.01,1.01,100,1,1,1,0
15,1721.0,1.01,1.01,1.01,2.02,1,1,1,1
16,1744.0,1.01,1.01,1.01,1.01,1,1,1,1
17,1600.0,1.01,1.01,100,100,1,1,0,0
18,1723.0,1.01,1.01,1.01,1.01,1,1,1,1
19,1723.0,1.01,2.02,2.02,2.02,1,1,1,1
20,1696.0,1.01,1.01,1.01,1.01,1,1,1,1
21,1690.0,1.01,1.01,1.01,1.01,1,1,1,1
22,1734.0,1.01,1.01,1.01,1.01,1,1,1,1
23,1704.0,1.01,1.01,1.01,3.03,1,1,1,1
24,1702.0,1.01,1.01,1.01,1.01,1,1,1,1
25,1663.0,1.01,1.01,1.01,100,1,1,1,0
26,1641.0,1.01,1.01,1.01,100,1,1,1,0
27,1723.0,1.01,2.02,2.02,3.03,1,1,1,1
28,1745.0,1.01,1.01,1.01,3.03,1,1,1,1
29,1726.0,1.01,1.01,1.01,1.01,1,1,1,1
30,1726.0,1.01,1.01,1.01,1.01,1,1,1,1
31,1714.0,1.01,1.01,1.01,1.01,1,1,1,1
32,1581.0,1.01,2.02,100,100,1,1,0,0
33,1667.0,1.01,1.01,1.01,100,1,1,1,0
34,1646.0,1.01,1.01,2.02,100,1,1,1,0
35,1709.0,1.01,1.01,1.01,1.01,1,1,1,1
36,1734.0,1.01,1.01,1.01,6.06,1,1,1,1
37,1696.0,1.01,1.01,1.01,4.04,1,1,1,1
38,1679.0,1.01,1.01,1.01,100,1,1,1,0
39,1663.0,1.01,1.01,1.01,100,1,1,1,0
40,1648.0,1.01,1.01,1.01,100,1,1,1,0
41,1696.0,1.01,1.01,1.01,1.01,1,1,1,1
42,1702.0,1.01,1.01,1.01,1.01,1,1,1,1
43,1677.0,1.01,1.01,1.01,100,1,1,1,0
44,1662.0,1.01,1.01,1.01,100,1,1,1,0
45,1647.0,1.01,1.01,1.01,100,1,1,1,0
46,1732.0,1.01,1.01,1.01,1.01,1,1,1,1
47,1645.0,1.01,1.01,1.01,100,1,1,1,0
48,1522.0,100,100,100,100,0,0,0,0
49,1721.0,1.01,1.01,1.01,1.01,1,1,1,1
50,1614.0,1.01,1.01,1.01,100,1,1,1,0
51,1666.0,1.01,1.01,1.01,100,1,1,1,0
52,1734.0,1.01,1.01,1.01,1.01,1,1,1,1
53,1613.0,1.01,1.01,1.01,100,1,1,1,0
54,1665.0,1.01,1.01,1.01,100,1,1,1,0
55,1723.0,1.01,1.01,1.01,1.01,1,1,1,1
56,1715.0,1.01,1.01,1.01,2.02,1,1,1,1
57,1715.0,1.01,1.01,1.01,1.01,1,1,1,1
58,1723.0,1.01,1.01,1.01,1.01,1,1,1,1
59,1689.0,1.01,1.01,1.01,2.02,1,1,1,1
60,1744.0,1.01,1.01,1.01,1.01,1,1,1,1
61,1691.0,2.02,3.03,3.03,5.050000000000001,1,1,1,1
