Trial,Cut at T=100,T to 0.87 GS Energy,T to 0.9 GS Energy,T to 0.92 GS Energy,T to 0.96 GS Energy,Success for 0.87 GS Energy,Success for 0.9 GS Energy,Success for 0.92 GS Energy,Success for 0.96 GS Energy
1,1899.0,100,100,100,100,0,0,0,0
2,1839.0,100,100,100,100,0,0,0,0
3,1875.0,100,100,100,100,0,0,0,0
4,1882.0,100,100,100,100,0,0,0,0
5,1834.0,100,100,100,100,0,0,0,0
6,1835.0,100,100,100,100,0,0,0,0
7,1907.0,100,100,100,100,0,0,0,0
8,1884.0,100,100,100,100,0,0,0,0
9,1815.0,100,100,100,100,0,0,0,0
10,1830.0,100,100,100,100,0,0,0,0
11,1914.0,86.86,100,100,100,1,0,0,0
12,1814.0,100,100,100,100,0,0,0,0
13,1849.0,100,100,100,100,0,0,0,0
14,1863.0,100,100,100,100,0,0,0,0
15,1783.0,100,100,100,100,0,0,0,0
16,1841.0,100,100,100,100,0,0,0,0
17,1877.0,100,100,100,100,0,0,0,0
18,1854.0,100,100,100,100,0,0,0,0
19,1863.0,100,100,100,100,0,0,0,0
20,1764.0,100,100,100,100,0,0,0,0
21,1872.0,100,100,100,100,0,0,0,0
22,1936.0,70.7,100,100,100,1,0,0,0
23,1836.0,100,100,100,100,0,0,0,0
24,1865.0,100,100,100,100,0,0,0,0
25,1886.0,100,100,100,100,0,0,0,0
26,1902.0,100,100,100,100,0,0,0,0
27,1859.0,100,100,100,100,0,0,0,0
28,1822.0,100,100,100,100,0,0,0,0
29,1862.0,100,100,100,100,0,0,0,0
30,1837.0,100,100,100,100,0,0,0,0
31,1811.0,100,100,100,100,0,0,0,0
32,1822.0,100,100,100,100,0,0,0,0
33,1858.0,100,100,100,100,0,0,0,0
34,1884.0,100,100,100,100,0,0,0,0
35,1853.0,100,100,100,100,0,0,0,0
36,1866.0,100,100,100,100,0,0,0,0
37,1870.0,100,100,100,100,0,0,0,0
38,1851.0,100,100,100,100,0,0,0,0
39,1752.0,100,100,100,100,0,0,0,0
40,1881.0,100,100,100,100,0,0,0,0
41,1895.0,100,100,100,100,0,0,0,0
42,1877.0,100,100,100,100,0,0,0,0
43,1847.0,100,100,100,100,0,0,0,0
44,1890.0,100,100,100,100,0,0,0,0
45,1826.0,100,100,100,100,0,0,0,0
46,1840.0,100,100,100,100,0,0,0,0
47,1847.0,100,100,100,100,0,0,0,0
48,1826.0,100,100,100,100,0,0,0,0
49,1902.0,100,100,100,100,0,0,0,0
50,1922.0,100,100,100,100,0,0,0,0
51,1884.0,100,100,100,100,0,0,0,0
52,1826.0,100,100,100,100,0,0,0,0
53,1931.0,64.64,100,100,100,1,0,0,0
54,1916.0,100,100,100,100,0,0,0,0
55,1869.0,100,100,100,100,0,0,0,0
56,1891.0,100,100,100,100,0,0,0,0
57,1917.0,76.76,100,100,100,1,0,0,0
58,1853.0,100,100,100,100,0,0,0,0
59,1810.0,100,100,100,100,0,0,0,0
60,1809.0,100,100,100,100,0,0,0,0
61,1923.0,89.89,100,100,100,1,0,0,0
62,1800.0,100,100,100,100,0,0,0,0
63,1827.0,100,100,100,100,0,0,0,0
64,1809.0,100,100,100,100,0,0,0,0
65,1901.0,100,100,100,100,0,0,0,0
66,1862.0,100,100,100,100,0,0,0,0
67,1896.0,100,100,100,100,0,0,0,0
68,1815.0,100,100,100,100,0,0,0,0
69,1844.0,100,100,100,100,0,0,0,0
70,1801.0,100,100,100,100,0,0,0,0
71,1836.0,100,100,100,100,0,0,0,0
72,1883.0,100,100,100,100,0,0,0,0
73,1826.0,100,100,100,100,0,0,0,0
74,1907.0,100,100,100,100,0,0,0,0
75,1814.0,100,100,100,100,0,0,0,0
76,1810.0,100,100,100,100,0,0,0,0
77,1849.0,100,100,100,100,0,0,0,0
78,1855.0,100,100,100,100,0,0,0,0
79,1780.0,100,100,100,100,0,0,0,0
80,1901.0,100,100,100,100,0,0,0,0
81,1780.0,100,100,100,100,0,0,0,0
82,1822.0,100,100,100,100,0,0,0,0
83,1839.0,100,100,100,100,0,0,0,0
84,1758.0,100,100,100,100,0,0,0,0
85,1844.0,100,100,100,100,0,0,0,0
86,1908.0,100,100,100,100,0,0,0,0
87,1825.0,100,100,100,100,0,0,0,0
88,1878.0,100,100,100,100,0,0,0,0
89,1847.0,100,100,100,100,0,0,0,0
90,1847.0,100,100,100,100,0,0,0,0
91,1830.0,100,100,100,100,0,0,0,0
92,1868.0,100,100,100,100,0,0,0,0
93,1819.0,100,100,100,100,0,0,0,0
94,1915.0,76.76,100,100,100,1,0,0,0
95,1772.0,100,100,100,100,0,0,0,0
96,1874.0,100,100,100,100,0,0,0,0
97,1903.0,100,100,100,100,0,0,0,0
98,1843.0,100,100,100,100,0,0,0,0
99,1864.0,100,100,100,100,0,0,0,0
100,1850.0,100,100,100,100,0,0,0,0
