Trial,Cut at T=100,T to 0.87 GS Energy,T to 0.9 GS Energy,T to 0.92 GS Energy,T to 0.96 GS Energy,Success for 0.87 GS Energy,Success for 0.9 GS Energy,Success for 0.92 GS Energy,Success for 0.96 GS Energy
1,59.0,100,100,100,100,0,0,0,0
2,67.0,45.45,100,100,100,1,0,0,0
3,65.0,90.9,100,100,100,1,0,0,0
4,63.0,100,100,100,100,0,0,0,0
5,63.0,80.80000000000001,100,100,100,1,0,0,0
6,61.0,100,100,100,100,0,0,0,0
7,63.0,82.82000000000001,100,100,100,1,0,0,0
8,57.0,100,100,100,100,0,0,0,0
9,64.0,78.78,100,100,100,1,0,0,0
10,59.0,100,100,100,100,0,0,0,0
11,58.0,100,100,100,100,0,0,0,0
12,55.0,100,100,100,100,0,0,0,0
13,65.0,100,100,100,100,0,0,0,0
14,63.0,100,100,100,100,0,0,0,0
15,67.0,81.81,85.85,85.85,100,1,1,1,0
16,61.0,100,100,100,100,0,0,0,0
17,64.0,67.67,73.73,100,100,1,1,0,0
18,69.0,70.7,77.77,78.78,100,1,1,1,0
19,61.0,100,100,100,100,0,0,0,0
20,63.0,74.74,80.80000000000001,100,100,1,1,0,0
21,62.0,100,100,100,100,0,0,0,0
22,59.0,100,100,100,100,0,0,0,0
23,57.0,100,100,100,100,0,0,0,0
24,66.0,70.7,70.7,71.71,100,1,1,1,0
25,63.0,100,100,100,100,0,0,0,0
26,61.0,100,100,100,100,0,0,0,0
27,53.0,100,100,100,100,0,0,0,0
28,63.0,73.73,73.73,100,100,1,1,0,0
29,59.0,100,100,100,100,0,0,0,0
30,68.0,58.58,62.62,78.78,100,1,1,1,0
31,65.0,100,100,100,100,0,0,0,0
32,56.0,100,100,100,100,0,0,0,0
33,63.0,73.73,75.75,100,100,1,1,0,0
34,64.0,58.58,59.589999999999996,100,100,1,1,0,0
35,67.0,71.71,100,100,100,1,0,0,0
36,60.0,100,100,100,100,0,0,0,0
37,62.0,77.77,100,100,100,1,0,0,0
38,60.0,100,100,100,100,0,0,0,0
39,63.0,100,100,100,100,0,0,0,0
40,55.0,100,100,100,100,0,0,0,0
41,56.0,100,100,100,100,0,0,0,0
42,60.0,100,100,100,100,0,0,0,0
43,62.0,100,100,100,100,0,0,0,0
44,48.0,100,100,100,100,0,0,0,0
45,67.0,71.71,73.73,76.76,100,1,1,1,0
46,55.0,100,100,100,100,0,0,0,0
47,54.0,100,100,100,100,0,0,0,0
48,56.0,100,100,100,100,0,0,0,0
49,52.0,100,100,100,100,0,0,0,0
50,64.0,49.49,56.56,100,100,1,1,0,0
51,65.0,55.550000000000004,55.550000000000004,55.550000000000004,100,1,1,1,0
52,55.0,100,100,100,100,0,0,0,0
53,56.0,100,100,100,100,0,0,0,0
54,62.0,70.7,100,100,100,1,0,0,0
55,61.0,100,100,100,100,0,0,0,0
56,59.0,100,100,100,100,0,0,0,0
57,54.0,100,100,100,100,0,0,0,0
58,57.0,100,100,100,100,0,0,0,0
59,66.0,84.84,100,100,100,1,0,0,0
60,61.0,66.66,100,100,100,1,0,0,0
61,60.0,100,100,100,100,0,0,0,0
62,57.0,100,100,100,100,0,0,0,0
63,57.0,100,100,100,100,0,0,0,0
64,56.0,100,100,100,100,0,0,0,0
65,54.0,100,100,100,100,0,0,0,0
66,66.0,57.57000000000001,58.58,68.68,100,1,1,1,0
67,65.0,74.74,75.75,100,100,1,1,0,0
68,63.0,66.66,75.75,100,100,1,1,0,0
69,60.0,100,100,100,100,0,0,0,0
70,65.0,70.7,86.86,100,100,1,1,0,0
71,59.0,100,100,100,100,0,0,0,0
72,47.0,100,100,100,100,0,0,0,0
73,59.0,100,100,100,100,0,0,0,0
74,61.0,85.85,100,100,100,1,0,0,0
75,65.0,64.64,82.82000000000001,87.87,100,1,1,1,0
76,63.0,100,100,100,100,0,0,0,0
77,63.0,80.80000000000001,100,100,100,1,0,0,0
78,62.0,73.73,100,100,100,1,0,0,0
79,58.0,100,100,100,100,0,0,0,0
80,58.0,100,100,100,100,0,0,0,0
81,52.0,100,100,100,100,0,0,0,0
82,65.0,87.87,100,100,100,1,0,0,0
83,59.0,100,100,100,100,0,0,0,0
84,50.0,100,100,100,100,0,0,0,0
85,61.0,89.89,100,100,100,1,0,0,0
86,66.0,100,100,100,100,0,0,0,0
87,58.0,100,100,100,100,0,0,0,0
88,61.0,100,100,100,100,0,0,0,0
89,67.0,100,100,100,100,0,0,0,0
90,68.0,51.51,67.67,67.67,83.83000000000001,1,1,1,1
91,58.0,100,100,100,100,0,0,0,0
92,65.0,59.589999999999996,60.599999999999994,100,100,1,1,0,0
93,53.0,100,100,100,100,0,0,0,0
94,62.0,69.69000000000001,100,100,100,1,0,0,0
95,56.0,100,100,100,100,0,0,0,0
96,54.0,100,100,100,100,0,0,0,0
97,63.0,58.58,79.79,100,100,1,1,0,0
98,66.0,100,100,100,100,0,0,0,0
99,62.0,69.69000000000001,100,100,100,1,0,0,0
100,59.0,100,100,100,100,0,0,0,0
