Trial,Cut at T=100,T to 0.87 GS Energy,T to 0.9 GS Energy,T to 0.92 GS Energy,T to 0.96 GS Energy,Success for 0.87 GS Energy,Success for 0.9 GS Energy,Success for 0.92 GS Energy,Success for 0.96 GS Energy
1,1747.0,14.14,19.19,100,100,1,1,0,0
2,1745.0,12.12,13.13,100,100,1,1,0,0
3,1846.0,23.23,33.33,35.35,40.400000000000006,1,1,1,1
4,1676.0,20.200000000000003,100,100,100,1,0,0,0
5,1826.0,10.100000000000001,12.12,12.12,43.43,1,1,1,1
6,1845.0,9.09,12.12,15.149999999999999,57.57000000000001,1,1,1,1
7,1828.0,15.149999999999999,23.23,24.24,26.26,1,1,1,1
8,1766.0,11.11,14.14,52.52,100,1,1,1,0
9,1852.0,11.11,12.12,13.13,37.37,1,1,1,1
10,1837.0,7.07,8.08,8.08,10.100000000000001,1,1,1,1
11,1745.0,10.100000000000001,22.22,100,100,1,1,0,0
12,1792.0,12.12,13.13,15.149999999999999,100,1,1,1,0
13,1784.0,11.11,16.16,27.270000000000003,100,1,1,1,0
14,1787.0,11.11,14.14,17.17,100,1,1,1,0
15,1796.0,15.149999999999999,19.19,28.28,100,1,1,1,0
16,1814.0,14.14,15.149999999999999,17.17,100,1,1,1,0
17,1850.0,12.12,19.19,21.21,29.29,1,1,1,1
18,1826.0,19.19,22.22,29.29,55.550000000000004,1,1,1,1
19,1844.0,10.100000000000001,11.11,12.12,27.270000000000003,1,1,1,1
20,1846.0,15.149999999999999,26.26,34.34,36.36,1,1,1,1
21,1845.0,9.09,11.11,11.11,13.13,1,1,1,1
22,1845.0,8.08,10.100000000000001,12.12,50.5,1,1,1,1
23,1776.0,26.26,28.28,29.29,100,1,1,1,0
24,1726.0,10.100000000000001,20.200000000000003,100,100,1,1,0,0
25,1719.0,16.16,19.19,100,100,1,1,0,0
26,1845.0,12.12,25.25,25.25,26.26,1,1,1,1
27,1846.0,8.08,9.09,9.09,9.09,1,1,1,1
28,1754.0,12.12,16.16,31.31,100,1,1,1,0
29,1826.0,8.08,9.09,14.14,43.43,1,1,1,1
30,1755.0,10.100000000000001,15.149999999999999,17.17,100,1,1,1,0
31,1845.0,9.09,10.100000000000001,10.100000000000001,16.16,1,1,1,1
32,1801.0,14.14,21.21,36.36,100,1,1,1,0
33,1834.0,9.09,10.100000000000001,12.12,100,1,1,1,0
34,1789.0,9.09,12.12,22.22,100,1,1,1,0
35,1845.0,10.100000000000001,13.13,13.13,19.19,1,1,1,1
36,1835.0,8.08,8.08,8.08,13.13,1,1,1,1
37,1715.0,10.100000000000001,18.18,100,100,1,1,0,0
38,1828.0,11.11,21.21,23.23,24.24,1,1,1,1
39,1753.0,18.18,22.22,27.270000000000003,100,1,1,1,0
40,1788.0,12.12,15.149999999999999,18.18,100,1,1,1,0
41,1828.0,8.08,10.100000000000001,10.100000000000001,15.149999999999999,1,1,1,1
