Trial,Cut at T=100,T to 0.87 GS Energy,T to 0.9 GS Energy,T to 0.92 GS Energy,T to 0.96 GS Energy,Success for 0.87 GS Energy,Success for 0.9 GS Energy,Success for 0.92 GS Energy,Success for 0.96 GS Energy
1,3400.0,4.04,5.050000000000001,8.08,18.18,1,1,1,1
2,3388.0,4.04,6.06,8.08,25.25,1,1,1,1
3,3394.0,4.04,5.050000000000001,7.07,22.22,1,1,1,1
4,3412.0,4.04,5.050000000000001,6.06,18.18,1,1,1,1
5,3396.0,4.04,5.050000000000001,7.07,25.25,1,1,1,1
6,3396.0,4.04,5.050000000000001,8.08,18.18,1,1,1,1
7,3400.0,4.04,5.050000000000001,6.06,18.18,1,1,1,1
8,3394.0,4.04,5.050000000000001,7.07,21.21,1,1,1,1
9,3404.0,4.04,5.050000000000001,8.08,25.25,1,1,1,1
10,3402.0,4.04,5.050000000000001,8.08,19.19,1,1,1,1
11,3406.0,4.04,5.050000000000001,6.06,25.25,1,1,1,1
12,3392.0,4.04,5.050000000000001,7.07,28.28,1,1,1,1
13,3396.0,4.04,5.050000000000001,7.07,28.28,1,1,1,1
14,3396.0,4.04,4.04,6.06,19.19,1,1,1,1
15,3412.0,4.04,5.050000000000001,7.07,17.17,1,1,1,1
16,3388.0,4.04,5.050000000000001,7.07,24.24,1,1,1,1
17,3398.0,4.04,5.050000000000001,6.06,17.17,1,1,1,1
18,3394.0,4.04,5.050000000000001,7.07,23.23,1,1,1,1
19,3410.0,4.04,5.050000000000001,6.06,16.16,1,1,1,1
20,3390.0,4.04,5.050000000000001,7.07,21.21,1,1,1,1
21,3392.0,4.04,5.050000000000001,7.07,24.24,1,1,1,1
22,3400.0,4.04,5.050000000000001,7.07,18.18,1,1,1,1
23,3400.0,4.04,5.050000000000001,6.06,19.19,1,1,1,1
24,3388.0,4.04,5.050000000000001,8.08,28.28,1,1,1,1
25,3392.0,4.04,5.050000000000001,7.07,31.31,1,1,1,1
26,3410.0,4.04,5.050000000000001,7.07,18.18,1,1,1,1
27,3404.0,4.04,5.050000000000001,7.07,21.21,1,1,1,1
28,3388.0,4.04,5.050000000000001,7.07,26.26,1,1,1,1
29,3400.0,4.04,5.050000000000001,7.07,20.200000000000003,1,1,1,1
30,3406.0,4.04,5.050000000000001,7.07,17.17,1,1,1,1
31,3400.0,4.04,5.050000000000001,8.08,21.21,1,1,1,1
32,3392.0,4.04,5.050000000000001,8.08,22.22,1,1,1,1
33,3404.0,4.04,5.050000000000001,6.06,24.24,1,1,1,1
34,3400.0,4.04,6.06,8.08,26.26,1,1,1,1
35,3406.0,4.04,5.050000000000001,8.08,19.19,1,1,1,1
36,3394.0,4.04,5.050000000000001,7.07,27.270000000000003,1,1,1,1
37,3406.0,4.04,4.04,6.06,16.16,1,1,1,1
38,3384.0,4.04,5.050000000000001,7.07,26.26,1,1,1,1
39,3402.0,4.04,4.04,6.06,20.200000000000003,1,1,1,1
40,3400.0,4.04,5.050000000000001,7.07,19.19,1,1,1,1
