Trial,Cut at T=100,T to 0.87 GS Energy,T to 0.9 GS Energy,T to 0.92 GS Energy,T to 0.96 GS Energy,Success for 0.87 GS Energy,Success for 0.9 GS Energy,Success for 0.92 GS Energy,Success for 0.96 GS Energy
1,124.0,2.02,5.050000000000001,5.050000000000001,6.06,1,1,1,1
2,124.0,3.03,4.04,4.04,10.100000000000001,1,1,1,1
3,125.0,2.02,3.03,3.03,10.100000000000001,1,1,1,1
4,125.0,4.04,4.04,5.050000000000001,6.06,1,1,1,1
5,126.0,3.03,7.07,10.100000000000001,20.200000000000003,1,1,1,1
6,124.0,3.03,3.03,6.06,8.08,1,1,1,1
7,121.0,3.03,4.04,5.050000000000001,100,1,1,1,0
8,125.0,2.02,2.02,3.03,20.200000000000003,1,1,1,1
9,121.0,2.02,4.04,4.04,100,1,1,1,0
10,125.0,3.03,3.03,3.03,15.149999999999999,1,1,1,1
11,125.0,3.03,3.03,3.03,8.08,1,1,1,1
12,124.0,3.03,4.04,5.050000000000001,9.09,1,1,1,1
13,122.0,3.03,4.04,4.04,100,1,1,1,0
14,122.0,3.03,5.050000000000001,5.050000000000001,100,1,1,1,0
15,124.0,2.02,3.03,3.03,11.11,1,1,1,1
16,123.0,2.02,4.04,4.04,28.28,1,1,1,1
17,122.0,2.02,2.02,3.03,100,1,1,1,0
18,123.0,3.03,3.03,3.03,35.35,1,1,1,1
19,124.0,4.04,4.04,8.08,14.14,1,1,1,1
20,124.0,3.03,3.03,3.03,5.050000000000001,1,1,1,1
21,124.0,7.07,8.08,8.08,10.100000000000001,1,1,1,1
22,123.0,6.06,7.07,9.09,22.22,1,1,1,1
23,125.0,2.02,3.03,3.03,8.08,1,1,1,1
24,124.0,7.07,11.11,15.149999999999999,20.200000000000003,1,1,1,1
25,119.0,3.03,5.050000000000001,6.06,100,1,1,1,0
26,124.0,3.03,3.03,3.03,6.06,1,1,1,1
27,125.0,3.03,3.03,3.03,23.23,1,1,1,1
28,125.0,3.03,6.06,10.100000000000001,15.149999999999999,1,1,1,1
29,125.0,4.04,5.050000000000001,5.050000000000001,20.200000000000003,1,1,1,1
30,123.0,11.11,11.11,16.16,16.16,1,1,1,1
31,124.0,5.050000000000001,6.06,7.07,8.08,1,1,1,1
32,121.0,4.04,5.050000000000001,5.050000000000001,100,1,1,1,0
33,125.0,6.06,9.09,9.09,10.100000000000001,1,1,1,1
34,125.0,3.03,3.03,3.03,19.19,1,1,1,1
35,125.0,4.04,4.04,4.04,6.06,1,1,1,1
36,120.0,3.03,4.04,8.08,100,1,1,1,0
37,125.0,5.050000000000001,5.050000000000001,9.09,22.22,1,1,1,1
38,125.0,4.04,5.050000000000001,6.06,13.13,1,1,1,1
39,124.0,2.02,3.03,5.050000000000001,10.100000000000001,1,1,1,1
40,120.0,3.03,4.04,6.06,100,1,1,1,0
41,123.0,7.07,9.09,21.21,26.26,1,1,1,1
42,125.0,3.03,3.03,3.03,17.17,1,1,1,1
43,125.0,6.06,7.07,7.07,14.14,1,1,1,1
44,123.0,3.03,4.04,6.06,17.17,1,1,1,1
45,124.0,3.03,5.050000000000001,5.050000000000001,7.07,1,1,1,1
46,121.0,4.04,5.050000000000001,5.050000000000001,100,1,1,1,0
47,125.0,3.03,5.050000000000001,5.050000000000001,20.200000000000003,1,1,1,1
48,124.0,2.02,3.03,4.04,5.050000000000001,1,1,1,1
49,121.0,5.050000000000001,6.06,6.06,100,1,1,1,0
50,124.0,3.03,4.04,5.050000000000001,5.050000000000001,1,1,1,1
51,123.0,2.02,3.03,3.03,36.36,1,1,1,1
52,123.0,3.03,11.11,11.11,14.14,1,1,1,1
53,126.0,2.02,2.02,3.03,3.03,1,1,1,1
54,125.0,4.04,5.050000000000001,8.08,12.12,1,1,1,1
55,123.0,3.03,3.03,3.03,16.16,1,1,1,1
56,123.0,2.02,7.07,7.07,9.09,1,1,1,1
57,125.0,2.02,3.03,4.04,11.11,1,1,1,1
58,122.0,4.04,6.06,7.07,100,1,1,1,0
59,125.0,4.04,5.050000000000001,5.050000000000001,22.22,1,1,1,1
60,118.0,3.03,6.06,14.14,100,1,1,1,0
61,122.0,5.050000000000001,6.06,7.07,100,1,1,1,0
62,123.0,6.06,7.07,10.100000000000001,11.11,1,1,1,1
63,123.0,4.04,4.04,5.050000000000001,46.46,1,1,1,1
64,120.0,2.02,3.03,4.04,100,1,1,1,0
65,124.0,3.03,4.04,6.06,8.08,1,1,1,1
66,121.0,10.100000000000001,15.149999999999999,17.17,100,1,1,1,0
67,124.0,6.06,6.06,6.06,12.12,1,1,1,1
68,117.0,3.03,5.050000000000001,5.050000000000001,100,1,1,1,0
69,125.0,6.06,6.06,8.08,32.32,1,1,1,1
70,123.0,5.050000000000001,8.08,9.09,13.13,1,1,1,1
71,116.0,4.04,4.04,4.04,100,1,1,1,0
72,120.0,5.050000000000001,7.07,9.09,100,1,1,1,0
