Trial,Cut at T=100,T to 0.87 GS Energy,T to 0.9 GS Energy,T to 0.92 GS Energy,T to 0.96 GS Energy,Success for 0.87 GS Energy,Success for 0.9 GS Energy,Success for 0.92 GS Energy,Success for 0.96 GS Energy
1,2028.0,3.03,3.03,4.04,100,1,1,1,0
2,2118.0,4.04,4.04,4.04,4.04,1,1,1,1
3,2088.0,3.03,4.04,4.04,11.11,1,1,1,1
4,2088.0,3.03,4.04,4.04,11.11,1,1,1,1
5,2118.0,4.04,5.050000000000001,5.050000000000001,12.12,1,1,1,1
6,2028.0,5.050000000000001,6.06,6.06,100,1,1,1,0
7,2088.0,5.050000000000001,6.06,6.06,14.14,1,1,1,1
8,2094.0,3.03,4.04,4.04,4.04,1,1,1,1
9,2088.0,3.03,4.04,4.04,13.13,1,1,1,1
10,2114.0,4.04,5.050000000000001,8.08,10.100000000000001,1,1,1,1
11,2118.0,3.03,3.03,4.04,4.04,1,1,1,1
12,2094.0,2.02,2.02,3.03,3.03,1,1,1,1
13,2088.0,4.04,4.04,5.050000000000001,28.28,1,1,1,1
14,2118.0,5.050000000000001,13.13,14.14,15.149999999999999,1,1,1,1
15,2118.0,4.04,7.07,7.07,25.25,1,1,1,1
16,2118.0,4.04,5.050000000000001,5.050000000000001,11.11,1,1,1,1
17,2104.0,7.07,8.08,9.09,12.12,1,1,1,1
18,2088.0,3.03,6.06,6.06,7.07,1,1,1,1
19,2118.0,4.04,7.07,8.08,12.12,1,1,1,1
20,2088.0,4.04,5.050000000000001,6.06,15.149999999999999,1,1,1,1
21,2114.0,3.03,4.04,4.04,6.06,1,1,1,1
22,2104.0,4.04,4.04,5.050000000000001,7.07,1,1,1,1
23,2028.0,3.03,5.050000000000001,8.08,100,1,1,1,0
24,2101.0,6.06,7.07,23.23,23.23,1,1,1,1
25,2088.0,5.050000000000001,5.050000000000001,7.07,27.270000000000003,1,1,1,1
26,2088.0,1.01,3.03,3.03,13.13,1,1,1,1
27,2118.0,3.03,3.03,3.03,8.08,1,1,1,1
28,2114.0,4.04,5.050000000000001,5.050000000000001,18.18,1,1,1,1
29,2088.0,4.04,15.149999999999999,23.23,28.28,1,1,1,1
30,2088.0,2.02,4.04,5.050000000000001,24.24,1,1,1,1
31,2104.0,6.06,6.06,6.06,6.06,1,1,1,1
32,2088.0,5.050000000000001,7.07,9.09,17.17,1,1,1,1
33,2103.0,2.02,2.02,2.02,3.03,1,1,1,1
34,2118.0,4.04,4.04,4.04,21.21,1,1,1,1
35,2118.0,5.050000000000001,5.050000000000001,6.06,11.11,1,1,1,1
36,2118.0,5.050000000000001,5.050000000000001,11.11,14.14,1,1,1,1
37,2118.0,8.08,11.11,11.11,11.11,1,1,1,1
38,2118.0,3.03,3.03,3.03,5.050000000000001,1,1,1,1
39,2118.0,4.04,5.050000000000001,10.100000000000001,21.21,1,1,1,1
40,2104.0,4.04,5.050000000000001,5.050000000000001,7.07,1,1,1,1
41,2088.0,3.03,3.03,4.04,7.07,1,1,1,1
42,2088.0,5.050000000000001,8.08,9.09,16.16,1,1,1,1
