Trial,Cut at T=100,T to 0.87 GS Energy,T to 0.9 GS Energy,T to 0.92 GS Energy,T to 0.96 GS Energy,Success for 0.87 GS Energy,Success for 0.9 GS Energy,Success for 0.92 GS Energy,Success for 0.96 GS Energy
1,3109.0,3.03,4.04,15.149999999999999,100,1,1,1,0
2,3058.0,2.02,4.04,100,100,1,1,0,0
3,3206.0,2.02,3.03,4.04,100,1,1,1,0
4,3192.0,2.02,3.03,5.050000000000001,100,1,1,1,0
5,3160.0,2.02,4.04,8.08,100,1,1,1,0
6,3155.0,3.03,5.050000000000001,8.08,100,1,1,1,0
7,3144.0,2.02,3.03,5.050000000000001,100,1,1,1,0
8,3160.0,2.02,4.04,7.07,100,1,1,1,0
9,3088.0,2.02,6.06,26.26,100,1,1,1,0
10,3110.0,2.02,3.03,16.16,100,1,1,1,0
11,3127.0,3.03,5.050000000000001,9.09,100,1,1,1,0
12,3106.0,3.03,5.050000000000001,9.09,100,1,1,1,0
13,3147.0,2.02,4.04,7.07,100,1,1,1,0
14,3096.0,2.02,4.04,7.07,100,1,1,1,0
15,3104.0,2.02,5.050000000000001,13.13,100,1,1,1,0
16,3064.0,2.02,4.04,100,100,1,1,0,0
17,3089.0,3.03,5.050000000000001,10.100000000000001,100,1,1,1,0
18,3147.0,2.02,5.050000000000001,13.13,100,1,1,1,0
19,3190.0,2.02,3.03,5.050000000000001,100,1,1,1,0
20,3154.0,2.02,4.04,9.09,100,1,1,1,0
21,3165.0,3.03,5.050000000000001,9.09,100,1,1,1,0
22,3134.0,2.02,3.03,6.06,100,1,1,1,0
23,3087.0,3.03,5.050000000000001,14.14,100,1,1,1,0
24,3061.0,3.03,6.06,100,100,1,1,0,0
25,3099.0,2.02,4.04,7.07,100,1,1,1,0
26,3120.0,3.03,4.04,14.14,100,1,1,1,0
27,3122.0,2.02,4.04,7.07,100,1,1,1,0
28,3133.0,2.02,4.04,6.06,100,1,1,1,0
29,3066.0,3.03,10.100000000000001,100,100,1,1,0,0
30,3133.0,2.02,3.03,5.050000000000001,100,1,1,1,0
31,3132.0,2.02,5.050000000000001,9.09,100,1,1,1,0
32,3095.0,3.03,6.06,24.24,100,1,1,1,0
33,3112.0,3.03,4.04,9.09,100,1,1,1,0
34,3120.0,3.03,9.09,17.17,100,1,1,1,0
35,3156.0,2.02,3.03,6.06,100,1,1,1,0
36,3101.0,2.02,4.04,13.13,100,1,1,1,0
37,3118.0,3.03,4.04,5.050000000000001,100,1,1,1,0
38,3148.0,2.02,3.03,4.04,100,1,1,1,0
39,3093.0,2.02,6.06,16.16,100,1,1,1,0
40,3123.0,3.03,5.050000000000001,11.11,100,1,1,1,0
41,3165.0,3.03,4.04,13.13,100,1,1,1,0
42,3156.0,2.02,2.02,3.03,100,1,1,1,0
43,3128.0,2.02,4.04,6.06,100,1,1,1,0
44,3107.0,3.03,3.03,6.06,100,1,1,1,0
45,3100.0,2.02,3.03,7.07,100,1,1,1,0
46,3166.0,2.02,3.03,5.050000000000001,100,1,1,1,0
47,3090.0,3.03,5.050000000000001,14.14,100,1,1,1,0
48,3142.0,3.03,6.06,8.08,100,1,1,1,0
49,3110.0,3.03,5.050000000000001,9.09,100,1,1,1,0
50,3126.0,2.02,4.04,8.08,100,1,1,1,0
51,3128.0,2.02,3.03,7.07,100,1,1,1,0
52,3146.0,3.03,5.050000000000001,10.100000000000001,100,1,1,1,0
53,3125.0,2.02,3.03,4.04,100,1,1,1,0
54,3150.0,2.02,4.04,7.07,100,1,1,1,0
55,3199.0,2.02,4.04,5.050000000000001,100,1,1,1,0
56,3105.0,2.02,4.04,8.08,100,1,1,1,0
57,3151.0,2.02,4.04,7.07,100,1,1,1,0
58,3211.0,2.02,3.03,4.04,22.22,1,1,1,1
59,3130.0,2.02,4.04,6.06,100,1,1,1,0
60,3145.0,2.02,5.050000000000001,12.12,100,1,1,1,0
61,3105.0,2.02,4.04,10.100000000000001,100,1,1,1,0
62,3154.0,2.02,3.03,5.050000000000001,100,1,1,1,0
63,3142.0,2.02,3.03,4.04,100,1,1,1,0
64,3147.0,2.02,3.03,5.050000000000001,100,1,1,1,0
65,3176.0,2.02,3.03,5.050000000000001,100,1,1,1,0
66,3133.0,2.02,4.04,9.09,100,1,1,1,0
67,3133.0,2.02,4.04,7.07,100,1,1,1,0
68,3148.0,2.02,4.04,7.07,100,1,1,1,0
69,3116.0,2.02,5.050000000000001,12.12,100,1,1,1,0
70,3100.0,2.02,4.04,10.100000000000001,100,1,1,1,0
71,3119.0,2.02,3.03,7.07,100,1,1,1,0
72,3098.0,2.02,5.050000000000001,9.09,100,1,1,1,0
73,3132.0,2.02,3.03,6.06,100,1,1,1,0
74,3147.0,2.02,4.04,7.07,100,1,1,1,0
75,3119.0,3.03,14.14,26.26,100,1,1,1,0
76,3100.0,2.02,5.050000000000001,8.08,100,1,1,1,0
77,3114.0,2.02,4.04,13.13,100,1,1,1,0
78,3085.0,3.03,6.06,13.13,100,1,1,1,0
79,3115.0,2.02,4.04,7.07,100,1,1,1,0
80,3144.0,3.03,4.04,10.100000000000001,100,1,1,1,0
81,3086.0,3.03,7.07,18.18,100,1,1,1,0
82,3147.0,2.02,3.03,5.050000000000001,100,1,1,1,0
83,3116.0,3.03,5.050000000000001,8.08,100,1,1,1,0
84,3126.0,2.02,4.04,6.06,100,1,1,1,0
85,3153.0,2.02,3.03,5.050000000000001,100,1,1,1,0
86,3166.0,3.03,5.050000000000001,10.100000000000001,100,1,1,1,0
87,3147.0,2.02,5.050000000000001,12.12,100,1,1,1,0
88,3102.0,2.02,3.03,6.06,100,1,1,1,0
89,3127.0,2.02,4.04,7.07,100,1,1,1,0
90,3090.0,2.02,4.04,12.12,100,1,1,1,0
91,3126.0,2.02,5.050000000000001,7.07,100,1,1,1,0
92,3179.0,2.02,3.03,5.050000000000001,100,1,1,1,0
93,3142.0,2.02,3.03,7.07,100,1,1,1,0
94,3095.0,2.02,4.04,8.08,100,1,1,1,0
95,3106.0,3.03,5.050000000000001,8.08,100,1,1,1,0
96,3099.0,2.02,4.04,11.11,100,1,1,1,0
97,3114.0,3.03,4.04,10.100000000000001,100,1,1,1,0
98,3094.0,3.03,5.050000000000001,9.09,100,1,1,1,0
99,3137.0,2.02,3.03,4.04,100,1,1,1,0
100,3129.0,2.02,4.04,8.08,100,1,1,1,0
