Trial,Cut at T=100,T to 0.87 GS Energy,T to 0.9 GS Energy,T to 0.92 GS Energy,T to 0.96 GS Energy,Success for 0.87 GS Energy,Success for 0.9 GS Energy,Success for 0.92 GS Energy,Success for 0.96 GS Energy
1,64.0,3.03,4.04,100,100,1,1,0,0
2,62.0,6.06,100,100,100,1,0,0,0
3,66.0,2.02,3.03,4.04,100,1,1,1,0
4,67.0,2.02,2.02,3.03,100,1,1,1,0
5,63.0,6.06,6.06,100,100,1,1,0,0
6,64.0,5.050000000000001,6.06,100,100,1,1,0,0
7,66.0,3.03,3.03,4.04,100,1,1,1,0
8,65.0,4.04,5.050000000000001,5.050000000000001,100,1,1,1,0
9,64.0,3.03,3.03,100,100,1,1,0,0
10,67.0,2.02,2.02,2.02,100,1,1,1,0
11,63.0,3.03,4.04,100,100,1,1,0,0
12,66.0,3.03,3.03,4.04,100,1,1,1,0
13,66.0,2.02,5.050000000000001,6.06,100,1,1,1,0
14,64.0,3.03,4.04,100,100,1,1,0,0
15,68.0,2.02,4.04,5.050000000000001,5.050000000000001,1,1,1,1
16,63.0,2.02,5.050000000000001,100,100,1,1,0,0
17,59.0,100,100,100,100,0,0,0,0
18,64.0,2.02,3.03,100,100,1,1,0,0
19,64.0,4.04,6.06,100,100,1,1,0,0
20,64.0,2.02,4.04,100,100,1,1,0,0
21,62.0,3.03,100,100,100,1,0,0,0
22,65.0,14.14,14.14,19.19,100,1,1,1,0
23,63.0,1.01,8.08,100,100,1,1,0,0
24,69.0,2.02,2.02,2.02,3.03,1,1,1,1
25,66.0,5.050000000000001,6.06,6.06,100,1,1,1,0
26,66.0,3.03,3.03,3.03,100,1,1,1,0
27,64.0,3.03,5.050000000000001,100,100,1,1,0,0
28,64.0,3.03,3.03,100,100,1,1,0,0
29,70.0,1.01,2.02,2.02,3.03,1,1,1,1
30,65.0,2.02,2.02,3.03,100,1,1,1,0
31,69.0,3.03,4.04,6.06,7.07,1,1,1,1
32,65.0,8.08,22.22,29.29,100,1,1,1,0
33,66.0,3.03,4.04,5.050000000000001,100,1,1,1,0
34,66.0,9.09,13.13,28.28,100,1,1,1,0
35,66.0,3.03,8.08,8.08,100,1,1,1,0
36,62.0,5.050000000000001,100,100,100,1,0,0,0
37,65.0,4.04,5.050000000000001,5.050000000000001,100,1,1,1,0
38,65.0,13.13,14.14,18.18,100,1,1,1,0
39,64.0,4.04,8.08,100,100,1,1,0,0
40,66.0,3.03,4.04,5.050000000000001,100,1,1,1,0
41,66.0,5.050000000000001,7.07,11.11,100,1,1,1,0
42,63.0,4.04,8.08,100,100,1,1,0,0
43,65.0,4.04,4.04,12.12,100,1,1,1,0
44,63.0,3.03,3.03,100,100,1,1,0,0
45,65.0,3.03,4.04,5.050000000000001,100,1,1,1,0
46,66.0,3.03,3.03,3.03,100,1,1,1,0
47,63.0,2.02,4.04,100,100,1,1,0,0
48,67.0,3.03,3.03,4.04,100,1,1,1,0
49,66.0,2.02,4.04,6.06,100,1,1,1,0
50,65.0,2.02,2.02,3.03,100,1,1,1,0
51,67.0,2.02,3.03,3.03,100,1,1,1,0
52,64.0,2.02,3.03,100,100,1,1,0,0
53,64.0,3.03,3.03,100,100,1,1,0,0
54,69.0,1.01,3.03,3.03,5.050000000000001,1,1,1,1
55,66.0,4.04,7.07,10.100000000000001,100,1,1,1,0
56,65.0,13.13,14.14,15.149999999999999,100,1,1,1,0
57,65.0,2.02,3.03,3.03,100,1,1,1,0
58,68.0,3.03,4.04,4.04,12.12,1,1,1,1
59,66.0,2.02,3.03,5.050000000000001,100,1,1,1,0
60,63.0,2.02,9.09,100,100,1,1,0,0
61,63.0,4.04,6.06,100,100,1,1,0,0
62,62.0,4.04,100,100,100,1,0,0,0
63,53.0,100,100,100,100,0,0,0,0
64,64.0,2.02,2.02,100,100,1,1,0,0
65,66.0,4.04,5.050000000000001,6.06,100,1,1,1,0
66,67.0,2.02,2.02,2.02,100,1,1,1,0
67,65.0,2.02,3.03,4.04,100,1,1,1,0
68,64.0,3.03,3.03,100,100,1,1,0,0
69,65.0,5.050000000000001,18.18,32.32,100,1,1,1,0
70,65.0,3.03,3.03,3.03,100,1,1,1,0
71,65.0,5.050000000000001,5.050000000000001,7.07,100,1,1,1,0
72,64.0,4.04,5.050000000000001,100,100,1,1,0,0
73,61.0,4.04,100,100,100,1,0,0,0
74,66.0,2.02,3.03,4.04,100,1,1,1,0
75,66.0,2.02,2.02,3.03,100,1,1,1,0
76,68.0,2.02,2.02,2.02,5.050000000000001,1,1,1,1
77,67.0,3.03,3.03,4.04,100,1,1,1,0
78,62.0,3.03,100,100,100,1,0,0,0
79,61.0,6.06,100,100,100,1,0,0,0
80,64.0,3.03,3.03,100,100,1,1,0,0
81,61.0,3.03,100,100,100,1,0,0,0
82,66.0,4.04,8.08,11.11,100,1,1,1,0
83,62.0,3.03,100,100,100,1,0,0,0
84,65.0,3.03,3.03,4.04,100,1,1,1,0
85,63.0,3.03,3.03,100,100,1,1,0,0
86,67.0,2.02,3.03,5.050000000000001,100,1,1,1,0
87,65.0,3.03,3.03,6.06,100,1,1,1,0
88,67.0,1.01,1.01,1.01,100,1,1,1,0
89,67.0,2.02,3.03,4.04,100,1,1,1,0
90,66.0,1.01,3.03,3.03,100,1,1,1,0
91,63.0,2.02,3.03,100,100,1,1,0,0
92,69.0,1.01,2.02,3.03,3.03,1,1,1,1
93,66.0,2.02,3.03,3.03,100,1,1,1,0
94,65.0,6.06,7.07,9.09,100,1,1,1,0
95,66.0,2.02,4.04,4.04,100,1,1,1,0
96,66.0,3.03,5.050000000000001,7.07,100,1,1,1,0
97,66.0,4.04,5.050000000000001,5.050000000000001,100,1,1,1,0
98,64.0,3.03,5.050000000000001,100,100,1,1,0,0
99,67.0,2.02,2.02,2.02,100,1,1,1,0
100,65.0,21.21,21.21,21.21,100,1,1,1,0
