Trial,Cut at T=100,T to 0.87 GS Energy,T to 0.9 GS Energy,T to 0.92 GS Energy,T to 0.96 GS Energy,Success for 0.87 GS Energy,Success for 0.9 GS Energy,Success for 0.92 GS Energy,Success for 0.96 GS Energy
1,1682.0,1.01,1.01,7.07,7.07,1,1,1,1
2,1828.0,1.01,1.01,1.01,3.03,1,1,1,1
3,1752.0,1.01,1.01,2.02,100,1,1,1,0
4,1720.0,42.42,46.46,100,100,1,1,0,0
5,1846.0,1.01,1.01,1.01,1.01,1,1,1,1
6,1823.0,1.01,1.01,1.01,100,1,1,1,0
7,1855.0,1.01,1.01,1.01,1.01,1,1,1,1
8,1902.0,1.01,1.01,1.01,1.01,1,1,1,1
9,1764.0,1.01,1.01,1.01,100,1,1,1,0
10,1809.0,1.01,1.01,3.03,100,1,1,1,0
11,1498.0,1.01,2.02,2.02,2.02,1,1,1,1
12,1787.0,1.01,1.01,1.01,100,1,1,1,0
13,1854.0,1.01,1.01,1.01,1.01,1,1,1,1
14,1867.0,1.01,1.01,1.01,1.01,1,1,1,1
15,1830.0,1.01,1.01,1.01,1.01,1,1,1,1
16,1867.0,1.01,1.01,1.01,1.01,1,1,1,1
17,1902.0,1.01,1.01,1.01,2.02,1,1,1,1
18,1737.0,1.01,1.01,1.01,11.11,1,1,1,1
19,1792.0,2.02,2.02,2.02,100,1,1,1,0
20,0.0,1.01,1.01,1.01,100,1,1,1,0
21,1838.0,1.01,11.11,11.11,11.11,1,1,1,1
22,1830.0,1.01,11.11,11.11,11.11,1,1,1,1
23,1898.0,1.01,1.01,1.01,1.01,1,1,1,1
24,1664.0,1.01,1.01,1.01,1.01,1,1,1,1
25,1902.0,1.01,1.01,1.01,1.01,1,1,1,1
26,1846.0,1.01,1.01,1.01,1.01,1,1,1,1
27,1840.0,1.01,1.01,1.01,2.02,1,1,1,1
28,1902.0,1.01,1.01,1.01,1.01,1,1,1,1
29,1828.0,1.01,1.01,1.01,1.01,1,1,1,1
30,1902.0,1.01,1.01,1.01,1.01,1,1,1,1
31,1839.0,1.01,1.01,1.01,1.01,1,1,1,1
32,1828.0,1.01,1.01,1.01,1.01,1,1,1,1
33,1844.0,1.01,1.01,1.01,1.01,1,1,1,1
34,1902.0,1.01,1.01,1.01,1.01,1,1,1,1
35,1830.0,1.01,1.01,1.01,1.01,1,1,1,1
36,1778.0,11.11,11.11,11.11,100,1,1,1,0
37,1839.0,1.01,21.21,21.21,21.21,1,1,1,1
38,1758.0,1.01,1.01,2.02,100,1,1,1,0
39,1814.0,1.01,1.01,1.01,100,1,1,1,0
40,1893.0,1.01,1.01,1.01,1.01,1,1,1,1
41,1862.0,1.01,1.01,11.11,11.11,1,1,1,1
42,0.0,2.02,2.02,2.02,2.02,1,1,1,1
43,1838.0,1.01,1.01,1.01,2.02,1,1,1,1
44,1854.0,1.01,1.01,1.01,2.02,1,1,1,1
45,1648.0,1.01,1.01,1.01,1.01,1,1,1,1
46,0.0,1.01,1.01,1.01,100,1,1,1,0
47,0.0,1.01,1.01,1.01,1.01,1,1,1,1
48,1898.0,1.01,1.01,2.02,2.02,1,1,1,1
49,1893.0,1.01,1.01,1.01,1.01,1,1,1,1
50,1773.0,1.01,1.01,1.01,100,1,1,1,0
51,1680.0,1.01,1.01,1.01,1.01,1,1,1,1
52,1740.0,1.01,1.01,1.01,1.01,1,1,1,1
53,1784.0,3.03,3.03,3.03,100,1,1,1,0
54,1850.0,1.01,1.01,1.01,1.01,1,1,1,1
55,1585.0,1.01,1.01,100,100,1,1,0,0
56,1847.0,1.01,1.01,1.01,1.01,1,1,1,1
57,1893.0,1.01,1.01,11.11,11.11,1,1,1,1
58,1830.0,1.01,1.01,1.01,1.01,1,1,1,1
59,1767.0,1.01,1.01,1.01,100,1,1,1,0
60,1826.0,1.01,11.11,11.11,11.11,1,1,1,1
61,1855.0,1.01,1.01,1.01,1.01,1,1,1,1
62,1827.0,1.01,1.01,1.01,1.01,1,1,1,1
63,0.0,100,100,100,100,0,0,0,0
64,1775.0,2.02,2.02,2.02,100,1,1,1,0
65,1769.0,100,100,100,100,0,0,0,0
66,1742.0,1.01,2.02,100,100,1,1,0,0
67,1862.0,1.01,1.01,1.01,1.01,1,1,1,1
68,1847.0,1.01,2.02,2.02,2.02,1,1,1,1
69,1814.0,11.11,11.11,11.11,100,1,1,1,0
70,1760.0,1.01,1.01,1.01,100,1,1,1,0
71,0.0,100,100,100,100,0,0,0,0
72,1797.0,31.31,31.31,31.31,100,1,1,1,0
73,1776.0,12.12,12.12,12.12,100,1,1,1,0
74,1768.0,11.11,11.11,11.11,100,1,1,1,0
75,1806.0,1.01,1.01,1.01,100,1,1,1,0
76,1847.0,1.01,1.01,1.01,1.01,1,1,1,1
77,1848.0,1.01,1.01,1.01,15.149999999999999,1,1,1,1
78,1838.0,1.01,1.01,1.01,51.51,1,1,1,1
79,1701.0,1.01,1.01,1.01,100,1,1,1,0
80,1828.0,1.01,1.01,1.01,1.01,1,1,1,1
81,1694.0,1.01,100,100,100,1,0,0,0
82,1655.0,1.01,1.01,1.01,100,1,1,1,0
83,1874.0,1.01,1.01,1.01,1.01,1,1,1,1
84,1735.0,1.01,1.01,1.01,1.01,1,1,1,1
85,1854.0,12.12,14.14,14.14,14.14,1,1,1,1
86,1747.0,2.02,2.02,2.02,2.02,1,1,1,1
87,1786.0,2.02,2.02,2.02,100,1,1,1,0
88,1830.0,1.01,1.01,1.01,1.01,1,1,1,1
89,1762.0,1.01,1.01,2.02,100,1,1,1,0
90,1805.0,1.01,1.01,1.01,100,1,1,1,0
91,1854.0,1.01,13.13,13.13,13.13,1,1,1,1
92,1851.0,1.01,1.01,1.01,2.02,1,1,1,1
93,1847.0,1.01,1.01,1.01,1.01,1,1,1,1
94,1772.0,1.01,1.01,3.03,100,1,1,1,0
95,1715.0,1.01,1.01,2.02,2.02,1,1,1,1
96,0.0,100,100,100,100,0,0,0,0
97,0.0,100,100,100,100,0,0,0,0
98,1787.0,15.149999999999999,15.149999999999999,15.149999999999999,100,1,1,1,0
99,1837.0,1.01,1.01,1.01,1.01,1,1,1,1
100,1626.0,1.01,1.01,3.03,100,1,1,1,0
