Trial,Noise Level,Cut at T=100,T to 0.87 GS Energy,T to 0.9 GS Energy,T to 0.92 GS Energy,T to 0.96 GS Energy,Success for 0.87 GS Energy,Success for 0.9 GS Energy,Success for 0.92 GS Energy,Success for 0.96 GS Energy
1,0.003,3204.0,3.03,4.04,7.07,100,1,1,1,0
2,0.003,3188.0,3.03,5.050000000000001,8.08,100,1,1,1,0
3,0.003,3180.0,3.03,5.050000000000001,7.07,100,1,1,1,0
4,0.003,3208.0,3.03,4.04,6.06,53.53,1,1,1,1
5,0.003,3208.0,3.03,5.050000000000001,10.100000000000001,100,1,1,1,0
6,0.003,3177.0,3.03,4.04,6.06,100,1,1,1,0
7,0.003,3190.0,3.03,4.04,6.06,100,1,1,1,0
8,0.003,3225.0,3.03,4.04,7.07,79.79,1,1,1,1
9,0.003,3199.0,3.03,5.050000000000001,9.09,100,1,1,1,0
10,0.003,3204.0,3.03,4.04,7.07,100,1,1,1,0
11,0.003,3206.0,3.03,3.03,5.050000000000001,35.35,1,1,1,1
12,0.003,3239.0,3.03,3.03,5.050000000000001,70.7,1,1,1,1
13,0.003,3167.0,3.03,4.04,5.050000000000001,100,1,1,1,0
14,0.003,3193.0,3.03,3.03,4.04,100,1,1,1,0
15,0.003,3212.0,3.03,5.050000000000001,14.14,77.77,1,1,1,1
16,0.003,3216.0,3.03,4.04,6.06,73.73,1,1,1,1
17,0.003,3206.0,3.03,5.050000000000001,7.07,100,1,1,1,0
18,0.003,3205.0,2.02,3.03,6.06,100,1,1,1,0
19,0.003,3234.0,3.03,4.04,6.06,38.38,1,1,1,1
20,0.003,3203.0,3.03,4.04,7.07,100,1,1,1,0
21,0.003,3248.0,3.03,4.04,5.050000000000001,22.22,1,1,1,1
22,0.003,3221.0,3.03,4.04,5.050000000000001,63.63,1,1,1,1
23,0.003,3181.0,3.03,5.050000000000001,9.09,100,1,1,1,0
24,0.003,3191.0,3.03,4.04,6.06,100,1,1,1,0
25,0.003,3161.0,3.03,4.04,7.07,100,1,1,1,0
26,0.003,3208.0,3.03,4.04,7.07,54.540000000000006,1,1,1,1
27,0.003,3212.0,2.02,3.03,4.04,100,1,1,1,0
28,0.003,3186.0,3.03,4.04,6.06,100,1,1,1,0
29,0.003,3227.0,2.02,3.03,4.04,55.550000000000004,1,1,1,1
30,0.003,3220.0,2.02,3.03,4.04,64.64,1,1,1,1
31,0.003,3206.0,2.02,3.03,4.04,100,1,1,1,0
32,0.003,3168.0,2.02,3.03,5.050000000000001,100,1,1,1,0
33,0.003,3217.0,2.02,3.03,5.050000000000001,64.64,1,1,1,1
34,0.003,3203.0,3.03,4.04,7.07,100,1,1,1,0
35,0.003,3195.0,3.03,4.04,9.09,100,1,1,1,0
36,0.003,3195.0,3.03,5.050000000000001,10.100000000000001,100,1,1,1,0
37,0.003,3226.0,2.02,3.03,4.04,58.58,1,1,1,1
38,0.003,3209.0,3.03,3.03,5.050000000000001,100,1,1,1,0
39,0.003,3167.0,3.03,5.050000000000001,8.08,100,1,1,1,0
40,0.003,3208.0,3.03,4.04,7.07,100,1,1,1,0
41,0.003,3191.0,3.03,5.050000000000001,7.07,100,1,1,1,0
42,0.003,3231.0,2.02,3.03,5.050000000000001,69.69000000000001,1,1,1,1
43,0.003,3229.0,2.02,3.03,4.04,60.599999999999994,1,1,1,1
44,0.003,3190.0,3.03,4.04,7.07,100,1,1,1,0
45,0.003,3222.0,3.03,4.04,7.07,83.83000000000001,1,1,1,1
46,0.003,3261.0,3.03,3.03,4.04,26.26,1,1,1,1
47,0.003,3188.0,2.02,4.04,8.08,100,1,1,1,0
48,0.003,3209.0,3.03,3.03,5.050000000000001,50.5,1,1,1,1
