Trial,Noise Level,Cut at T=100,T to 0.87 GS Energy,T to 0.9 GS Energy,T to 0.92 GS Energy,T to 0.96 GS Energy,Success for 0.87 GS Energy,Success for 0.9 GS Energy,Success for 0.92 GS Energy,Success for 0.96 GS Energy
1,0.1,2022.0,1.01,1.01,1.01,14.14,1,1,1,1
2,0.1,2037.0,1.01,1.01,1.01,1.01,1,1,1,1
3,0.1,1809.0,100,100,100,100,0,0,0,0
4,0.1,1872.0,11.11,100,100,100,1,0,0,0
5,0.1,2021.0,1.01,1.01,1.01,100,1,1,1,0
6,0.1,2008.0,1.01,1.01,1.01,100,1,1,1,0
7,0.1,1778.0,100,100,100,100,0,0,0,0
8,0.1,1961.0,1.01,1.01,1.01,100,1,1,1,0
9,0.1,2034.0,1.01,1.01,1.01,100,1,1,1,0
10,0.1,1881.0,13.13,100,100,100,1,0,0,0
11,0.1,1886.0,1.01,1.01,100,100,1,1,0,0
12,0.1,1799.0,100,100,100,100,0,0,0,0
13,0.1,2022.0,1.01,1.01,1.01,100,1,1,1,0
14,0.1,1998.0,1.01,1.01,1.01,100,1,1,1,0
15,0.1,2034.0,1.01,1.01,1.01,100,1,1,1,0
16,0.1,2000.0,1.01,1.01,1.01,100,1,1,1,0
17,0.1,1998.0,1.01,1.01,1.01,100,1,1,1,0
18,0.1,1873.0,16.16,100,100,100,1,0,0,0
19,0.1,1840.0,1.01,100,100,100,1,0,0,0
20,0.1,1863.0,13.13,100,100,100,1,0,0,0
21,0.1,2012.0,1.01,1.01,1.01,100,1,1,1,0
22,0.1,1861.0,1.01,100,100,100,1,0,0,0
23,0.1,1977.0,1.01,1.01,1.01,100,1,1,1,0
24,0.1,1908.0,1.01,1.01,1.01,100,1,1,1,0
25,0.1,1956.0,1.01,1.01,1.01,100,1,1,1,0
26,0.1,1826.0,100,100,100,100,0,0,0,0
27,0.1,2034.0,1.01,1.01,1.01,100,1,1,1,0
28,0.1,1922.0,1.01,1.01,100,100,1,1,0,0
29,0.1,1930.0,1.01,1.01,100,100,1,1,0,0
30,0.1,1858.0,1.01,100,100,100,1,0,0,0
31,0.1,1873.0,1.01,100,100,100,1,0,0,0
32,0.1,1941.0,1.01,1.01,100,100,1,1,0,0
33,0.1,1792.0,100,100,100,100,0,0,0,0
34,0.1,1811.0,100,100,100,100,0,0,0,0
35,0.1,2034.0,1.01,1.01,1.01,29.29,1,1,1,1
36,0.1,2012.0,1.01,1.01,1.01,100,1,1,1,0
37,0.1,1766.0,100,100,100,100,0,0,0,0
38,0.1,2034.0,1.01,1.01,1.01,100,1,1,1,0
39,0.1,2034.0,1.01,1.01,1.01,1.01,1,1,1,1
40,0.1,1927.0,1.01,1.01,100,100,1,1,0,0
41,0.1,1878.0,1.01,100,100,100,1,0,0,0
42,0.1,2027.0,1.01,1.01,2.02,100,1,1,1,0
43,0.1,1998.0,1.01,1.01,1.01,100,1,1,1,0
44,0.1,1925.0,1.01,15.149999999999999,100,100,1,1,0,0
45,0.1,1856.0,1.01,100,100,100,1,0,0,0
46,0.1,2021.0,1.01,1.01,1.01,100,1,1,1,0
47,0.1,1897.0,1.01,1.01,1.01,100,1,1,1,0
48,0.1,1851.0,1.01,100,100,100,1,0,0,0
49,0.1,2021.0,1.01,1.01,1.01,100,1,1,1,0
50,0.1,1861.0,1.01,100,100,100,1,0,0,0
51,0.1,2042.0,1.01,1.01,1.01,21.21,1,1,1,1
52,0.1,1936.0,1.01,1.01,1.01,100,1,1,1,0
53,0.1,1970.0,1.01,1.01,1.01,100,1,1,1,0
54,0.1,1861.0,1.01,100,100,100,1,0,0,0
55,0.1,1888.0,1.01,1.01,1.01,100,1,1,1,0
56,0.1,2028.0,1.01,1.01,1.01,100,1,1,1,0
57,0.1,2012.0,1.01,1.01,1.01,100,1,1,1,0
58,0.1,1877.0,17.17,100,100,100,1,0,0,0
59,0.1,2021.0,1.01,1.01,1.01,100,1,1,1,0
60,0.1,2027.0,1.01,1.01,1.01,100,1,1,1,0
61,0.1,1820.0,100,100,100,100,0,0,0,0
62,0.1,2034.0,1.01,1.01,1.01,100,1,1,1,0
63,0.1,1955.0,1.01,14.14,20.200000000000003,100,1,1,1,0
64,0.1,1910.0,1.01,1.01,1.01,100,1,1,1,0
65,0.1,2050.0,1.01,1.01,1.01,3.03,1,1,1,1
66,0.1,1930.0,1.01,1.01,100,100,1,1,0,0
67,0.1,2021.0,1.01,1.01,1.01,100,1,1,1,0
68,0.1,1998.0,1.01,1.01,1.01,100,1,1,1,0
69,0.1,1950.0,1.01,1.01,100,100,1,1,0,0
70,0.1,2021.0,1.01,1.01,1.01,100,1,1,1,0
71,0.1,1964.0,1.01,1.01,1.01,100,1,1,1,0
72,0.1,2027.0,1.01,1.01,1.01,1.01,1,1,1,1
73,0.1,2049.0,1.01,1.01,1.01,1.01,1,1,1,1
74,0.1,2021.0,1.01,1.01,2.02,100,1,1,1,0
75,0.1,2020.0,1.01,1.01,1.01,100,1,1,1,0
76,0.1,2034.0,1.01,1.01,1.01,100,1,1,1,0
77,0.1,2049.0,1.01,1.01,1.01,29.29,1,1,1,1
78,0.1,1900.0,1.01,1.01,100,100,1,1,0,0
79,0.1,2006.0,1.01,1.01,1.01,100,1,1,1,0
80,0.1,1923.0,1.01,1.01,100,100,1,1,0,0
81,0.1,2021.0,1.01,1.01,1.01,100,1,1,1,0
82,0.1,2021.0,1.01,1.01,1.01,100,1,1,1,0
83,0.1,2034.0,1.01,1.01,1.01,12.12,1,1,1,1
84,0.1,2015.0,1.01,1.01,1.01,100,1,1,1,0
85,0.1,2049.0,1.01,1.01,1.01,27.270000000000003,1,1,1,1
86,0.1,1902.0,1.01,1.01,1.01,100,1,1,1,0
87,0.1,1861.0,1.01,1.01,100,100,1,1,0,0
88,0.1,1934.0,1.01,1.01,100,100,1,1,0,0
89,0.1,1754.0,100,100,100,100,0,0,0,0
90,0.1,1931.0,1.01,1.01,2.02,100,1,1,1,0
91,0.1,1927.0,1.01,1.01,100,100,1,1,0,0
92,0.1,2015.0,1.01,1.01,1.01,100,1,1,1,0
93,0.1,1930.0,1.01,1.01,100,100,1,1,0,0
94,0.1,2034.0,1.01,1.01,1.01,100,1,1,1,0
95,0.1,1792.0,100,100,100,100,0,0,0,0
96,0.1,2027.0,1.01,1.01,1.01,6.06,1,1,1,1
97,0.1,2039.0,1.01,1.01,1.01,15.149999999999999,1,1,1,1
98,0.1,2033.0,1.01,1.01,1.01,100,1,1,1,0
99,0.1,1953.0,1.01,13.13,15.149999999999999,100,1,1,1,0
100,0.1,1929.0,11.11,12.12,100,100,1,1,0,0
