Trial,Noise Level,Cut at T=100,T to 0.87 GS Energy,T to 0.9 GS Energy,T to 0.92 GS Energy,T to 0.96 GS Energy,Success for 0.87 GS Energy,Success for 0.9 GS Energy,Success for 0.92 GS Energy,Success for 0.96 GS Energy
1,0.005,3223.0,3.03,5.050000000000001,9.09,100,1,1,1,0
2,0.005,3272.0,2.02,3.03,5.050000000000001,100,1,1,1,0
3,0.005,3325.0,3.03,4.04,7.07,24.24,1,1,1,1
4,0.005,3231.0,2.02,3.03,7.07,100,1,1,1,0
5,0.005,3297.0,3.03,4.04,5.050000000000001,31.31,1,1,1,1
6,0.005,3262.0,3.03,4.04,7.07,100,1,1,1,0
7,0.005,3317.0,2.02,3.03,3.03,17.17,1,1,1,1
8,0.005,3256.0,3.03,5.050000000000001,14.14,100,1,1,1,0
9,0.005,3215.0,2.02,4.04,5.050000000000001,100,1,1,1,0
10,0.005,3241.0,3.03,4.04,7.07,100,1,1,1,0
11,0.005,3281.0,2.02,3.03,5.050000000000001,82.82000000000001,1,1,1,1
12,0.005,3272.0,2.02,3.03,4.04,100,1,1,1,0
13,0.005,3298.0,2.02,3.03,8.08,45.45,1,1,1,1
14,0.005,3240.0,3.03,4.04,9.09,100,1,1,1,0
15,0.005,3283.0,3.03,4.04,7.07,76.76,1,1,1,1
16,0.005,3248.0,3.03,4.04,9.09,100,1,1,1,0
17,0.005,3248.0,3.03,6.06,15.149999999999999,100,1,1,1,0
18,0.005,3299.0,3.03,6.06,10.100000000000001,35.35,1,1,1,1
19,0.005,3270.0,2.02,4.04,10.100000000000001,100,1,1,1,0
20,0.005,3321.0,2.02,4.04,7.07,65.65,1,1,1,1
21,0.005,3273.0,2.02,3.03,5.050000000000001,100,1,1,1,0
22,0.005,3282.0,3.03,4.04,6.06,60.599999999999994,1,1,1,1
23,0.005,3250.0,2.02,3.03,4.04,100,1,1,1,0
24,0.005,3267.0,2.02,3.03,5.050000000000001,100,1,1,1,0
25,0.005,3264.0,3.03,5.050000000000001,10.100000000000001,100,1,1,1,0
26,0.005,3269.0,3.03,4.04,6.06,100,1,1,1,0
27,0.005,3279.0,2.02,4.04,5.050000000000001,78.78,1,1,1,1
28,0.005,3271.0,3.03,4.04,6.06,100,1,1,1,0
29,0.005,3348.0,2.02,4.04,7.07,71.71,1,1,1,1
30,0.005,3243.0,2.02,4.04,10.100000000000001,100,1,1,1,0
31,0.005,3262.0,2.02,4.04,8.08,100,1,1,1,0
32,0.005,3278.0,2.02,3.03,7.07,53.53,1,1,1,1
33,0.005,3273.0,3.03,5.050000000000001,8.08,82.82000000000001,1,1,1,1
34,0.005,3233.0,2.02,4.04,8.08,100,1,1,1,0
35,0.005,3260.0,3.03,4.04,9.09,100,1,1,1,0
36,0.005,3240.0,3.03,5.050000000000001,11.11,100,1,1,1,0
37,0.005,3288.0,2.02,3.03,4.04,87.87,1,1,1,1
38,0.005,3263.0,2.02,4.04,9.09,100,1,1,1,0
39,0.005,3282.0,2.02,4.04,7.07,63.63,1,1,1,1
40,0.005,3291.0,3.03,4.04,7.07,63.63,1,1,1,1
41,0.005,3288.0,2.02,3.03,4.04,29.29,1,1,1,1
42,0.005,3258.0,2.02,3.03,4.04,100,1,1,1,0
43,0.005,3186.0,3.03,7.07,20.200000000000003,100,1,1,1,0
44,0.005,3246.0,3.03,4.04,6.06,100,1,1,1,0
45,0.005,3249.0,2.02,4.04,6.06,100,1,1,1,0
46,0.005,3274.0,3.03,5.050000000000001,9.09,100,1,1,1,0
47,0.005,3232.0,3.03,5.050000000000001,9.09,100,1,1,1,0
48,0.005,3275.0,3.03,4.04,8.08,100,1,1,1,0
49,0.005,3312.0,2.02,4.04,7.07,21.21,1,1,1,1
50,0.005,3304.0,3.03,6.06,13.13,34.34,1,1,1,1
51,0.005,3271.0,2.02,4.04,5.050000000000001,100,1,1,1,0
52,0.005,3299.0,2.02,3.03,6.06,69.69000000000001,1,1,1,1
53,0.005,3258.0,3.03,5.050000000000001,11.11,100,1,1,1,0
54,0.005,3242.0,2.02,3.03,5.050000000000001,100,1,1,1,0
55,0.005,3200.0,2.02,5.050000000000001,12.12,100,1,1,1,0
56,0.005,3284.0,2.02,4.04,6.06,60.599999999999994,1,1,1,1
57,0.005,3258.0,2.02,4.04,7.07,100,1,1,1,0
58,0.005,3276.0,3.03,4.04,6.06,100,1,1,1,0
59,0.005,3216.0,3.03,5.050000000000001,17.17,100,1,1,1,0
60,0.005,3274.0,2.02,4.04,9.09,100,1,1,1,0
61,0.005,3230.0,2.02,4.04,6.06,100,1,1,1,0
62,0.005,3260.0,2.02,3.03,5.050000000000001,100,1,1,1,0
63,0.005,3237.0,3.03,5.050000000000001,9.09,100,1,1,1,0
64,0.005,3225.0,3.03,4.04,12.12,100,1,1,1,0
65,0.005,3298.0,2.02,3.03,4.04,31.31,1,1,1,1
66,0.005,3277.0,3.03,4.04,8.08,100,1,1,1,0
67,0.005,3299.0,2.02,3.03,5.050000000000001,56.56,1,1,1,1
68,0.005,3246.0,2.02,4.04,7.07,100,1,1,1,0
69,0.005,3269.0,2.02,4.04,6.06,100,1,1,1,0
70,0.005,3275.0,3.03,5.050000000000001,11.11,100,1,1,1,0
71,0.005,3272.0,2.02,3.03,5.050000000000001,100,1,1,1,0
72,0.005,3248.0,2.02,3.03,7.07,100,1,1,1,0
73,0.005,3287.0,3.03,5.050000000000001,11.11,100,1,1,1,0
74,0.005,3253.0,2.02,4.04,8.08,100,1,1,1,0
75,0.005,3267.0,2.02,4.04,8.08,100,1,1,1,0
76,0.005,3317.0,3.03,4.04,8.08,32.32,1,1,1,1
77,0.005,3243.0,3.03,4.04,8.08,100,1,1,1,0
78,0.005,3277.0,2.02,4.04,6.06,87.87,1,1,1,1
79,0.005,3253.0,2.02,4.04,6.06,100,1,1,1,0
80,0.005,3273.0,3.03,5.050000000000001,10.100000000000001,100,1,1,1,0
81,0.005,3262.0,3.03,4.04,7.07,100,1,1,1,0
82,0.005,3255.0,2.02,3.03,4.04,100,1,1,1,0
83,0.005,3241.0,3.03,5.050000000000001,9.09,100,1,1,1,0
84,0.005,3206.0,3.03,5.050000000000001,14.14,100,1,1,1,0
85,0.005,3253.0,2.02,4.04,7.07,100,1,1,1,0
86,0.005,3256.0,3.03,4.04,6.06,100,1,1,1,0
87,0.005,3246.0,2.02,5.050000000000001,11.11,100,1,1,1,0
88,0.005,3278.0,2.02,4.04,5.050000000000001,77.77,1,1,1,1
89,0.005,3284.0,3.03,5.050000000000001,8.08,53.53,1,1,1,1
90,0.005,3212.0,3.03,5.050000000000001,11.11,100,1,1,1,0
91,0.005,3268.0,3.03,5.050000000000001,10.100000000000001,100,1,1,1,0
92,0.005,3278.0,2.02,3.03,4.04,100,1,1,1,0
93,0.005,3206.0,3.03,4.04,7.07,100,1,1,1,0
94,0.005,3253.0,2.02,3.03,5.050000000000001,100,1,1,1,0
95,0.005,3245.0,2.02,3.03,6.06,100,1,1,1,0
96,0.005,3269.0,2.02,4.04,7.07,100,1,1,1,0
97,0.005,3301.0,2.02,4.04,8.08,31.31,1,1,1,1
98,0.005,3242.0,3.03,4.04,8.08,100,1,1,1,0
99,0.005,3302.0,2.02,3.03,6.06,64.64,1,1,1,1
100,0.005,3262.0,2.02,3.03,4.04,100,1,1,1,0
