Trial,Noise Level,Cut at T=100,T to 0.87 GS Energy,T to 0.9 GS Energy,T to 0.92 GS Energy,T to 0.96 GS Energy,Success for 0.87 GS Energy,Success for 0.9 GS Energy,Success for 0.92 GS Energy,Success for 0.96 GS Energy
1,0.001,1840.0,100,100,100,100,0,0,0,0
2,0.001,2115.0,1.01,1.01,3.03,6.06,1,1,1,1
3,0.001,1912.0,2.02,33.33,100,100,1,1,0,0
4,0.001,2028.0,1.01,2.02,4.04,100,1,1,1,0
5,0.001,2121.0,1.01,1.01,1.01,1.01,1,1,1,1
6,0.001,1898.0,1.01,100,100,100,1,0,0,0
7,0.001,2121.0,1.01,1.01,1.01,1.01,1,1,1,1
8,0.001,2047.0,1.01,2.02,2.02,6.06,1,1,1,1
9,0.001,1962.0,1.01,1.01,2.02,100,1,1,1,0
10,0.001,1798.0,100,100,100,100,0,0,0,0
11,0.001,2040.0,1.01,1.01,1.01,2.02,1,1,1,1
12,0.001,1944.0,1.01,1.01,100,100,1,1,0,0
13,0.001,1980.0,1.01,1.01,9.09,100,1,1,1,0
14,0.001,2025.0,3.03,8.08,14.14,100,1,1,1,0
15,0.001,1946.0,1.01,2.02,100,100,1,1,0,0
16,0.001,1919.0,2.02,7.07,100,100,1,1,0,0
17,0.001,1894.0,2.02,100,100,100,1,0,0,0
18,0.001,2020.0,1.01,1.01,3.03,100,1,1,1,0
19,0.001,2121.0,1.01,2.02,2.02,15.149999999999999,1,1,1,1
20,0.001,2034.0,2.02,4.04,11.11,100,1,1,1,0
21,0.001,1907.0,3.03,100,100,100,1,0,0,0
22,0.001,1944.0,6.06,29.29,100,100,1,1,0,0
23,0.001,2062.0,1.01,1.01,1.01,6.06,1,1,1,1
24,0.001,2115.0,1.01,2.02,2.02,11.11,1,1,1,1
25,0.001,1807.0,100,100,100,100,0,0,0,0
26,0.001,2104.0,1.01,1.01,2.02,2.02,1,1,1,1
27,0.001,2121.0,1.01,1.01,1.01,6.06,1,1,1,1
28,0.001,2009.0,1.01,1.01,1.01,100,1,1,1,0
29,0.001,1979.0,1.01,3.03,3.03,100,1,1,1,0
30,0.001,2070.0,2.02,2.02,3.03,18.18,1,1,1,1
31,0.001,1963.0,2.02,5.050000000000001,6.06,100,1,1,1,0
32,0.001,1989.0,1.01,1.01,4.04,100,1,1,1,0
33,0.001,1962.0,11.11,12.12,15.149999999999999,100,1,1,1,0
34,0.001,2002.0,1.01,14.14,21.21,100,1,1,1,0
35,0.001,2115.0,1.01,1.01,1.01,2.02,1,1,1,1
36,0.001,2004.0,1.01,1.01,1.01,100,1,1,1,0
37,0.001,1948.0,5.050000000000001,14.14,100,100,1,1,0,0
38,0.001,2034.0,2.02,5.050000000000001,5.050000000000001,100,1,1,1,0
39,0.001,1974.0,1.01,1.01,2.02,100,1,1,1,0
40,0.001,1832.0,100,100,100,100,0,0,0,0
41,0.001,2042.0,1.01,5.050000000000001,11.11,11.11,1,1,1,1
42,0.001,1889.0,4.04,100,100,100,1,0,0,0
43,0.001,2095.0,1.01,1.01,1.01,1.01,1,1,1,1
44,0.001,2095.0,1.01,1.01,1.01,2.02,1,1,1,1
45,0.001,1717.0,100,100,100,100,0,0,0,0
46,0.001,2028.0,1.01,1.01,1.01,100,1,1,1,0
47,0.001,1923.0,1.01,1.01,100,100,1,1,0,0
48,0.001,1959.0,1.01,1.01,6.06,100,1,1,1,0
49,0.001,1986.0,2.02,4.04,5.050000000000001,100,1,1,1,0
50,0.001,2054.0,1.01,1.01,1.01,3.03,1,1,1,1
51,0.001,2112.0,1.01,1.01,1.01,2.02,1,1,1,1
52,0.001,1809.0,100,100,100,100,0,0,0,0
53,0.001,2055.0,1.01,1.01,1.01,2.02,1,1,1,1
54,0.001,2072.0,1.01,1.01,2.02,11.11,1,1,1,1
55,0.001,2020.0,1.01,1.01,1.01,100,1,1,1,0
56,0.001,1972.0,1.01,1.01,2.02,100,1,1,1,0
57,0.001,2094.0,1.01,1.01,1.01,1.01,1,1,1,1
58,0.001,1894.0,4.04,100,100,100,1,0,0,0
59,0.001,2121.0,1.01,1.01,1.01,2.02,1,1,1,1
60,0.001,1919.0,3.03,8.08,100,100,1,1,0,0
61,0.001,1825.0,100,100,100,100,0,0,0,0
62,0.001,1887.0,6.06,100,100,100,1,0,0,0
63,0.001,2040.0,1.01,1.01,2.02,5.050000000000001,1,1,1,1
64,0.001,1907.0,4.04,100,100,100,1,0,0,0
65,0.001,2121.0,1.01,1.01,1.01,3.03,1,1,1,1
66,0.001,2042.0,1.01,1.01,1.01,6.06,1,1,1,1
67,0.001,2005.0,1.01,2.02,2.02,100,1,1,1,0
68,0.001,2088.0,1.01,1.01,1.01,7.07,1,1,1,1
69,0.001,1947.0,1.01,12.12,100,100,1,1,0,0
70,0.001,2115.0,1.01,1.01,1.01,1.01,1,1,1,1
71,0.001,2041.0,1.01,1.01,2.02,16.16,1,1,1,1
72,0.001,2082.0,1.01,1.01,1.01,1.01,1,1,1,1
73,0.001,1886.0,8.08,100,100,100,1,0,0,0
74,0.001,1927.0,1.01,3.03,100,100,1,1,0,0
75,0.001,2112.0,1.01,1.01,1.01,1.01,1,1,1,1
76,0.001,1991.0,1.01,2.02,2.02,100,1,1,1,0
77,0.001,1940.0,1.01,2.02,100,100,1,1,0,0
78,0.001,2069.0,1.01,3.03,4.04,7.07,1,1,1,1
79,0.001,2020.0,1.01,3.03,3.03,100,1,1,1,0
80,0.001,2112.0,1.01,1.01,1.01,2.02,1,1,1,1
81,0.001,2061.0,3.03,13.13,17.17,49.49,1,1,1,1
82,0.001,2095.0,1.01,1.01,1.01,1.01,1,1,1,1
83,0.001,1857.0,6.06,100,100,100,1,0,0,0
84,0.001,2016.0,1.01,1.01,1.01,100,1,1,1,0
85,0.001,2060.0,2.02,5.050000000000001,8.08,35.35,1,1,1,1
86,0.001,2115.0,1.01,1.01,1.01,1.01,1,1,1,1
87,0.001,2043.0,1.01,1.01,2.02,7.07,1,1,1,1
88,0.001,2047.0,1.01,1.01,1.01,11.11,1,1,1,1
89,0.001,2121.0,1.01,1.01,1.01,3.03,1,1,1,1
90,0.001,1942.0,3.03,3.03,100,100,1,1,0,0
91,0.001,2023.0,1.01,1.01,1.01,100,1,1,1,0
92,0.001,2104.0,1.01,1.01,3.03,15.149999999999999,1,1,1,1
93,0.001,2088.0,1.01,1.01,2.02,4.04,1,1,1,1
94,0.001,2118.0,1.01,1.01,1.01,2.02,1,1,1,1
95,0.001,2017.0,1.01,1.01,2.02,100,1,1,1,0
96,0.001,1954.0,3.03,19.19,28.28,100,1,1,1,0
