Trial,Noise Level,Cut at T=100,T to 0.87 GS Energy,T to 0.9 GS Energy,T to 0.92 GS Energy,T to 0.96 GS Energy,Success for 0.87 GS Energy,Success for 0.9 GS Energy,Success for 0.92 GS Energy,Success for 0.96 GS Energy
1,0.0003,3208.0,3.0,5.0,9.0,100,1,1,1,0
2,0.0003,3182.0,3.0,6.0,12.0,100,1,1,1,0
3,0.0003,3183.0,3.0,6.0,17.0,100,1,1,1,0
4,0.0003,3204.0,3.0,4.0,7.000000000000001,100,1,1,1,0
5,0.0003,3165.0,3.0,6.0,17.0,100,1,1,1,0
6,0.0003,3156.0,3.0,7.000000000000001,14.000000000000002,100,1,1,1,0
7,0.0003,3217.0,3.0,4.0,8.0,100,1,1,1,0
8,0.0003,3239.0,3.0,3.0,5.0,100,1,1,1,0
9,0.0003,3248.0,3.0,4.0,6.0,100,1,1,1,0
10,0.0003,3147.0,3.0,5.0,28.000000000000004,100,1,1,1,0
11,0.0003,3206.0,3.0,4.0,7.000000000000001,100,1,1,1,0
12,0.0003,3195.0,4.0,7.000000000000001,13.0,100,1,1,1,0
13,0.0003,3150.0,4.0,9.0,41.0,100,1,1,1,0
14,0.0003,3186.0,4.0,9.0,28.999999999999996,100,1,1,1,0
15,0.0003,3150.0,4.0,9.0,23.0,100,1,1,1,0
16,0.0003,3228.0,3.0,5.0,13.0,100,1,1,1,0
17,0.0003,3213.0,3.0,5.0,11.0,100,1,1,1,0
18,0.0003,3153.0,4.0,8.0,32.0,100,1,1,1,0
19,0.0003,3127.0,3.0,9.0,100,100,1,1,0,0
20,0.0003,3152.0,5.0,11.0,34.0,100,1,1,1,0
21,0.0003,3216.0,3.0,4.0,8.0,100,1,1,1,0
22,0.0003,3115.0,4.0,8.0,100,100,1,1,0,0
23,0.0003,3163.0,3.0,5.0,12.0,100,1,1,1,0
24,0.0003,3185.0,4.0,10.0,22.0,100,1,1,1,0
25,0.0003,3133.0,4.0,9.0,100,100,1,1,0,0
26,0.0003,3177.0,3.0,6.0,13.0,100,1,1,1,0
27,0.0003,3172.0,3.0,6.0,19.0,100,1,1,1,0
28,0.0003,3118.0,3.0,9.0,100,100,1,1,0,0
