Trial,Noise Level,Cut at T=100,T to 0.87 GS Energy,T to 0.9 GS Energy,T to 0.92 GS Energy,T to 0.96 GS Energy,Success for 0.87 GS Energy,Success for 0.9 GS Energy,Success for 0.92 GS Energy,Success for 0.96 GS Energy
1,0.3,1724.0,2.02,5.050000000000001,100,100,1,1,0,0
2,0.3,1851.0,1.01,1.01,1.01,13.13,1,1,1,1
3,0.3,1723.0,2.02,3.03,100,100,1,1,0,0
4,0.3,1746.0,2.02,3.03,100,100,1,1,0,0
5,0.3,1900.0,1.01,1.01,2.02,2.02,1,1,1,1
6,0.3,1746.0,2.02,3.03,100,100,1,1,0,0
7,0.3,1724.0,1.01,3.03,100,100,1,1,0,0
8,0.3,1740.0,1.01,2.02,100,100,1,1,0,0
9,0.3,1781.0,2.02,2.02,3.03,100,1,1,1,0
10,0.3,1781.0,1.01,1.01,2.02,100,1,1,1,0
11,0.3,1662.0,3.03,100,100,100,1,0,0,0
12,0.3,1701.0,2.02,100,100,100,1,0,0,0
13,0.3,1900.0,3.03,3.03,3.03,3.03,1,1,1,1
14,0.3,1758.0,1.01,1.01,3.03,100,1,1,1,0
15,0.3,1742.0,2.02,2.02,100,100,1,1,0,0
16,0.3,1721.0,2.02,8.08,100,100,1,1,0,0
17,0.3,1726.0,1.01,4.04,100,100,1,1,0,0
18,0.3,1900.0,1.01,1.01,2.02,2.02,1,1,1,1
19,0.3,1723.0,2.02,3.03,100,100,1,1,0,0
20,0.3,1803.0,1.01,1.01,1.01,100,1,1,1,0
21,0.3,1777.0,2.02,2.02,3.03,100,1,1,1,0
22,0.3,1834.0,2.02,2.02,2.02,4.04,1,1,1,1
23,0.3,1750.0,2.02,2.02,3.03,100,1,1,1,0
24,0.3,1887.0,1.01,1.01,1.01,2.02,1,1,1,1
25,0.3,1771.0,2.02,3.03,4.04,100,1,1,1,0
26,0.3,1765.0,1.01,2.02,2.02,100,1,1,1,0
27,0.3,1765.0,2.02,2.02,3.03,100,1,1,1,0
28,0.3,1726.0,2.02,4.04,100,100,1,1,0,0
29,0.3,1767.0,2.02,3.03,3.03,100,1,1,1,0
30,0.3,1750.0,2.02,2.02,3.03,100,1,1,1,0
31,0.3,1815.0,1.01,3.03,3.03,100,1,1,1,0
32,0.3,1891.0,1.01,1.01,1.01,1.01,1,1,1,1
33,0.3,1766.0,2.02,3.03,4.04,100,1,1,1,0
34,0.3,1727.0,2.02,5.050000000000001,100,100,1,1,0,0
35,0.3,1815.0,1.01,1.01,2.02,100,1,1,1,0
36,0.3,1675.0,2.02,100,100,100,1,0,0,0
37,0.3,1819.0,1.01,2.02,2.02,100,1,1,1,0
38,0.3,1833.0,1.01,3.03,4.04,6.06,1,1,1,1
39,0.3,1612.0,100,100,100,100,0,0,0,0
