Trial,Noise Level,Cut at T=100,T to 0.87 GS Energy,T to 0.9 GS Energy,T to 0.92 GS Energy,T to 0.96 GS Energy,Success for 0.87 GS Energy,Success for 0.9 GS Energy,Success for 0.92 GS Energy,Success for 0.96 GS Energy
1,0.3,798.0,45.45,64.64,100,100,1,1,0,0
2,0.3,941.0,43.43,56.56,100,100,1,1,0,0
3,0.3,954.0,48.48,66.66,100,100,1,1,0,0
4,0.3,901.0,41.410000000000004,62.62,100,100,1,1,0,0
5,0.3,872.0,51.51,81.81,100,100,1,1,0,0
6,0.3,863.0,48.48,68.68,81.81,100,1,1,1,0
7,0.3,960.0,46.46,57.57000000000001,75.75,100,1,1,1,0
8,0.3,828.0,58.58,83.83000000000001,100,100,1,1,0,0
9,0.3,883.0,45.45,58.58,100,100,1,1,0,0
10,0.3,895.0,43.43,63.63,100,100,1,1,0,0
11,0.3,793.0,51.51,58.58,100,100,1,1,0,0
12,0.3,854.0,42.42,52.52,81.81,100,1,1,1,0
13,0.3,985.0,40.400000000000006,53.53,73.73,100,1,1,1,0
14,0.3,914.0,43.43,55.550000000000004,85.85,100,1,1,1,0
15,0.3,968.0,48.48,78.78,100,100,1,1,0,0
16,0.3,861.0,46.46,60.599999999999994,80.80000000000001,100,1,1,1,0
17,0.3,829.0,52.52,66.66,100,100,1,1,0,0
18,0.3,762.0,60.599999999999994,78.78,100,100,1,1,0,0
19,0.3,949.0,40.400000000000006,51.51,57.57000000000001,100,1,1,1,0
20,0.3,974.0,49.49,57.57000000000001,73.73,100,1,1,1,0
21,0.3,876.0,52.52,74.74,100,100,1,1,0,0
22,0.3,818.0,45.45,66.66,100,100,1,1,0,0
23,0.3,981.0,38.38,44.44,68.68,100,1,1,1,0
24,0.3,889.0,39.39,52.52,73.73,100,1,1,1,0
25,0.3,871.0,42.42,53.53,58.58,100,1,1,1,0
26,0.3,789.0,45.45,56.56,69.69000000000001,100,1,1,1,0
27,0.3,930.0,48.48,61.61,78.78,100,1,1,1,0
28,0.3,994.0,45.45,52.52,59.589999999999996,100,1,1,1,0
29,0.3,868.0,44.44,56.56,100,100,1,1,0,0
30,0.3,910.0,48.48,77.77,100,100,1,1,0,0
31,0.3,936.0,47.470000000000006,69.69000000000001,76.76,100,1,1,1,0
32,0.3,896.0,43.43,48.48,52.52,100,1,1,1,0
33,0.3,944.0,46.46,68.68,100,100,1,1,0,0
34,0.3,905.0,50.5,62.62,100,100,1,1,0,0
35,0.3,805.0,48.48,69.69000000000001,86.86,100,1,1,1,0
36,0.3,871.0,47.470000000000006,71.71,100,100,1,1,0,0
37,0.3,754.0,46.46,60.599999999999994,80.80000000000001,100,1,1,1,0
38,0.3,891.0,46.46,56.56,62.62,100,1,1,1,0
39,0.3,967.0,42.42,49.49,61.61,100,1,1,1,0
40,0.3,918.0,51.51,70.7,100,100,1,1,0,0
41,0.3,742.0,48.48,71.71,100,100,1,1,0,0
42,0.3,932.0,48.48,60.599999999999994,89.89,100,1,1,1,0
43,0.3,925.0,50.5,79.79,100,100,1,1,0,0
44,0.3,877.0,43.43,58.58,71.71,100,1,1,1,0
45,0.3,875.0,46.46,100,100,100,1,0,0,0
46,0.3,774.0,53.53,70.7,88.88,100,1,1,1,0
47,0.3,885.0,54.540000000000006,77.77,100,100,1,1,0,0
48,0.3,871.0,47.470000000000006,58.58,70.7,100,1,1,1,0
49,0.3,1008.0,43.43,52.52,61.61,100,1,1,1,0
50,0.3,767.0,45.45,60.599999999999994,100,100,1,1,0,0
51,0.3,828.0,55.550000000000004,81.81,100,100,1,1,0,0
52,0.3,837.0,47.470000000000006,57.57000000000001,73.73,100,1,1,1,0
53,0.3,763.0,51.51,64.64,100,100,1,1,0,0
54,0.3,737.0,45.45,100,100,100,1,0,0,0
55,0.3,931.0,46.46,71.71,100,100,1,1,0,0
56,0.3,867.0,45.45,59.589999999999996,100,100,1,1,0,0
57,0.3,877.0,47.470000000000006,100,100,100,1,0,0,0
58,0.3,936.0,44.44,68.68,76.76,100,1,1,1,0
59,0.3,911.0,46.46,58.58,76.76,100,1,1,1,0
60,0.3,903.0,40.400000000000006,60.599999999999994,100,100,1,1,0,0
61,0.3,988.0,45.45,52.52,63.63,100,1,1,1,0
62,0.3,998.0,47.470000000000006,82.82000000000001,87.87,100,1,1,1,0
63,0.3,939.0,50.5,67.67,88.88,100,1,1,1,0
