Trial,Noise Level,Cut at T=100,T to 0.87 GS Energy,T to 0.9 GS Energy,T to 0.92 GS Energy,T to 0.96 GS Energy,Success for 0.87 GS Energy,Success for 0.9 GS Energy,Success for 0.92 GS Energy,Success for 0.96 GS Energy
1,0.01,115.0,34.34,100,100,100,1,0,0,0
2,0.01,121.0,43.43,45.45,65.65,100,1,1,1,0
3,0.01,113.0,52.52,100,100,100,1,0,0,0
4,0.01,123.0,26.26,29.29,31.31,81.81,1,1,1,1
5,0.01,118.0,71.71,74.74,83.83000000000001,100,1,1,1,0
6,0.01,119.0,36.36,47.470000000000006,52.52,100,1,1,1,0
7,0.01,120.0,39.39,40.400000000000006,43.43,100,1,1,1,0
8,0.01,124.0,33.33,37.37,55.550000000000004,70.7,1,1,1,1
9,0.01,114.0,33.33,100,100,100,1,0,0,0
10,0.01,116.0,43.43,68.68,100,100,1,1,0,0
11,0.01,115.0,57.57000000000001,58.58,100,100,1,1,0,0
12,0.01,119.0,100,100,100,100,0,0,0,0
13,0.01,116.0,49.49,100,100,100,1,0,0,0
14,0.01,128.0,30.299999999999997,46.46,49.49,54.540000000000006,1,1,1,1
15,0.01,113.0,50.5,100,100,100,1,0,0,0
16,0.01,116.0,28.28,32.32,100,100,1,1,0,0
17,0.01,117.0,44.44,53.53,100,100,1,1,0,0
18,0.01,123.0,53.53,55.550000000000004,62.62,64.64,1,1,1,1
19,0.01,120.0,37.37,56.56,100,100,1,1,0,0
20,0.01,122.0,43.43,45.45,55.550000000000004,100,1,1,1,0
21,0.01,119.0,53.53,57.57000000000001,57.57000000000001,100,1,1,1,0
22,0.01,116.0,60.599999999999994,69.69000000000001,100,100,1,1,0,0
23,0.01,119.0,32.32,65.65,100,100,1,1,0,0
24,0.01,114.0,100,100,100,100,0,0,0,0
25,0.01,121.0,47.470000000000006,53.53,58.58,100,1,1,1,0
26,0.01,118.0,34.34,45.45,100,100,1,1,0,0
27,0.01,114.0,84.84,100,100,100,1,0,0,0
28,0.01,119.0,82.82000000000001,83.83000000000001,84.84,100,1,1,1,0
29,0.01,117.0,71.71,75.75,87.87,100,1,1,1,0
30,0.01,110.0,100,100,100,100,0,0,0,0
31,0.01,118.0,55.550000000000004,64.64,82.82000000000001,100,1,1,1,0
32,0.01,121.0,38.38,52.52,54.540000000000006,100,1,1,1,0
33,0.01,125.0,37.37,44.44,46.46,50.5,1,1,1,1
34,0.01,121.0,67.67,71.71,71.71,100,1,1,1,0
35,0.01,119.0,36.36,40.400000000000006,41.410000000000004,100,1,1,1,0
36,0.01,117.0,62.62,90.9,100,100,1,1,0,0
37,0.01,109.0,100,100,100,100,0,0,0,0
38,0.01,120.0,31.31,57.57000000000001,62.62,100,1,1,1,0
39,0.01,115.0,32.32,100,100,100,1,0,0,0
40,0.01,119.0,32.32,33.33,34.34,100,1,1,1,0
41,0.01,111.0,100,100,100,100,0,0,0,0
