Trial,Noise Level,Cut at T=100,T to 0.87 GS Energy,T to 0.9 GS Energy,T to 0.92 GS Energy,T to 0.96 GS Energy,Success for 0.87 GS Energy,Success for 0.9 GS Energy,Success for 0.92 GS Energy,Success for 0.96 GS Energy
1,0.003,2114.0,10.100000000000001,10.100000000000001,11.11,25.25,1,1,1,1
2,0.003,1887.0,16.16,100,100,100,1,0,0,0
3,0.003,2088.0,15.149999999999999,17.17,18.18,87.87,1,1,1,1
4,0.003,1865.0,19.19,20.200000000000003,20.200000000000003,21.21,1,1,1,1
5,0.003,2030.0,12.12,25.25,26.26,100,1,1,1,0
6,0.003,0.0,17.17,17.17,23.23,24.24,1,1,1,1
7,0.003,1939.0,16.16,17.17,100,100,1,1,0,0
8,0.003,2083.0,13.13,14.14,15.149999999999999,15.149999999999999,1,1,1,1
9,0.003,2037.0,17.17,19.19,31.31,100,1,1,1,0
10,0.003,0.0,35.35,36.36,36.36,36.36,1,1,1,1
11,0.003,2071.0,10.100000000000001,13.13,14.14,23.23,1,1,1,1
12,0.003,1962.0,29.29,30.299999999999997,87.87,100,1,1,1,0
13,0.003,2114.0,16.16,17.17,17.17,25.25,1,1,1,1
14,0.003,2114.0,14.14,16.16,16.16,19.19,1,1,1,1
15,0.003,1782.0,16.16,18.18,100,100,1,1,0,0
16,0.003,1936.0,13.13,16.16,100,100,1,1,0,0
17,0.003,1872.0,18.18,100,100,100,1,0,0,0
18,0.003,2071.0,13.13,15.149999999999999,15.149999999999999,18.18,1,1,1,1
19,0.003,2104.0,10.100000000000001,10.100000000000001,10.100000000000001,12.12,1,1,1,1
20,0.003,2045.0,13.13,13.13,14.14,58.58,1,1,1,1
21,0.003,1962.0,11.11,15.149999999999999,17.17,100,1,1,1,0
22,0.003,1958.0,30.299999999999997,32.32,32.32,100,1,1,1,0
23,0.003,1932.0,11.11,15.149999999999999,100,100,1,1,0,0
24,0.003,1967.0,15.149999999999999,16.16,22.22,100,1,1,1,0
25,0.003,2086.0,22.22,22.22,23.23,23.23,1,1,1,1
26,0.003,2053.0,11.11,16.16,33.33,87.87,1,1,1,1
27,0.003,2101.0,15.149999999999999,16.16,18.18,19.19,1,1,1,1
28,0.003,1992.0,10.100000000000001,15.149999999999999,31.31,100,1,1,1,0
29,0.003,2060.0,17.17,25.25,26.26,100,1,1,1,0
30,0.003,2114.0,21.21,22.22,23.23,25.25,1,1,1,1
31,0.003,1955.0,15.149999999999999,16.16,17.17,100,1,1,1,0
32,0.003,0.0,15.149999999999999,21.21,61.61,61.61,1,1,1,1
33,0.003,1839.0,100,100,100,100,0,0,0,0
34,0.003,1798.0,19.19,20.200000000000003,22.22,100,1,1,1,0
35,0.003,1815.0,15.149999999999999,23.23,26.26,100,1,1,1,0
36,0.003,1793.0,11.11,14.14,15.149999999999999,100,1,1,1,0
37,0.003,2011.0,16.16,18.18,37.37,100,1,1,1,0
38,0.003,1845.0,100,100,100,100,0,0,0,0
39,0.003,2071.0,10.100000000000001,17.17,17.17,23.23,1,1,1,1
40,0.003,2114.0,17.17,26.26,27.270000000000003,43.43,1,1,1,1
41,0.003,1708.0,28.28,33.33,100,100,1,1,0,0
42,0.003,2008.0,24.24,34.34,34.34,100,1,1,1,0
43,0.003,2016.0,21.21,69.69000000000001,70.7,100,1,1,1,0
44,0.003,1916.0,21.21,30.299999999999997,100,100,1,1,0,0
45,0.003,2066.0,11.11,16.16,21.21,100,1,1,1,0
46,0.003,1856.0,34.34,100,100,100,1,0,0,0
47,0.003,1963.0,31.31,31.31,33.33,100,1,1,1,0
48,0.003,1989.0,17.17,19.19,19.19,100,1,1,1,0
49,0.003,2026.0,11.11,16.16,17.17,100,1,1,1,0
50,0.003,1893.0,23.23,100,100,100,1,0,0,0
51,0.003,1990.0,14.14,17.17,23.23,100,1,1,1,0
52,0.003,2094.0,14.14,18.18,24.24,100,1,1,1,0
53,0.003,2088.0,22.22,23.23,23.23,24.24,1,1,1,1
54,0.003,2101.0,15.149999999999999,33.33,33.33,33.33,1,1,1,1
55,0.003,2026.0,16.16,18.18,24.24,100,1,1,1,0
56,0.003,2017.0,27.270000000000003,38.38,38.38,100,1,1,1,0
57,0.003,0.0,15.149999999999999,15.149999999999999,15.149999999999999,19.19,1,1,1,1
58,0.003,1971.0,17.17,21.21,31.31,100,1,1,1,0
59,0.003,2002.0,15.149999999999999,16.16,23.23,100,1,1,1,0
60,0.003,1991.0,10.100000000000001,10.100000000000001,11.11,100,1,1,1,0
61,0.003,1843.0,16.16,31.31,34.34,100,1,1,1,0
62,0.003,2035.0,16.16,18.18,42.42,100,1,1,1,0
63,0.003,2114.0,17.17,19.19,20.200000000000003,23.23,1,1,1,1
64,0.003,2104.0,27.270000000000003,28.28,28.28,28.28,1,1,1,1
65,0.003,1782.0,11.11,25.25,100,100,1,1,0,0
66,0.003,2014.0,15.149999999999999,19.19,19.19,100,1,1,1,0
67,0.003,2104.0,16.16,19.19,23.23,24.24,1,1,1,1
68,0.003,1995.0,12.12,14.14,15.149999999999999,100,1,1,1,0
69,0.003,1950.0,22.22,26.26,100,100,1,1,0,0
70,0.003,1485.0,25.25,26.26,32.32,100,1,1,1,0
71,0.003,2114.0,15.149999999999999,15.149999999999999,87.87,88.88,1,1,1,1
72,0.003,2030.0,17.17,39.39,41.410000000000004,100,1,1,1,0
73,0.003,1861.0,16.16,16.16,16.16,19.19,1,1,1,1
74,0.003,2114.0,17.17,18.18,23.23,24.24,1,1,1,1
75,0.003,2114.0,21.21,21.21,53.53,53.53,1,1,1,1
76,0.003,2013.0,18.18,18.18,24.24,100,1,1,1,0
77,0.003,1818.0,16.16,16.16,16.16,100,1,1,1,0
78,0.003,0.0,16.16,41.410000000000004,41.410000000000004,46.46,1,1,1,1
79,0.003,2024.0,18.18,20.200000000000003,24.24,100,1,1,1,0
80,0.003,2069.0,14.14,15.149999999999999,23.23,25.25,1,1,1,1
81,0.003,1901.0,29.29,100,100,100,1,0,0,0
82,0.003,2114.0,16.16,24.24,25.25,31.31,1,1,1,1
83,0.003,1969.0,24.24,30.299999999999997,37.37,100,1,1,1,0
84,0.003,2027.0,17.17,30.299999999999997,100,100,1,1,0,0
85,0.003,1855.0,88.88,88.88,88.88,90.9,1,1,1,1
86,0.003,2114.0,56.56,57.57000000000001,57.57000000000001,58.58,1,1,1,1
87,0.003,1930.0,46.46,46.46,100,100,1,1,0,0
88,0.003,1906.0,17.17,100,100,100,1,0,0,0
89,0.003,1938.0,10.100000000000001,10.100000000000001,11.11,16.16,1,1,1,1
90,0.003,2047.0,17.17,17.17,20.200000000000003,59.589999999999996,1,1,1,1
91,0.003,2038.0,24.24,28.28,30.299999999999997,100,1,1,1,0
92,0.003,1929.0,83.83000000000001,87.87,100,100,1,1,0,0
93,0.003,1755.0,15.149999999999999,16.16,100,100,1,1,0,0
94,0.003,2083.0,12.12,13.13,15.149999999999999,17.17,1,1,1,1
95,0.003,2071.0,12.12,13.13,14.14,15.149999999999999,1,1,1,1
96,0.003,0.0,23.23,23.23,24.24,27.270000000000003,1,1,1,1
