Trial,Noise Level,Cut at T=100,T to 0.87 GS Energy,T to 0.9 GS Energy,T to 0.92 GS Energy,T to 0.96 GS Energy,Success for 0.87 GS Energy,Success for 0.9 GS Energy,Success for 0.92 GS Energy,Success for 0.96 GS Energy
1,0.5,2334.0,100,100,100,100,0,0,0,0
2,0.5,2428.0,100,100,100,100,0,0,0,0
3,0.5,2405.0,100,100,100,100,0,0,0,0
4,0.5,2460.0,100,100,100,100,0,0,0,0
5,0.5,2406.0,100,100,100,100,0,0,0,0
6,0.5,2424.0,100,100,100,100,0,0,0,0
7,0.5,2412.0,100,100,100,100,0,0,0,0
8,0.5,2425.0,100,100,100,100,0,0,0,0
9,0.5,2424.0,100,100,100,100,0,0,0,0
10,0.5,2408.0,100,100,100,100,0,0,0,0
11,0.5,2438.0,100,100,100,100,0,0,0,0
12,0.5,2436.0,100,100,100,100,0,0,0,0
13,0.5,2414.0,100,100,100,100,0,0,0,0
14,0.5,2421.0,100,100,100,100,0,0,0,0
15,0.5,2417.0,100,100,100,100,0,0,0,0
16,0.5,2378.0,100,100,100,100,0,0,0,0
17,0.5,2373.0,100,100,100,100,0,0,0,0
18,0.5,2353.0,100,100,100,100,0,0,0,0
19,0.5,2381.0,100,100,100,100,0,0,0,0
20,0.5,2426.0,100,100,100,100,0,0,0,0
21,0.5,2348.0,100,100,100,100,0,0,0,0
22,0.5,2395.0,100,100,100,100,0,0,0,0
23,0.5,2418.0,100,100,100,100,0,0,0,0
24,0.5,2444.0,100,100,100,100,0,0,0,0
25,0.5,2421.0,100,100,100,100,0,0,0,0
26,0.5,2397.0,100,100,100,100,0,0,0,0
27,0.5,2372.0,100,100,100,100,0,0,0,0
28,0.5,2403.0,100,100,100,100,0,0,0,0
29,0.5,2395.0,100,100,100,100,0,0,0,0
30,0.5,2413.0,100,100,100,100,0,0,0,0
31,0.5,2439.0,100,100,100,100,0,0,0,0
32,0.5,2426.0,100,100,100,100,0,0,0,0
33,0.5,2474.0,100,100,100,100,0,0,0,0
34,0.5,2437.0,100,100,100,100,0,0,0,0
35,0.5,2409.0,100,100,100,100,0,0,0,0
36,0.5,2393.0,100,100,100,100,0,0,0,0
37,0.5,2385.0,100,100,100,100,0,0,0,0
38,0.5,2378.0,100,100,100,100,0,0,0,0
39,0.5,2418.0,100,100,100,100,0,0,0,0
40,0.5,2410.0,100,100,100,100,0,0,0,0
41,0.5,2468.0,100,100,100,100,0,0,0,0
42,0.5,2369.0,100,100,100,100,0,0,0,0
43,0.5,2367.0,100,100,100,100,0,0,0,0
44,0.5,2389.0,100,100,100,100,0,0,0,0
45,0.5,2404.0,100,100,100,100,0,0,0,0
46,0.5,2438.0,100,100,100,100,0,0,0,0
47,0.5,2387.0,100,100,100,100,0,0,0,0
48,0.5,2393.0,100,100,100,100,0,0,0,0
