Trial,Noise Level,Cut at T=100,T to 0.87 GS Energy,T to 0.9 GS Energy,T to 0.92 GS Energy,T to 0.96 GS Energy,Success for 0.87 GS Energy,Success for 0.9 GS Energy,Success for 0.92 GS Energy,Success for 0.96 GS Energy
1,0.001,123.0,3.03,4.04,5.050000000000001,7.07,1,1,1,1
2,0.001,122.0,2.02,3.03,4.04,100,1,1,1,0
3,0.001,125.0,3.03,5.050000000000001,5.050000000000001,11.11,1,1,1,1
4,0.001,121.0,3.03,7.07,7.07,100,1,1,1,0
5,0.001,119.0,4.04,4.04,5.050000000000001,100,1,1,1,0
6,0.001,123.0,3.03,3.03,6.06,14.14,1,1,1,1
7,0.001,123.0,4.04,5.050000000000001,7.07,12.12,1,1,1,1
8,0.001,125.0,3.03,5.050000000000001,5.050000000000001,10.100000000000001,1,1,1,1
9,0.001,121.0,2.02,3.03,3.03,100,1,1,1,0
10,0.001,125.0,4.04,6.06,6.06,13.13,1,1,1,1
11,0.001,121.0,3.03,4.04,4.04,100,1,1,1,0
12,0.001,125.0,2.02,3.03,3.03,21.21,1,1,1,1
13,0.001,122.0,7.07,10.100000000000001,11.11,100,1,1,1,0
14,0.001,121.0,3.03,3.03,3.03,100,1,1,1,0
15,0.001,125.0,3.03,7.07,13.13,20.200000000000003,1,1,1,1
16,0.001,122.0,2.02,3.03,5.050000000000001,8.08,1,1,1,1
17,0.001,123.0,5.050000000000001,5.050000000000001,8.08,10.100000000000001,1,1,1,1
18,0.001,125.0,2.02,4.04,5.050000000000001,9.09,1,1,1,1
19,0.001,120.0,4.04,17.17,23.23,100,1,1,1,0
20,0.001,118.0,2.02,2.02,6.06,100,1,1,1,0
21,0.001,117.0,4.04,7.07,13.13,100,1,1,1,0
22,0.001,123.0,5.050000000000001,5.050000000000001,12.12,12.12,1,1,1,1
23,0.001,124.0,2.02,2.02,3.03,3.03,1,1,1,1
24,0.001,122.0,2.02,2.02,5.050000000000001,100,1,1,1,0
25,0.001,124.0,4.04,6.06,7.07,27.270000000000003,1,1,1,1
26,0.001,125.0,4.04,5.050000000000001,6.06,10.100000000000001,1,1,1,1
27,0.001,124.0,3.03,3.03,4.04,15.149999999999999,1,1,1,1
28,0.001,125.0,2.02,3.03,3.03,15.149999999999999,1,1,1,1
29,0.001,120.0,2.02,3.03,3.03,100,1,1,1,0
30,0.001,125.0,3.03,3.03,4.04,13.13,1,1,1,1
31,0.001,121.0,3.03,5.050000000000001,17.17,100,1,1,1,0
32,0.001,124.0,4.04,5.050000000000001,6.06,7.07,1,1,1,1
33,0.001,121.0,2.02,4.04,4.04,100,1,1,1,0
